age,Pa_sedan_VIS20,Pa_LT_VIS20
0,1.00000000,1.00000000
1,1.00000000,1.00000000
2,1.00000000,0.99009000
3,1.00000000,0.96332100
4,0.98791400,0.93272750
5,0.95120800,0.89636800
6,0.90997300,0.85626700
7,0.86527755,0.81245900
8,0.81816300,0.76595897
9,0.76868600,0.71679300
10,0.71785700,0.66596000
11,0.66571400,0.61445100
12,0.61323900,0.56130400
13,0.56044900,0.50943300
14,0.50922900,0.45882900
15,0.45863300,0.40948200
16,0.41050200,0.36234100
17,0.36480000,0.31738700
18,0.32149000,0.27555300
19,0.28053500,0.23681300
20,0.24369000,0.20208500
21,0.20910200,0.17039200
22,0.17850200,0.14264600
23,0.15006100,0.13097400
24,0.12200000,0.12200000
25,0.00000000,0.00000000
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
