data label (bold = stored in excel),year,pop_VIS19,popD_VIS19,d_p_VIS19,S_d_VIS19,S_VIS19,f_ICEG_sedan_VIS19,f_ICED_sedan_VIS19,f_HEV_sedan_VIS19,f_PHEV_sedan_VIS19,f_BEV_sedan_VIS19,f_FCEV_sedan_VIS19,f_ICEG_LT_VIS19,f_ICED_LT_VIS19,f_HEV_LT_VIS19,f_PHEV_LT_VIS19,f_BEV_LT_VIS19,f_FCEV_LT_VIS19,F_sedan_VIS19,F_LT_VIS19,g_p_VIS19,d_TEDB20,d_a_TEDB20,d_Default,d_a_Default
1,1970,205052174,155920592.6,0.760394731,0.063282212,9867000,0.9997,0.0003,0,0,0,0,0.998,0.002,0,0,0,0,0.851727982,0.148272018,20823.48076,3087.69,0.062,16142.4,0.062
2,1971,207660677,157904084.5,0.760394731,0.076033499,12006000,0.9994,0.0006,0,0,0,0,0.998,0.002,0,0,0,0,0.853656505,0.146343495,21252.45889,3110.31,0.062,16142.4,0.062
3,1972,209896021,159603828.3,0.760394731,0.082635862,13189000,0.9995,0.0005,0,0,0,0,0.998,0.002,0,0,0,0,0.830237319,0.169762681,22142.86854,3759.2,0.062,16142.4,0.062
4,1973,211908788,161134325.8,0.760394731,0.088025937,14184000,0.9994,0.0006,0,0,0,0,0.9975,0.0025,0,0,0,0,0.806472081,0.193527919,23203.37937,4490.7,0.062,16142.4,0.062
5,1974,213853928,162613400,0.760394731,0.068819667,11191000,0.998,0.002,0,0,0,0,0.997,0.003,0,0,0,0,0.79108212,0.20891788,22865.60759,4777.24,0.062,16142.4,0.062
6,1975,215973199,164224882.5,0.760394731,0.066402849,10905000,0.9969,0.0031,0,0,0,0,0.996,0.004,0,0,0,0,0.790829895,0.209170105,22574.09726,4722.04,0.062,16142.4,0.062
7,1976,218035164,165792789.8,0.760394731,0.078809217,13066000,0.9978,0.0022,0,0,0,0,0.996,0.004,0,0,0,0,0.773763968,0.226236032,23559.96118,5330.34,0.062,16142.4,0.062
8,1977,220239425,167468898.2,0.760394731,0.087257993,14613000,0.9966,0.0034,0,0,0,0,0.996,0.004,0,0,0,0,0.765277493,0.234722507,24396.63108,5726.67,0.062,16142.4,0.062
9,1978,222584545,169252115.1,0.760394731,0.089346003,15122000,0.9898,0.0102,0,0,0,0,0.992,0.008,0,0,0,0,0.748181457,0.251818543,25486.04621,6418.11,0.062,16142.4,0.062
10,1979,225055487,171131006.4,0.760394731,0.081715174,13984000,0.9746,0.0254,0,0,0,0,0.982,0.018,0,0,0,0,0.763229405,0.236770595,25994.03408,6154.86,0.062,16142.4,0.062
11,1980,227224681,172780450.1,0.760394731,0.066089653,11419000,0.9569,0.0431,0,0,0,0,0.964,0.036,0,0,0,0,0.786321044,0.213678956,25675.02779,5486.43,0.062,16142.4,0.062
12,1981,229465714,174484519.8,0.760394731,0.061466771,10725000,0.939,0.061,0,0,0,0,0.969,0.031,0,0,0,0,0.795897436,0.204102564,26069.68987,5321.09,0.062,16142.4,0.062
13,1982,231664458,176156433.1,0.760394731,0.059188642,10426460,0.9556,0.0444,0,0,0,0,0.915,0.085,0,0,0,0,0.763102721,0.236897279,25320.67306,5998.64,0.062,16142.4,0.062
