region,variables,Historical,Backup_historical,Backup_future,,,,,,,,,,,,,,,,,,,,,,
US,population,_US_USC,,,,,,,,,,,,,,,,,,,,,,,,
US,sales_per_driver,_US_TEDB20,,,,,,,,,,,,,,,,,,,,,,,,
US,fts,_US_default,,,,,,,,,,,,,,,,,,,,,,,,
US,Fs,_US_TEDB20,,,,,,,,,,,,,,,,,,,,,,,,
US,survival,_US_default,,,,,,,,,,,,,,,,,,,,,,,,
US,dn,_US_TEDB20,,,,,,,,,,,,,,,,,,,,,,,,
US,delta_d_a,_US_TEDB20,,,,,,,,,,,,,,,,,,,,,,,,
US,Fn,_US_VIS20,,,,,,,,,,,,,,,,,,,,,,,,
US,CI,_US_default,,,,,,,,,,,,,,,,,,,,,,,,
US,avg_age,_US_NHTS17,,,,,,,,,,,,,,,,,,,,,,,,
US_CA,population,_US_CA_USC,,,,,,,,,,,,,,,,,,,,,,,,
US_CA,sales_per_driver,_US_CA_default,,,,,,,,,,,,,,,,,,,,,,,,
US_CA,fts,_US_CA_default,,,,,,,,,,,,,,,,,,,,,,,,
US_CA,Fs,_US_CA_default,,,,,,,,,,,,,,,,,,,,,,,,
US_CA,survival,_US_default,,,,,,,,,,,,,,,,,,,,,,,,
US_CA,dn,_US_TEDB20,,,,,,,,,,,,,,,,,,,,,,,,
US_CA,delta_d_a,_US_TEDB20,,,,,,,,,,,,,,,,,,,,,,,,
US_CA,Fn,_US_VIS20,,,,,,,,,,,,,,,,,,,,,,,,
US_CA,CI,_US_CA_default,,,,,,,,,,,,,,,,,,,,,,,,
US_NY,population,_US_NY_USC,,,,,,,,,,,,,,,,,,,,,,,,
US_NY,sales_per_driver,_US_NY_default,,,,,,,,,,,,,,,,,,,,,,,,
US_NY,fts,_US_NY_default,,,,,,,,,,,,,,,,,,,,,,,,
US_NY,Fs,_US_NY_default,,,,,,,,,,,,,,,,,,,,,,,,
US_NY,survival,_US_default,,,,,,,,,,,,,,,,,,,,,,,,
US_NY,dn,_US_TEDB20,,,,,,,,,,,,,,,,,,,,,,,,
US_NY,delta_d_a,_US_TEDB20,,,,,,,,,,,,,,,,,,,,,,,,
US_NY,Fn,_US_VIS20,,,,,,,,,,,,,,,,,,,,,,,,
US_NY,CI,_US_NY_default,,,,,,,,,,,,,,,,,,,,,,,,
US_TX,population,_US_TX_USC,,,,,,,,,,,,,,,,,,,,,,,,
US_TX,sales_per_driver,_US_TX_default,,,,,,,,,,,,,,,,,,,,,,,,
US_TX,fts,_US_TX_default,,,,,,,,,,,,,,,,,,,,,,,,
US_TX,Fs,_US_TX_default,,,,,,,,,,,,,,,,,,,,,,,,
US_TX,survival,_US_default,,,,,,,,,,,,,,,,,,,,,,,,
US_TX,dn,_US_TEDB20,,,,,,,,,,,,,,,,,,,,,,,,
US_TX,delta_d_a,_US_TEDB20,,,,,,,,,,,,,,,,,,,,,,,,
US_TX,Fn,_US_VIS20,,,,,,,,,,,,,,,,,,,,,,,,
US_TX,CI,_US_TX_default,,,,,,,,,,,,,,,,,,,,,,,,
Norway,population,_Norway_Eurostat,,,,,,,,,,,,,,,,,,,,,,,,
Norway,sales_per_driver,_Norway_default,,,,,,,,,,,,,,,,,,,,,,,,
Norway,fts,_Norway_default,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Fs,_Norway_default,,,,,,,,,,,,,,,,,,,,,,,,
Norway,survival,_US_default,,,,,,,,,,,,,,,,,,,,,,,,
Norway,dn,_US_TEDB20,,,,,,,,,,,,,,,,,,,,,,,,
Norway,delta_d_a,_US_TEDB20,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Fn,_Norway_default,,,,,,,,,,,,,,,,,,,,,,,,
Norway,CI,_Norway_default,,,,,,,,,,,,,,,,,,,,,,,,
