year,A_default
1970,11
1971,11.14444444
1972,11.28888889
1973,11.43333333
1974,11.57777778
1975,11.72222222
1976,11.86666667
1977,12.01111111
1978,12.15555556
1979,12.3
1980,12.44444444
1981,12.58888889
1982,12.73333333
1983,12.87777778
1984,13.02222222
1985,13.16666667
1986,13.31111111
1987,13.45555556
1988,13.6
1989,13.74444444
1990,13.88888889
1991,14.03333333
1992,14.17777778
1993,14.32222222
1994,14.46666667
1995,14.61111111
1996,14.75555556
1997,14.9
1998,15.04444444
1999,15.18888889
2000,15.33333333
2001,15.47777778
2002,15.62222222
2003,15.76666667
2004,15.91111111
2005,16.05555556
2006,16.2
2007,16.34444444
2008,16.48888889
2009,16.63333333
2010,16.77777778
2011,16.92222222
2012,17.06666667
2013,17.21111111
2014,17.35555556
2015,17.5
2016,17.64444444
2017,17.78888889
2018,17.93333333
2019,18.07777778
2020,18.22222222
2021,18.36666667
2022,18.51111111
2023,18.65555556
2024,18.8
2025,18.94444444
2026,19.08888889
2027,19.23333333
2028,19.37777778
2029,19.52222222
2030,19.66666667
2031,19.81111111
2032,19.95555556
2033,20.1
2034,20.24444444
2035,20.38888889
2036,20.53333333
2037,20.67777778
2038,20.82222222
2039,20.96666667
2040,21.11111111
2041,21.25555556
2042,21.4
2043,21.54444444
2044,21.68888889
2045,21.83333333
2046,21.97777778
2047,22.12222222
2048,22.26666667
2049,22.41111111
2050,22.55555556
2051,22.7
2052,22.84444444
2053,22.98888889
2054,23.13333333
2055,23.27777778
2056,23.42222222
2057,23.56666667
2058,23.71111111
2059,23.85555556
2060,24
2061,24.14444444
2062,24.28888889
2063,24.43333333
2064,24.57777778
2065,24.72222222
2066,24.86666667
2067,25.01111111
2068,25.15555556
2069,25.3
2070,25.44444444
2071,25.58888889
2072,25.73333333
2073,25.87777778
2074,26.02222222
2075,26.16666667
2076,26.31111111
2077,26.45555556
2078,26.6
2079,26.74444444
2080,26.88888889
2081,27.03333333
2082,27.17777778
2083,27.32222222
2084,27.46666667
2085,27.61111111
2086,27.75555556
2087,27.9
2088,28.04444444
2089,28.18888889
2090,28.33333333
2091,28.47777778
2092,28.62222222
2093,28.76666667
2094,28.91111111
2095,29.05555556
2096,29.2
2097,29.34444444
2098,29.48888889
2099,29.63333333
2100,29.77777778
