year,Norway,US,US_AK,US_AL,US_AR,US_AZ,US_CA,US_CO,US_CT,US_DE,US_FL,US_GA,US_HI,US_IA,US_ID,US_IL,US_IN,US_KS,US_KY,US_LA,US_MA,US_MD,US_ME,US_MI,US_MN,US_MO,US_MS,US_MT,US_NC,US_ND,US_NE,US_NH,US_NJ,US_NM,US_NV,US_NY,US_OH,US_OK,US_OR,US_PA,US_RI,US_SC,US_SD,US_TN,US_TX,US_UT,US_VA,US_VT,US_WA,US_WI,US_WV,US_WY,US_NPCC,source
1970,20.92295846,636.0466497,0,0,0,0,283.1709062,0,0,0,712.5961716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463.3498214,0,0,0,0,0,0,0,0,715.4252648,0,0,0,0,0,0,0,493.4160156,"sources: EPA Acid Rain Program for fossil power emissions, EIA for fossil share of total power"
1971,20.92295846,636.0466497,0,0,0,0,283.1709062,0,0,0,712.5961716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463.3498214,0,0,0,0,0,0,0,0,715.4252648,0,0,0,0,0,0,0,493.4160156,"sources: EPA Acid Rain Program for fossil power emissions, EIA for fossil share of total power"
1972,20.92295846,636.0466497,0,0,0,0,283.1709062,0,0,0,712.5961716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463.3498214,0,0,0,0,0,0,0,0,715.4252648,0,0,0,0,0,0,0,493.4160156,"sources: EPA Acid Rain Program for fossil power emissions, EIA for fossil share of total power"
1973,20.92295846,636.0466497,0,0,0,0,283.1709062,0,0,0,712.5961716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463.3498214,0,0,0,0,0,0,0,0,715.4252648,0,0,0,0,0,0,0,493.4160156,"sources: EPA Acid Rain Program for fossil power emissions, EIA for fossil share of total power"
1974,20.92295846,636.0466497,0,0,0,0,283.1709062,0,0,0,712.5961716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463.3498214,0,0,0,0,0,0,0,0,715.4252648,0,0,0,0,0,0,0,493.4160156,"sources: EPA Acid Rain Program for fossil power emissions, EIA for fossil share of total power"
1975,20.92295846,636.0466497,0,0,0,0,283.1709062,0,0,0,712.5961716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463.3498214,0,0,0,0,0,0,0,0,715.4252648,0,0,0,0,0,0,0,493.4160156,"sources: EPA Acid Rain Program for fossil power emissions, EIA for fossil share of total power"
1976,20.92295846,636.0466497,0,0,0,0,283.1709062,0,0,0,712.5961716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463.3498214,0,0,0,0,0,0,0,0,715.4252648,0,0,0,0,0,0,0,493.4160156,"sources: EPA Acid Rain Program for fossil power emissions, EIA for fossil share of total power"
1977,20.92295846,636.0466497,0,0,0,0,283.1709062,0,0,0,712.5961716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463.3498214,0,0,0,0,0,0,0,0,715.4252648,0,0,0,0,0,0,0,493.4160156,"sources: EPA Acid Rain Program for fossil power emissions, EIA for fossil share of total power"
1978,20.92295846,636.0466497,0,0,0,0,283.1709062,0,0,0,712.5961716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463.3498214,0,0,0,0,0,0,0,0,715.4252648,0,0,0,0,0,0,0,493.4160156,"sources: EPA Acid Rain Program for fossil power emissions, EIA for fossil share of total power"
1979,20.92295846,636.0466497,0,0,0,0,283.1709062,0,0,0,712.5961716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463.3498214,0,0,0,0,0,0,0,0,715.4252648,0,0,0,0,0,0,0,493.4160156,"sources: EPA Acid Rain Program for fossil power emissions, EIA for fossil share of total power"
