abbreviation,Source Link,Year,Author,Title,Description
NHTS17,https://nhts.ornl.gov/assets/2017_nhts_summary_travel_trends.pdf,2017,US Dept of Transportation,2017 National Highway Travel Survey Report on Trends,"2017 National Highway Travel Survey Report on Trends, by US Dept of Transportation"
VIS19,https://www.anl.gov/es/vision-model,2019,US Argonne National Laboratory,2019 VISION Fleet Model,"2019 VISION Fleet Model, by US Argonne National Laboratory"
AEO19,https://www.eia.gov/outlooks/aeo/pdf/aeo2019.pdf,2019,US EIA,2019 Annual Energy Outlook,"2019 Annual Energy Outlook, by US EIA"
TEDB20,https://tedb.ornl.gov/wp-content/uploads/2020/02/TEDB_Ed_38_04302020.pdf
MIT15,http://web.mit.edu/sloan-auto-lab/research/beforeh2/files/On-the-Road-toward-2050.pdf,2015,"Heywood, John; Mackenzie, Don",2015 On The Road Report,"2019 VISION Fleet Model, by US Argonne National Laboratory"
AA20,https://autoalliance.org/energy-environment/advanced-technology-vehicle-sales-dashboard/,2020,Auto Alliance,Advanced Technology Vehicle Sales Dashboard,"2019 Annual Energy Outlook, by US EIA"
TRC,anl.gov/es/light-duty-electric-drive-vehicles-monthly-sales-updates,2020,US Argonne National Laboratory - Transportation Research Center,US Plug-in Electric and HEV Sales by Model,"2020 Transportation Energy Data Book, by US DOE-ORNL"
VIS20,https://www.anl.gov/es/vision-model,2020,US Argonne National Laboratory,2020 VISION Fleet Model,"2015 On The Road Report, by Heywood, John; Mackenzie, Don"
USC,https://www.census.gov/programs-surveys/popest/data/tables.1979.html,2020,US Census,US Census Bureau population data,"Advanced Technology Vehicle Sales Dashboard, by Auto Alliance"
NADA,,,,,"US Plug-in Electric and HEV Sales by Model, by US Argonne National Laboratory - Transportation Research Center"
Eurostat,https://ec.europa.eu/eurostat/web/population-demography-migration-projections/visualisations,2020,European Commission,Eurostat Data,"2020 VISION Fleet Model, by US Argonne National Laboratory"
ICCT,https://theicct.org/publications/european-vehicle-market-statistics-20192020,2019,International Council on Clean Transportation,European Vehicle Market Statistics,"US Census Bureau population data, by US Census"
ACEA,https://www.acea.be/statistics/tag/category/by-country-registrations,2020,European Automobile Manufacturers Association,European Registration Figures,", by "
CAO,,2020,California New Car Dealer Association,California Auto Outlook,"Eurostat Data, by European Commission"
