Region,ICEG,ICED,HEV,PHEVf,PHEVe,BEV,FCEV,PHEV
US,0.959748055,0.959748055,0.964860899,0.959748055,1.055500569,1.055500569,1.007624312,1.007624312
AZNM (Southwest),0.978595535,0.978595535,0.976315079,0.978595535,1.04836124,1.04836124,1.013478387,1.013478388
US_CA,0.923851776,0.923851776,0.904214743,0.923851776,0.952386061,0.952386061,0.938118918,0.938118919
US_TX,0.959802764,0.959802764,0.954888928,0.959802764,1.025407732,1.025407732,0.992605248,0.992605248
FRCC (Florida),0.951316914,0.951316914,0.939067297,0.951316914,0.996568378,0.996568378,0.973942646,0.973942646
MROE (Wisconsin),0.981675095,0.981675095,1.017946797,0.981675095,1.166699604,1.166699604,1.07418735,1.07418735
"MROW (Midwest, upper)",0.981675095,0.981675095,1.017946797,0.981675095,1.166699604,1.166699604,1.07418735,1.07418735
NEWE (New England),0.959747983,0.959747983,0.973511433,0.959747983,1.081501144,1.081501144,1.020624564,1.020624564
NWPP (Northwest),0.969563132,0.969563132,0.986791931,0.969563132,1.099771104,1.099771104,1.034667118,1.034667118
US_NY,0.955363583,0.955363583,0.965145922,0.955363583,1.066026824,1.066026824,1.010695204,1.010695204
"RFCE (DE, MD, NJ, PA )",0.958707201,0.958707201,0.96667546,0.958707201,1.063250007,1.063250007,1.010978604,1.010978604
RFCM (Michigan),0.969563132,0.969563132,0.986791931,0.969563132,1.099771104,1.099771104,1.034667118,1.034667118
"RFCW (IN, OH)",0.958707201,0.958707201,0.96667546,0.958707201,1.063250007,1.063250007,1.010978604,1.010978604
RMPA (Colorado),0.969563132,0.969563132,0.986791931,0.969563132,1.099771104,1.099771104,1.034667118,1.034667118
SPNO (Kansas),0.96751189,0.96751189,0.985182873,0.96751189,1.099458689,1.099458689,1.03348529,1.03348529
SPSO (Oklahoma),0.96751189,0.96751189,0.985182873,0.96751189,1.099458689,1.099458689,1.03348529,1.03348529
"SRGW (AR, LA, MS)",0.959802764,0.959802764,0.954888928,0.959802764,1.025407732,1.025407732,0.992605248,0.992605248
"SRMV (IL, MO)",0.966022985,0.966022985,0.979259234,0.966022985,1.084938,1.084938,1.025480493,1.025480493
SRSO (Southeast),0.950950211,0.950950211,0.946532214,0.950950211,1.019813984,1.019813984,0.985382097,0.985382098
"SRTV (TN, KY)",0.95672398,0.95672398,0.95794814,0.95672398,1.041392625,1.041392625,0.999058302,0.999058303
"SRVC (VA, NC, SC)",0.952194796,0.952194796,0.949547385,0.952194796,1.026131685,1.026131685,0.98916324,0.989163241
Norway,0.981675095,0.981675095,1.017946797,0.981675095,1.166699604,1.166699604,1.07418735,1.07418735
