year,D_nEV,D_EV,Coal,Natural gas,Nuclear,Hydro,Wind,Solar,Other,D
2020,171.4882496,0,0,0.325031657,0.100969261,0.142091169,0.083642132,0.268256167,0.080009613,171.4882496
2021,181.9331748,0,0.004147628,0.338771145,0.095027072,0.133481542,0.079624779,0.270786431,0.078161403,181.9331748
2022,175.0156846,0,0,0.319985229,0.098631805,0.13809762,0.08316642,0.281292288,0.078826638,175.0156846
2023,170.4284862,0,0,0.298070524,0.101286547,0.140952129,0.08374542,0.292145383,0.083799997,170.4284862
2024,168.6302287,0,0,0.285228913,0.102366658,0.142240059,0.083759927,0.299999322,0.086405122,168.6302287
2025,162.7023818,0,0,0.303906746,0.053156289,0.147342252,0.086328682,0.317723231,0.091542799,162.7023818
2026,161.4637196,0,0,0.343014095,0,0.148266779,0.086281794,0.325670555,0.096766778,161.4637196
2027,155.0278105,0,0,0.302872245,0,0.154398013,0.08993208,0.344889661,0.107908001,155.0278105
2028,158.6072357,0,0,0.299609057,0,0.150845619,0.086828289,0.351031209,0.111685826,158.6072357
2029,160.1736035,0,0,0.2652162,0,0.148712335,0.086734827,0.382589891,0.116746746,160.1736035
2030,156.2449075,0,0,0.213877054,0,0.152338146,0.088394977,0.417878191,0.127511632,156.2449075
2031,156.5339828,0,0,0.201384294,0,0.15166872,0.086541627,0.424659141,0.135746218,156.5339828
2032,158.3538428,0,0,0.193817028,0,0.149551405,0.084874028,0.428996714,0.142760825,158.3538428
2033,160.6524495,0,0,0.18131577,0,0.147377463,0.084075667,0.439889041,0.147342059,160.6524495
2034,163.9562202,0,0,0.17949211,0,0.145118947,0.084524266,0.439775727,0.151088951,163.9562202
2035,165.0560963,0,0,0.167725131,0,0.144019867,0.084313868,0.448413285,0.155527849,165.0560963
2036,168.475155,0,0,0.163246121,0,0.140785593,0.08280038,0.454910208,0.158257698,168.475155
2037,172.3080714,0,0,0.154195515,0,0.136784053,0.080938701,0.466947001,0.161134729,172.3080714
2038,176.4448205,0,0,0.149878962,0,0.133114725,0.079680122,0.475944345,0.161381847,176.4448205
2039,181.1386264,0,0,0.146242478,0,0.12918148,0.078296239,0.482688803,0.163591,181.1386264
2040,185.985971,0,0,0.144216092,0,0.124062778,0.076598385,0.49202582,0.163096924,185.985971
2041,191.4205713,0,0,0.138337018,0,0.119589613,0.076065554,0.503852281,0.162155534,191.4205713
2042,195.93561,0,0,0.133896793,0,0.1176405,0.0745971,0.511984831,0.161880775,195.93561
2043,199.6759597,0,0,0.132437568,0,0.115501442,0.073169162,0.515999758,0.162892069,199.6759597
2044,202.8335375,0,0,0.130347982,0,0.113241719,0.071962968,0.521120549,0.163326782,202.8335375
2045,207.0444058,0,0,0.127184307,0,0.109188856,0.069172988,0.532955974,0.161497875,207.0444058
2046,212.7625444,0,0,0.125329023,0,0.106760627,0.066501905,0.5431054,0.158303045,212.7625444
2047,218.099934,0,0,0.123191667,0,0.103740918,0.064164962,0.554911218,0.153991236,218.099934
2048,223.0323115,0,0,0.121895264,0,0.100398398,0.065372511,0.561291707,0.15104212,223.0323115
2049,227.1635255,0,0,0.124434186,0,0.099311047,0.061059966,0.566621955,0.148572846,227.1635255
2050,230.9041471,0,0,0.12855676,0,0.097893222,0.064110913,0.562192469,0.147246636,230.9041471
