year,D_nEV,D_EV,Coal,Natural gas,Nuclear,Hydro,Wind,Solar,Other,D
2020,209.4555358,0,0.134869389,0.68273863,0.132497829,0.001042208,0,0.027678769,0.021173175,209.4555358
2021,214.5440946,0,0.114856771,0.701554564,0.129157529,0.001013633,0,0.032676069,0.020741434,214.5440946
2022,213.2529748,0,0.11373143,0.701484613,0.129740589,0.001016362,0,0.033000214,0.021026793,213.2529748
2023,212.033219,0,0.123900798,0.689566868,0.130486943,0.001022145,0,0.033901567,0.021121679,212.033219
2024,213.9092495,0,0.125929071,0.627745008,0.129342544,0.001014385,0,0.094981984,0.020987008,213.9092495
2025,213.9734928,0,0.1394469,0.598273163,0.129303701,0.001013697,0,0.110964801,0.020997738,213.9734928
2026,214.2380628,0,0.141724078,0.595581124,0.129144028,0.00101383,0,0.11155323,0.02098371,214.2380628
2027,214.2241411,0,0.147179172,0.589510295,0.129152421,0.001012271,0,0.112140109,0.021005732,214.2241411
2028,213.7300254,0,0.148896047,0.587267623,0.129451004,0.001013888,0,0.112936022,0.020435416,213.7300254
2029,217.5034989,0,0.146851959,0.552181441,0.127205156,0.0009966,0,0.152576327,0.020188517,217.5034989
2030,223.2594465,0,0.140734996,0.487420883,0.123925625,0.000971043,0,0.226198952,0.0207485,223.2594465
2031,226.8260833,0,0.137600972,0.478072253,0.121977006,0.000955417,0,0.24036955,0.021024802,226.8260833
2032,229.2662483,0,0.133529334,0.484466001,0.12067876,0.000944978,0,0.239590583,0.020790346,229.2662483
2033,231.6168852,0,0.132100903,0.488370128,0.119454013,0.000936466,0,0.238457315,0.020681175,231.6168852
2034,234.9566322,0,0.130807171,0.493897102,0.117756057,0.000922599,0,0.23616654,0.020450531,234.9566322
2035,236.4388801,0,0.129324843,0.496163338,0.117017838,0.000917723,0,0.237030307,0.019545952,236.4388801
2036,238.9567571,0,0.127920496,0.500719799,0.115784826,0.000907167,0,0.235108251,0.019559461,238.9567571
2037,242.0422573,0,0.126235639,0.506179071,0.114308827,0.00089749,0,0.233084664,0.019294308,242.0422573
2038,246.5108096,0,0.124525767,0.501181602,0.112236727,0.000879,0,0.242104556,0.019072348,246.5108096
2039,249.3424819,0,0.122453481,0.499133705,0.110962104,0.000870774,0,0.246699848,0.019880089,249.3424819
2040,250.0441603,0,0.122055604,0.500317872,0.11065072,0.000866716,0,0.246077447,0.020031641,250.0441603
2041,251.7518289,0,0.121173714,0.501584049,0.111480352,0.000860208,0,0.244848727,0.020052949,251.7518289
2042,254.5141836,0,0.119804069,0.504190016,0.11183166,0.000852446,0,0.243216553,0.020105256,254.5141836
2043,256.2720183,0,0.118923266,0.507010365,0.111064578,0.000845601,0,0.242028363,0.020127827,256.2720183
2044,259.3340683,0,0.117403421,0.51179549,0.109753199,0.000836268,0,0.24011402,0.020097602,259.3340683
2045,262.2192505,0,0.116108815,0.511550833,0.108545591,0.00082679,0,0.24050913,0.02245884,262.2192505
2046,265.2361772,0,0.114690563,0.514688461,0.10731094,0.000817443,0,0.240064903,0.022427689,265.2361772
2047,268.6730357,0,0.115208663,0.516988799,0.105938222,0.000806404,0,0.238638112,0.022419801,268.6730357
2048,272.3621241,0,0.113518417,0.522498671,0.10450331,0.000794998,0,0.236380578,0.022304025,272.3621241
2049,276.1896961,0,0.111083058,0.527776119,0.103055052,0.000784734,0,0.234964504,0.022336533,276.1896961
2050,279.9507495,0,0.111113021,0.530114619,0.101670539,0.000773319,0,0.234083016,0.022245486,279.9507495
