year,D_nEV,D_EV,Coal,Natural gas,Nuclear,Hydro,Wind,Solar,Other,D
2020,220.1256299,0,0.017389841,0.404197902,0.290173223,0.157191772,0.037367881,0.050883872,0.042795509,220.1256299
2021,230.6971558,0,0.019373336,0.439649228,0.243364294,0.149474311,0.040953893,0.065702339,0.041482598,230.6971558
2022,233.2512857,0,0.010289049,0.420305302,0.21812656,0.147398703,0.088402842,0.070356628,0.045120916,233.2512857
2023,232.8277135,0,0.007604593,0.384335153,0.218523387,0.147720092,0.122797801,0.073827578,0.045191395,232.8277135
2024,232.9637453,0,0.01250767,0.371266649,0.218395787,0.147615371,0.128490088,0.076460601,0.045263833,232.9637453
2025,227.7945478,0,0,0.352798549,0.223351705,0.15088684,0.131394319,0.081537693,0.060030894,227.7945478
2026,224.9035891,0,0,0.341047424,0.226222715,0.152862626,0.133109339,0.086108134,0.060649762,224.9035891
2027,221.1837085,0,0,0.323982177,0.230027342,0.155403494,0.135327164,0.093725573,0.06153425,221.1837085
2028,222.5575476,0,0,0.315304546,0.228607392,0.154488084,0.14228615,0.097740807,0.06157302,222.5575476
2029,222.0535265,0,0,0.277947561,0.22912629,0.154877273,0.15583405,0.118480841,0.063733986,222.0535265
2030,243.9903101,0,0,0.286574906,0.208525907,0.140925362,0.191320342,0.114728909,0.057924575,243.9903101
2031,244.0132118,0,0,0.273732347,0.208506336,0.140916335,0.203103837,0.11661101,0.057130137,244.0132118
2032,246.6478679,0,0,0.27926226,0.206279102,0.139396815,0.200949624,0.117338152,0.056774046,246.6478679
2033,245.0291674,0,0,0.271767047,0.207641813,0.14031761,0.202287968,0.120537513,0.057448048,245.0291674
2034,245.6726547,0,0,0.27079323,0.20709794,0.139947092,0.201777534,0.122683929,0.057700276,245.6726547
2035,260.2140608,0,0,0.237000097,0.195524794,0.132106026,0.262949749,0.117588239,0.054831094,260.2140608
2036,263.0815186,0,0,0.220004322,0.193393671,0.130654608,0.282482338,0.118786692,0.054678368,263.0815186
2037,264.1634815,0,0,0.221223736,0.192601567,0.130162003,0.281257379,0.120144846,0.054610468,264.1634815
2038,263.2468239,0,0,0.215589,0.19327223,0.130591579,0.282631786,0.123265542,0.054649864,263.2468239
2039,262.7655195,0,0,0.211531442,0.193626244,0.130822134,0.28325216,0.125718236,0.055049785,262.7655195
2040,264.1184746,0,0,0.212392137,0.192634388,0.130178765,0.282719258,0.127078858,0.054996594,264.1184746
2041,265.271085,0,0,0.213035111,0.191797386,0.129584918,0.281801859,0.128691171,0.055089554,265.271085
2042,266.4617381,0,0,0.213937662,0.190940362,0.12900444,0.280545156,0.130429212,0.055143167,266.4617381
2043,267.1777218,0,0,0.21376715,0.190428679,0.128650004,0.279826211,0.131974242,0.055353714,267.1777218
2044,268.2570802,0,0,0.214680086,0.189662471,0.128135963,0.278019853,0.1338611,0.055640527,268.2570802
2045,267.3899438,0,0,0.207519387,0.192074117,0.128556074,0.278881335,0.136726128,0.056242959,267.3899438
2046,268.2664561,0,0,0.206383054,0.191446549,0.128115763,0.278009806,0.138507548,0.05753728,268.2664561
2047,270.4390557,0,0,0.208252856,0.189908544,0.127134225,0.27684595,0.140263797,0.057594628,270.4390557
2048,272.7802652,0,0,0.211117872,0.189206498,0.12604622,0.274787874,0.141189803,0.057651733,272.7802652
2049,275.3623482,0,0,0.213022988,0.188543036,0.124829995,0.272140876,0.142633726,0.058829379,275.3623482
2050,278.7390932,0,0,0.214800295,0.18616491,0.123372236,0.273695403,0.143236759,0.058730398,278.7390932
