year,D_nEV,D_EV,Coal,Natural gas,Nuclear,Hydro,Wind,Solar,Other,D
2020,136.5707916,0,0.016868211,0.423473067,0.281190027,0.19654805,0.034904846,0.027679552,0.019336246,136.5707916
2021,138.3564124,0,0.021048278,0.450754851,0.221964122,0.193370306,0.042761642,0.051188799,0.018912003,138.3564124
2022,136.0107564,0,0.017645177,0.455605147,0.187367153,0.196160142,0.058037092,0.058743116,0.026442171,136.0107564
2023,136.174168,0,0.013002173,0.447925566,0.187142309,0.196000499,0.068972677,0.060716476,0.026240299,136.174168
2024,137.4879109,0,0.021193381,0.440832134,0.185354102,0.194121862,0.070511524,0.061686061,0.026300936,137.4879109
2025,131.6111135,0,0,0.422267961,0.193630671,0.202720545,0.07367528,0.066775528,0.040930016,131.6111135
2026,130.0721598,0,0,0.413438993,0.19592162,0.205108215,0.074538801,0.070082396,0.040909975,130.0721598
2027,124.7896519,0,0,0.383256162,0.204215236,0.213735944,0.077691572,0.078955528,0.042145558,124.7896519
2028,124.5633288,0,0,0.377822461,0.204586281,0.214197169,0.077831284,0.083305272,0.042257532,124.5633288
2029,122.627782,0,0,0.331561575,0.207815454,0.217649635,0.079043111,0.118115699,0.045814526,122.627782
2030,139.1969952,0,0,0.368149214,0.183078293,0.191708636,0.104060619,0.112997359,0.04000588,139.1969952
2031,137.2328027,0,0,0.350891253,0.185698665,0.19446451,0.114330404,0.11602312,0.038592047,137.2328027
2032,139.0856052,0,0,0.358646325,0.183224915,0.19185538,0.112823149,0.115494557,0.037955673,139.0856052
2033,136.804409,0,0,0.345980702,0.186280168,0.195058031,0.114705995,0.119368883,0.038606222,136.804409
2034,137.2153741,0,0,0.345986508,0.185722252,0.194472907,0.114362169,0.12062586,0.038830305,137.2153741
2035,150.9402887,0,0,0.279164825,0.168834633,0.176753974,0.228845043,0.110958571,0.035442954,150.9402887
2036,152.7158239,0,0,0.247029619,0.166871694,0.17466105,0.264804184,0.111338411,0.035295042,152.7158239
2037,153.3265957,0,0,0.24899037,0.166206966,0.174033268,0.263644055,0.112126664,0.034998677,153.3265957
2038,152.6087622,0,0,0.244174264,0.166988762,0.174815307,0.264880783,0.114634041,0.034506843,152.6087622
2039,151.5277486,0,0,0.23711417,0.168180076,0.176058578,0.266776153,0.116991911,0.034879112,151.5277486
2040,151.6394982,0,0,0.236424775,0.168056137,0.175985568,0.266518372,0.118196575,0.034818574,151.6394982
2041,152.0380613,0,0,0.236659433,0.167615583,0.175474048,0.265865922,0.119558845,0.034826169,152.0380613
2042,152.382566,0,0,0.236462792,0.167236639,0.175066376,0.265280695,0.121174591,0.034778906,152.382566
2043,152.5185386,0,0,0.235829252,0.167087545,0.174905541,0.265076125,0.122227674,0.034873863,152.5185386
2044,152.7558929,0,0,0.23583544,0.166827922,0.174640534,0.26346851,0.124097797,0.035129796,152.7558929
2045,151.4867771,0,0,0.227708227,0.168225562,0.17610037,0.265604068,0.126726126,0.035635646,151.4867771
2046,151.683034,0,0,0.226811435,0.168007901,0.175832363,0.265350673,0.127994779,0.036002849,151.683034
2047,152.9660305,0,0,0.230610891,0.166598742,0.174424845,0.263108808,0.129246905,0.03600981,152.9660305
2048,154.5267344,0,0,0.236476415,0.164916112,0.172669562,0.260534392,0.129491929,0.03591159,154.5267344
2049,156.214805,0,0,0.240277238,0.163134014,0.170738604,0.257646741,0.130131582,0.03807182,156.214805
2050,157.4046872,0,0,0.244189514,0.161734277,0.169513782,0.255690369,0.13092377,0.037948287,157.4046872
