hour,SE,US_TX,CAR,US_CA,MIDW,US_FL,MIDA,US_NPCC,NW,US_NY,SW,TEN
1,0.035507713,0.037287846,0.036821595,0.031990637,0.038975089,0.034777039,0.037026196,0.034795313,0.038920926,0.036365499,0.038042277,0.036401211
2,0.034926548,0.035600442,0.035465044,0.030549888,0.037314577,0.032387794,0.036318949,0.033575919,0.037204503,0.034573482,0.037097293,0.035326169
3,0.034100712,0.034540199,0.034669563,0.029620626,0.036060759,0.030670727,0.035874644,0.033073415,0.036127538,0.033577259,0.036587063,0.034717803
4,0.034224219,0.033976827,0.034277179,0.029324245,0.03541455,0.029723312,0.035862516,0.0329335,0.035537345,0.033084407,0.036441185,0.034600196
5,0.034545643,0.034010431,0.034383023,0.029707317,0.035212552,0.02946576,0.036499582,0.033311087,0.035506962,0.033243306,0.036852361,0.035169815
6,0.036122244,0.034988464,0.035355936,0.031009799,0.035739993,0.03034306,0.037962212,0.034591703,0.036162159,0.034388287,0.037918493,0.036770628
7,0.038072541,0.036938794,0.037403316,0.034637591,0.037154705,0.032444354,0.039864122,0.037396734,0.037852052,0.037113476,0.03922609,0.038790056
8,0.039844353,0.038658624,0.039538592,0.040256628,0.039111697,0.034663916,0.0414825,0.040716153,0.040349724,0.040201048,0.040487327,0.040579642
9,0.041432484,0.040145055,0.041214028,0.045319181,0.040825263,0.037547908,0.042378102,0.042698413,0.042433795,0.042195226,0.041378272,0.041995012
10,0.043619772,0.041718675,0.042525159,0.048220303,0.042055056,0.040998918,0.043078932,0.043528181,0.043025447,0.043233682,0.041873379,0.043193068
11,0.044093887,0.043214539,0.043683765,0.049835878,0.043030195,0.044328378,0.043624296,0.043961598,0.04313548,0.043961462,0.042351624,0.044127418
12,0.045055524,0.044414624,0.044654562,0.050598286,0.043813767,0.047010312,0.044006626,0.044155446,0.04302764,0.044547581,0.042788032,0.044791915
13,0.046193054,0.045333506,0.045506022,0.05127736,0.044245087,0.048983797,0.044396031,0.044315959,0.042952388,0.04483635,0.043251851,0.045265107
14,0.046722557,0.04608949,0.046166249,0.052059194,0.044748387,0.050509771,0.044655957,0.0446426,0.042969439,0.045039214,0.043833288,0.04543632
15,0.047421991,0.046643098,0.046516475,0.052551831,0.045113768,0.051398872,0.044839574,0.045011928,0.043176038,0.045263177,0.044340451,0.045440226
16,0.047765273,0.046951784,0.046607451,0.052235871,0.045215835,0.051805858,0.045064854,0.045577906,0.043427182,0.045605288,0.044778986,0.045462659
17,0.047054509,0.047120332,0.046528095,0.050207995,0.045281256,0.05174839,0.045327687,0.046745284,0.043770987,0.046259218,0.045217319,0.045677294
18,0.047134888,0.047034145,0.046359082,0.047873931,0.045382224,0.050928015,0.045746594,0.048331947,0.044389706,0.047243628,0.045606594,0.046028197
19,0.046317035,0.046717104,0.046304655,0.045566438,0.045561336,0.049658911,0.045741713,0.049546237,0.045520973,0.047865109,0.045972788,0.046361568
20,0.045729065,0.046366505,0.046107712,0.044490252,0.045652062,0.04858656,0.045224017,0.049278105,0.046411382,0.04770901,0.045824149,0.046113412
21,0.045055489,0.045759994,0.045464284,0.0424077,0.045375209,0.047373537,0.044244409,0.047937665,0.046507115,0.046955389,0.045168084,0.045291912
22,0.042474748,0.044554679,0.043975133,0.039631044,0.044657437,0.044938225,0.042311071,0.045283746,0.045816156,0.045238946,0.043660337,0.043328434
23,0.039310536,0.042317407,0.041510782,0.036603453,0.04309988,0.0415743,0.040228088,0.041189771,0.044224464,0.042308956,0.041732799,0.04081759
24,0.037275215,0.039617436,0.038962297,0.034024554,0.040959315,0.038132287,0.038241326,0.037401389,0.041550599,0.039191,0.039569956,0.038314347
