year,D,D_EV,f_coal,f_gas,f_nuc,f_hydro,f_wind,f_solar,f_other,D_nEV
2020,356.7641126,0,0.156435398,0.482425947,0.108261462,0.002327374,0.224909601,0.023737044,0.001903175,356.7641126
2021,364.4473471,0,0.089331433,0.481214291,0.105817131,0.002267285,0.243655447,0.075041919,0.002672494,364.4473471
2022,371.122405,0,0.067073613,0.491980645,0.103754796,0.002223202,0.248465158,0.082833973,0.003668612,371.122405
2023,375.950349,0,0.07172683,0.492479419,0.10242238,0.002193937,0.245293366,0.082097969,0.003786099,375.950349
2024,374.7942165,0,0.082444137,0.479846058,0.102738324,0.002200689,0.246050026,0.082752057,0.003968709,374.7942165
2025,379.1088847,0,0.106977042,0.459550658,0.101569051,0.002175801,0.243155005,0.082438689,0.004133753,379.1088847
2026,380.6746086,0,0.136013402,0.431530369,0.101151315,0.002163554,0.242215989,0.082566,0.004359372,380.6746086
2027,382.1005247,0,0.139884603,0.427862373,0.100773848,0.002160421,0.241283616,0.083571726,0.004463413,382.1005247
2028,384.7690239,0,0.139437487,0.430111618,0.100074948,0.00214306,0.239610215,0.084072273,0.004550398,384.7690239
2029,388.2470427,0,0.138708108,0.433051554,0.09917845,0.002122607,0.237509072,0.084734134,0.004696075,388.2470427
2030,391.6418317,0,0.137503108,0.437473189,0.098318735,0.002103509,0.234936294,0.084817881,0.004847283,391.6418317
2031,395.241391,0,0.13663677,0.441461794,0.097423349,0.002085387,0.23279855,0.084579114,0.005015036,395.241391
2032,399.006291,0,0.134907871,0.44637728,0.096504066,0.002063053,0.230599948,0.084340005,0.005207775,399.006291
2033,402.6438672,0,0.134001355,0.449736789,0.095632253,0.002044588,0.228516637,0.084753637,0.005314741,402.6438672
2034,407.4593539,0,0.132371955,0.454520567,0.09450204,0.002022567,0.225826581,0.085118972,0.005637319,407.4593539
2035,410.9776916,0,0.130719863,0.457450354,0.093692992,0.002003892,0.223893126,0.086171373,0.006068401,410.9776916
2036,415.6252562,0,0.129199948,0.457286622,0.092645307,0.001983543,0.221386957,0.090764141,0.006733481,415.6252562
2037,420.6015015,0,0.127772073,0.435328177,0.091549222,0.001961155,0.218738286,0.117448905,0.007202182,420.6015015
2038,425.3165186,0,0.126744616,0.419149028,0.090534291,0.001939279,0.216278619,0.137753203,0.007600963,425.3165186
2039,429.9311855,0,0.12532049,0.420849304,0.089562541,0.001918431,0.213953653,0.140408549,0.007987032,429.9311855
2040,434.4922652,0,0.123671011,0.413390355,0.089379565,0.001897427,0.211746373,0.151545345,0.008369924,434.4922652
2041,439.3748906,0,0.122256014,0.411594855,0.089134068,0.001876211,0.209393306,0.156964832,0.008780715,439.3748906
2042,445.3453956,0,0.118563367,0.411414242,0.087939095,0.001852429,0.206474049,0.164590344,0.009166474,445.3453956
2043,450.9405226,0,0.116539584,0.41586196,0.086847983,0.001828257,0.203849237,0.165507035,0.009565943,450.9405226
2044,455.011544,0,0.116514308,0.390410638,0.08607094,0.001811145,0.201917536,0.193277882,0.009997551,455.011544
2045,460.7088463,0,0.108415595,0.386583308,0.085006554,0.001786863,0.199405602,0.20837446,0.010427618,460.7088463
2046,466.043518,0,0.114992041,0.381839098,0.084033507,0.001762965,0.197070149,0.209400173,0.010902068,466.043518
2047,471.5796429,0,0.113530838,0.387303624,0.083046993,0.001742442,0.194782937,0.208262173,0.011330993,471.5796429
2048,477.3138794,0,0.112027869,0.392391911,0.082049303,0.001721635,0.192450892,0.207619325,0.011739065,477.3138794
2049,483.8838341,0,0.110481413,0.398859001,0.080935275,0.001701643,0.189887684,0.206007213,0.01212777,483.8838341
2050,489.4741806,0,0.109217095,0.40155951,0.080967612,0.001683453,0.187743725,0.20626512,0.012563484,489.4741806
