hour,SE,US_TX,SE2,US_CA,MIDW,Column2,MIDA,US_NPCC,NW,US_NY,SW,US_FL
1,0,0.050289374,,0.048715242,0.04725295,,0.045205754,0.044438522,0.044506277,0.044484077,0.043626331,0.045205754
2,0,0.049406108,,0.04755493,0.04681269,,0.045170585,0.043745308,0.043943248,0.043560699,0.042170122,0.045170585
3,0,0.048216995,,0.045555666,0.046070342,,0.044533468,0.043162234,0.043434981,0.042375598,0.041404037,0.044533468
4,0,0.046807508,,0.043698854,0.045206338,,0.043716833,0.042846269,0.04278293,0.041351703,0.040743173,0.043716833
5,0,0.045549951,,0.040728674,0.044422213,,0.042977172,0.042464395,0.04212039,0.041161574,0.040261802,0.042977172
6,0,0.044401432,,0.038127608,0.043671764,,0.042284802,0.042360615,0.041483561,0.041204958,0.039686184,0.042284802
7,0,0.042986085,,0.035080927,0.043027251,,0.041895153,0.042204512,0.040832061,0.041129096,0.037001651,0.041895153
8,0,0.041148721,,0.031985449,0.042242788,,0.040203444,0.041005697,0.039367378,0.04032117,0.034001738,0.040203444
9,0,0.038607525,,0.030349851,0.040492371,,0.037935844,0.039488028,0.037789392,0.039138439,0.033009175,0.037935844
10,0,0.037671082,,0.029432195,0.038405066,,0.037332348,0.0381678,0.036809281,0.03855312,0.033778636,0.037332348
11,0,0.03636649,,0.029414577,0.037017706,,0.037442854,0.037185506,0.036621299,0.038600533,0.034941127,0.037442854
12,0,0.035072511,,0.030442752,0.036566271,,0.037879352,0.036990666,0.036718573,0.039451843,0.036367514,0.037879352
13,0,0.034388587,,0.032306055,0.036796378,,0.038668205,0.037527199,0.03719115,0.040390156,0.038358266,0.038668205
14,0,0.034238027,,0.035174003,0.037253264,,0.039470419,0.038449364,0.038276055,0.041388685,0.040792126,0.039470419
15,0,0.034793426,,0.03921252,0.037904346,,0.040498866,0.039144312,0.039234085,0.042183573,0.042456525,0.040498866
16,0,0.035820781,,0.043271206,0.038665386,,0.041356952,0.039919335,0.040707241,0.042407365,0.043480316,0.041356952
17,0,0.036939769,,0.046329999,0.039180327,,0.041446092,0.040770965,0.042066031,0.042045125,0.044451778,0.041446092
18,0,0.037804247,,0.048691597,0.039430074,,0.041142132,0.0419004,0.04323229,0.041491098,0.045778008,0.041142132
19,0,0.038842669,,0.049685578,0.039653713,,0.040717048,0.042709824,0.044468497,0.040927826,0.047723183,0.040717048
20,0,0.040339966,,0.050913175,0.040164845,,0.041082455,0.043784334,0.045070994,0.041122695,0.048746974,0.041082455
21,0,0.043196106,,0.051446707,0.041895706,,0.042949081,0.04508924,0.045609815,0.04249105,0.049586489,0.042949081
22,0,0.047025869,,0.051089705,0.044400034,,0.044775097,0.0460036,0.046256693,0.044227333,0.048959385,0.044775097
23,0,0.049660279,,0.050643454,0.046341971,,0.045717855,0.045706137,0.046126481,0.04506513,0.047278668,0.045717855
24,0,0.050426492,,0.050149274,0.047126206,,0.045598191,0.044935739,0.045351298,0.044927156,0.045396794,0.045598191
