hour,"home, no discount constant price","home, discount 12am-7am",work,public
1,0.048694112,0.234305345,0.010502658,0.009352151
2,0.024347056,0.20958225,0.010502658,0.008501955
3,0.013280212,0.146327834,0.010502658,0.007481721
4,0.006640106,0.073163917,0.010502658,0.007481721
5,0.006640106,0.024748424,0.010502658,0.007481721
6,0.006640106,0.011544199,0.021767167,0.013603129
7,0.01770695,0.013178896,0.037439528,0.03060704
8,0.008853475,0.013631702,0.060948069,0.061214079
9,0.008853475,0.011871138,0.08184455,0.088420337
10,0.008853475,0.008350012,0.084021267,0.093861588
11,0.011066844,0.006036106,0.08053852,0.086719946
12,0.013280212,0.005482764,0.082715236,0.079918381
13,0.015050907,0.00504009,0.08053852,0.079238225
14,0.01770695,0.004376079,0.081409206,0.073796973
15,0.019920319,0.005583301,0.074008369,0.065635096
16,0.030987162,0.007217998,0.067478219,0.057813297
17,0.05312085,0.005205703,0.051424933,0.047610951
18,0.084108012,0.008022293,0.039235319,0.041489543
19,0.115095175,0.015240291,0.030474034,0.038428839
20,0.121735281,0.022383081,0.025331541,0.033327665
21,0.115095175,0.032845925,0.016804253,0.025505866
22,0.101814962,0.040567386,0.010502658,0.017684067
23,0.084108012,0.044994124,0.010502658,0.013603129
24,0.066401062,0.050301143,0.010502658,0.011222581
