year,f_coal,f_gas,f_nuc,f_hydro,f_wind,f_solar,f_other
1990,0.015892661,0.446882528,0.196982305,0.143356142,0.016622945,0.003313899,0.17694952
1991,0.016537028,0.464911517,0.198147636,0.137935706,0.01830911,0.004441681,0.159717322
1992,0.018603977,0.500153604,0.198721876,0.113712046,0.016148389,0.003376785,0.149283323
1993,0.016717887,0.425400352,0.168680742,0.21628118,0.015936402,0.003702119,0.153281318
1994,0.017548681,0.506512854,0.181040094,0.123434958,0.018167862,0.003912765,0.149382785
1995,0.01533663,0.399417999,0.1664502,0.264337135,0.016987119,0.004099064,0.133371853
1996,0.014407093,0.36698285,0.194257895,0.254959011,0.01754136,0.004451921,0.147399869
1997,0.013475461,0.410290686,0.176316534,0.237236735,0.018126682,0.004428896,0.140125007
1998,0.011372392,0.395740057,0.182216825,0.260983463,0.014526425,0.003968928,0.131191909
1999,0.012176496,0.45129311,0.176976387,0.216033173,0.017128966,0.003937566,0.122454301
2000,0.011345541,0.495461019,0.168845814,0.184005868,0.016886849,0.003552076,0.119902832
2001,0.011227849,0.562849304,0.167043727,0.128436337,0.017598366,0.004090199,0.108754218
2002,0.012617725,0.485800835,0.186204446,0.168795587,0.02061197,0.004507402,0.121462036
2003,0.012049938,0.473606058,0.184370907,0.188395219,0.020177794,0.004146008,0.117254076
2004,0.011472067,0.513786799,0.155167574,0.175022628,0.022073962,0.00438998,0.118086989
2005,0.010647001,0.465463215,0.180268679,0.197604881,0.021251516,0.004014084,0.120750624
2006,0.010298933,0.486952667,0.147243556,0.221369598,0.022496621,0.003417976,0.108220648
2007,0.010885942,0.548016038,0.169531365,0.129438073,0.026453072,0.003957131,0.11171838
2008,0.010946651,0.575998574,0.155925636,0.115821177,0.0258495,0.004827784,0.110630678
2009,0.009994874,0.553210876,0.15486997,0.135972986,0.028473027,0.004734694,0.112743571
2010,0.010269514,0.5257551,0.157453014,0.163467934,0.02972287,0.005642732,0.107688836
2011,0.00984939,0.442107623,0.182178297,0.211466454,0.038518587,0.00662484,0.109254809
2012,0.006868213,0.59771489,0.092440109,0.134046291,0.048720063,0.01035639,0.109854044
2013,0.004075427,0.591744261,0.088680019,0.117606356,0.063480582,0.028321985,0.106091369
2014,0.003949284,0.590981743,0.083357137,0.081126043,0.063759496,0.073109213,0.103717083
2015,0.001459372,0.569002065,0.090663318,0.067651889,0.059916202,0.108870029,0.102437124
2016,0.001545192,0.470394327,0.091621322,0.140246169,0.065461373,0.136698819,0.094032798
2017,0.001333309,0.404676405,0.081993563,0.194038856,0.058733845,0.167318052,0.091905969
2018,0.001346336,0.429773474,0.087163446,0.126009239,0.067113658,0.193712237,0.09488161
2019,0.00111348,0.397503083,0.074857082,0.177609521,0.063603017,0.196792208,0.088521609
