year,coal power emissions,gas power emissions,coal gen,gas gen,S_coal,S_gas,(S/S_19)_coal_US_AEO20,(S/S_19)_natural gas_US_AEO20
2019,966.817139,624.731506,974.312317,1452.077637,992.3072121,430.232854,1,1
2020,875.230164,615.962097,888.38324,1437.080078,985.1943672,428.6205803,0.992832013,0.996252556
2021,822.86084,643.542236,841.51062,1518.970215,977.8377366,423.6700823,0.985418351,0.984746001
2022,790.479004,621.782227,811.340881,1506.070801,974.2871616,412.8505955,0.98184025,0.959598021
2023,732.591919,609.013794,751.493286,1503.593872,974.8482557,405.0387577,0.982405694,0.941440789
2024,721.173767,594.834961,737.797852,1483.792603,977.4679677,400.8882103,0.985045716,0.931793578
2025,675.220703,590.626831,722.249817,1486.064453,934.8852531,397.4436168,0.942132882,0.923787231
2026,714.838318,587.494141,764.595093,1492.119263,934.92402,393.7313562,0.942171949,0.915158739
2027,713.395996,578.285339,763.430542,1477.186768,934.4609061,391.4774702,0.941705245,0.909919981
2028,711.600647,574.923706,761.818481,1474.236328,934.081628,389.9806938,0.941323026,0.906440989
2029,708.958313,571.052368,759.554321,1468.496338,933.3872422,388.8687722,0.940623257,0.903856525
2030,707.029236,559.116638,757.881042,1438.155029,932.9026547,388.7735513,0.940134913,0.903635201
2031,702.72821,563.631653,753.12677,1454.820435,933.0809075,387.4235194,0.940314548,0.900497291
2032,701.571411,570.86084,751.832886,1475.210693,933.1480759,386.9690226,0.940382237,0.899440893
2033,707.910339,581.41626,758.189697,1504.756226,933.6849891,386.3856816,0.940923313,0.898085021
2034,701.496887,598.411865,751.805481,1550.460693,933.0829646,385.9574562,0.940316621,0.897089687
2035,692.55072,600.504211,742.556702,1557.677979,932.6570188,385.5124224,0.939887373,0.896055285
2036,686.702698,604.731506,736.559753,1571.876831,932.310916,384.7193966,0.939538587,0.894212037
2037,684.563782,610.154602,735.432007,1590.071899,930.832185,383.7276807,0.938048392,0.891906969
2038,675.601685,616.185974,726.643311,1609.11084,929.7569726,382.9356926,0.936964844,0.890066133
2039,670.10791,620.934326,721.362488,1625.774902,928.9475418,381.9313026,0.936149139,0.887731606
2040,667.771973,627.828979,718.736755,1645.44751,929.0911705,381.5551546,0.936293881,0.886857317
2041,664.628052,630.442871,715.431946,1653.298828,928.9885023,381.3242109,0.936190417,0.886320529
2042,661.761108,632.264343,712.501099,1658.317139,928.7860874,381.2686537,0.935986432,0.886191396
2043,659.277405,635.04303,710.000122,1666.542236,928.5595658,381.0542669,0.935758155,0.885693092
2044,659.311646,633.375671,709.995667,1661.338013,928.6136193,381.2443139,0.935812627,0.886134823
2045,655.762939,633.045776,706.432678,1658.931152,928.2737895,381.5985825,0.935470163,0.886958257
2046,662.321777,635.216675,713.089111,1664.303955,928.8064658,381.6710722,0.936006969,0.887126747
2047,661.750427,641.811951,712.534607,1681.75293,928.7274197,381.6327235,0.93592731,0.887037612
2048,661.121033,651.637024,711.787109,1706.956787,928.8184973,381.7536735,0.936019094,0.887318739
2049,658.414978,661.385254,708.893188,1733.446899,928.7929256,381.5434176,0.935993324,0.886830036
2050,661.154114,668.338684,711.931335,1750.776367,928.6768,381.7384656,0.935876298,0.887283391
