year,region,US_CA,US_FL,US_NY,US_TX,US_NPCC,US
2020,,1.006606447,1.006606447,1.006606447,1.006606447,1.006606447,1.006606447
2021,,1.013184179,1.012888873,1.007404381,1.013944515,1.010793857,1.01347505
2022,,1.019761911,1.019171298,1.008202315,1.021282582,1.014981266,1.020550335
2023,,1.026339643,1.025453724,1.009000249,1.02862065,1.019168676,1.027560816
2024,,1.032917374,1.03173615,1.009798183,1.035958718,1.023356086,1.034496266
2025,,1.039495106,1.038018575,1.010596117,1.043296786,1.027543495,1.041351574
2026,,1.046072838,1.044301001,1.011394051,1.050634854,1.031730905,1.048130273
2027,,1.05265057,1.050583426,1.012191985,1.057972921,1.035918314,1.054810139
2028,,1.059228302,1.056865852,1.012989919,1.065310989,1.040105724,1.06137816
2029,,1.065806034,1.063148278,1.013787853,1.072649057,1.044293134,1.067851253
2030,,1.072383766,1.069430703,1.014585787,1.079987125,1.048480543,1.07420869
2031,,1.078961497,1.075713129,1.015383721,1.087325192,1.052667953,1.080403328
2032,,1.085539229,1.081995555,1.016181655,1.09466326,1.056855363,1.086440934
2033,,1.092116961,1.08827798,1.016979589,1.102001328,1.061042772,1.092334804
2034,,1.098694693,1.094560406,1.017777523,1.109339396,1.065230182,1.09808661
2035,,1.105272425,1.100842831,1.018575457,1.116677463,1.069417591,1.103699325
2036,,1.111850157,1.107125257,1.019373391,1.124015531,1.073605001,1.109177791
2037,,1.118427889,1.113407683,1.020171325,1.131353599,1.077792411,1.114527857
2038,,1.12500562,1.119690108,1.020969259,1.138691667,1.08197982,1.119755573
2039,,1.131583352,1.125972534,1.021767193,1.146029734,1.08616723,1.124868184
2040,,1.138161084,1.13225496,1.022565127,1.153367802,1.09035464,1.129873507
2041,,1.144738816,1.138537385,1.023363061,1.16070587,1.094542049,1.134780369
2042,,1.151316548,1.144819811,1.024160995,1.168043938,1.098729459,1.139599091
2043,,1.15789428,1.151102237,1.024958929,1.175382005,1.102916869,1.144340461
2044,,1.164472011,1.157384662,1.025756863,1.182720073,1.107104278,1.149017774
2045,,1.171049743,1.163667088,1.026554797,1.190058141,1.111291688,1.153645343
2046,,1.177627475,1.169949513,1.027352731,1.197396209,1.115479097,1.158236655
2047,,1.184205207,1.176231939,1.028150665,1.204734276,1.119666507,1.162801096
2048,,1.190782939,1.182514365,1.028948599,1.212072344,1.123853917,1.167350938
2049,,1.197360671,1.18879679,1.029746533,1.219410412,1.128041326,1.171898367
2050,,1.203938403,1.195079216,1.030544467,1.22674848,1.132228736,1.176453696
