Processes,China,India,United States,Global,EU-27,Gulf Cooperation Council region,Australia,Indonesia,Units,,,model varify,Global,EU-27,,,,,,,,
Bauxite production,,,,IAI: World,,,,,,,,,,,,,,,,,,
Inputs,,,,,,,,,,,,Inputs,,,,,,,,,,
Fresh Water,,,,0.5,0.5,,,,m3,,,Fresh Water,2.744508,2.056824,m3,,,,,,,
Sea Water,,,,0,0,,,,m3,,,Sea Water,0,0,m3,,,,,,,
Coal,,,,0,0,,,,MJ,,,Coal,0,0,MJ,,,,,,,
Heavy oil,,,,21,21,,1.98,,MJ,,,Heavy oil,115.269336,86.386608,MJ,0.00282039,0.002113692,tonne,0.00980942,0.0073515,tonne CO2,
Diesel oil,,,,78,78,,41.85,97.56,MJ,,,Diesel oil,428.143248,320.864544,MJ,0.009980029,0.00747936,tonne,0.035364632,0.026503411,tonne CO2,
Total thermal energy,,,,99,99,,43.83,,MJ,,,Total thermal energy,543.412584,407.251152,MJ,,,,,,,
Electricity,,,,1.5,1.5,,2,48.1,kWh,,,Electricity,8.233524,6.170472,kWh,0.029640686,0.022213699,GJ,0.003705086,0.001394132,tonne CO2,
Outputs,,,,,,,,,,,,Outputs,,,,,,co2 bauxite,0.048879139,0.035249043,tonne CO2,
Bauxite,,,,1,1,,1,5.53,tonne,,,Bauxite,5.489016,4.113648,tonne,,,,,,,
Fresh Water,,,,0.03,0.03,,,,m3,,,Fresh Water,0.16467048,0.12340944,m3,,,,,,,
Sea Water,,,,0,0,,,,m3,,,Sea Water,0,0,m3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Alumina production,,,,,,,,,,,,,,,,,,,,,,
Inputs,,,,,,,,,,,,Inputs,,,,,,,,,,
Bauxite,4.18,,,2.847,2.156,,,5.53,tonne,,,Bauxite,5.489016,4.113648,tonne,,,,,,,
NaOH (as 100%),0.16,,,0.073,0.048,,,0.119,tonne,,,NaOH (as 100%),0.140744,0.091584,tonne,,,,,,,
Ca(OH)2,,,,,,,,0.0399,tonne,,,Ca(OH)2,0,0,tonne,,,,,,,
Flocullant,,,,,,,,0.00821,tonne,,,Flocullant,0,0,tonne,,,,,,,
CaO,0.25,,,0.032,0.03,,,,tonne,,,CaO,0.061696,0.05724,tonne,,,,,,,
Fresh water,6.43,,,2,3.6,,,,m3,,,Fresh water,3.856,6.8688,m3,,,,,,,
Sea water,,,,0.2,0,,,,m3,,,Sea water,0.3856,0,m3,,,,,,,
Coal,,,,8564,0,,,,MJ,0.695581546,0,Coal,16511.392,0,MJ,0.610402662,0,,1.616465277,,,
Heavy oil,,,,1065,32,,,,MJ,0.086500975,0.003564665,Heavy oil,2053.32,61.056,MJ,0.050240274,0.001493908,tonne,0.174737532,0.005195866,tonne CO2,
Diesel oil,,,,46,3,,,2595.6,MJ,0.003736192,0.000334187,Diesel oil,88.688,5.724,MJ,0.002067319,0.000133427,tonne,0.007325629,0.000472802,tonne CO2,
Natural Gas,10097.1,,,2637,8942,,,,MJ,0.214181287,0.996101147,Natural Gas,5084.136,17061.336,MJ,0.102709818,0.344673455,tonne,0.321317395,1.078276435,tonne CO2,
Steam,0.00037,,,,,,,,MJ,0,0,Steam,0,0,MJ,-1.00E-17,,tonne,-1.00E-16,,,
