Years,Chemical Engineering,Marshall-Swift,Nelson-Farrar,Engineering News-Record,U.S. Federal Government,sources
1980,261,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
1981,297,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
1982,314,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
1983,317,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
1984,323,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
1985,325,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
1986,318,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
1987,324,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
1988,343,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
1989,355,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
1990,358,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
1991,361,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
1992,358,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
1993,359,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
1994,368,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
1995,381,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
1996,382,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
1997,387,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
1998,390,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
1999,391,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
2000,394,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
2001,394,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
2002,396,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
2003,402,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
2004,444,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
2005,468,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
2006,500,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
2007,525,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
2008,575,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
2009,522,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
2010,551,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
2011,586,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
2012,585,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
2013,567,,,,,"Warren D. Seider et al. - Product and Process Design Principles_ Synthesis, Analysis and Evaluation"
2014,576,,,,,https://ic.nipc.ir/ic/Portals/0/Introduce/cost%20index/Chemical%20Engineering%20Vol127%239%20Sep2020.pdf
2015,557,,,,,https://ic.nipc.ir/ic/Portals/0/Introduce/cost%20index/Chemical%20Engineering%20Vol127%239%20Sep2020.pdf
2016,542,,,,,https://ic.nipc.ir/ic/Portals/0/Introduce/cost%20index/Chemical%20Engineering%20Vol127%239%20Sep2020.pdf
2017,568,,,,,https://ic.nipc.ir/ic/Portals/0/Introduce/cost%20index/Chemical%20Engineering%20Vol127%239%20Sep2020.pdf
2018,603,,,,,https://ic.nipc.ir/ic/Portals/0/Introduce/cost%20index/Chemical%20Engineering%20Vol127%239%20Sep2020.pdf
2019,608,,,,,https://ic.nipc.ir/ic/Portals/0/Introduce/cost%20index/Chemical%20Engineering%20Vol127%239%20Sep2020.pdf
2020,596.2,,,,,https://ic.nipc.ir/ic/Portals/0/Introduce/cost%20index/Chemical%20Engineering%20Vol127%239%20Sep2020.pdf
