Year,China,India,Korea,United States,Canada,Global,unit,source,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,EU-27,EU27+1,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Melta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,United Kingdom,source
2000,0.24912467,0.22682536,0.15156866,0.17372912,0.061094,,tonne CO2e/GJ,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,0.0438766,0.074979,0.1321852,0.0810884,0.2357673,0.1910576,0.1330183,0.1108023,0.1141347,0.3099132,0.0455428,0.0255484,0.1552343,0.2707575,0.127742,0.1871698,0.1099692,0.0380449,0.0311024,0.0266592,0.2329903,0.1419047,0.263815,0.1344068,0.1280197,0.0647041,0.0985835,0.1296859,0.0049986,0.1344068,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2001,0.24245987,0.22563125,0.15192967,0.1835597,0.06375992,,tonne CO2e/GJ,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,0.0488752,0.0713689,0.1457925,0.0846985,0.2185499,0.1907799,0.130519,0.1091361,0.1133016,0.3018599,0.058317,0.0202721,0.1593998,0.2732568,0.1257981,0.1927238,0.1063591,0.0349902,0.0272146,0.0463759,0.2788108,0.1449594,0.261038,0.1280197,0.1294082,0.0608163,0.1058037,0.1155232,0.005554,0.1399608,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2002,0.24762509,0.22029941,0.13548983,0.16345422,0.05981658,,tonne CO2e/GJ,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,0.0466536,0.0730351,0.1341291,0.1008051,0.2129959,0.1843928,0.1285751,0.11108,0.1146901,0.2926958,0.0641487,0.0216606,0.158289,0.2654812,0.1238542,0.180505,0.1127462,0.0349902,0.0205498,0.0763675,0.2657589,0.1438486,0.2599272,0.1496803,0.1285751,0.0552623,0.1096915,0.1299636,0.0074979,0.1371838,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2003,0.25365118,0.21691147,0.13462896,0.16423178,0.06362107,,tonne CO2e/GJ,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,0.0591501,0.0738682,0.1488472,0.1080253,0.2149398,0.1663423,0.136073,0.1124685,0.1163563,0.2949174,0.0802553,0.0233268,0.1538458,0.2538178,0.1399608,0.1716186,0.1230211,0.0344348,0.0183282,0.0708135,0.2690913,0.1449594,0.2627042,0.1219103,0.1446817,0.0613717,0.108303,0.1144124,0.0099972,0.1394054,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2004,0.2446537,0.22532578,0.14226571,0.16362084,0.05890017,,tonne CO2e/GJ,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,0.0547069,0.0752567,0.1488472,0.0799776,0.2171614,0.1657869,0.1177448,0.1096915,0.1141347,0.2907519,0.0669257,0.0230491,0.1494026,0.255484,0.1257981,0.1652315,0.1263535,0.0266592,0.0202721,0.0763675,0.2596495,0.1407939,0.2607603,0.1344068,0.1255204,0.0630379,0.1005274,0.1174671,0.0061094,0.1424601,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2005,0.23535075,0.22016056,0.13793359,0.16278774,0.05548446,,tonne CO2e/GJ,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,0.0524853,0.0763675,0.1402385,0.0846985,0.22216,0.1710632,0.1077476,0.1074699,0.1116354,0.2854756,0.0410996,0.0288808,0.144404,0.2540955,0.1046929,0.1668977,0.1102469,0.0238822,0.0299916,0.0755344,0.2454868,0.1371838,0.2565948,0.1485695,0.1158009,0.0544292,0.1010828,0.1219103,0.0049986,0.1396831,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2006,0.23426772,0.21652269,0.13896108,0.15628956,0.05565108,,tonne CO2e/GJ,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,0.0508191,0.0702581,0.1380169,0.0871978,0.2202161,0.1702301,0.1319075,0.1071922,0.1119131,0.2732568,0.0688696,0.0280477,0.1430155,0.2371558,0.1058037,0.1532904,0.1080253,0.0302693,0.0288808,0.0755344,0.2457645,0.1327406,0.2604826,0.124965,0.1285751,0.0510968,0.1030267,0.1105246,0.0061094,0.1463479,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2007,0.22413167,0.22371512,0.13626739,0.15873332,0.05834477,,tonne CO2e/GJ,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,0.0469313,0.0672034,0.1671754,0.1099692,0.2210492,0.1707855,0.1227434,0.1091361,0.1133016,0.2818655,0.0613717,0.0266592,0.1482918,0.244376,0.1066368,0.1463479,0.1058037,0.0291585,0.0252707,0.0747013,0.2463199,0.1341291,0.2552063,0.1169117,0.1563451,0.0519299,0.1094138,0.1141347,0.0052763,0.1430155,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2008,0.21499534,0.224937,0.13818352,0.15395688,0.05306847,,tonne CO2e/GJ,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,0.0441543,0.0660926,0.1577336,0.0955288,0.2202161,0.1671754,0.1149678,0.1024713,0.1071922,0.2801993,0.0452651,0.0241599,0.1391277,0.241599,0.1005274,0.1371838,0.1030267,0.0308247,0.0236045,0.0680365,0.2393774,0.1324629,0.2488192,0.1155232,0.1432932,0.0524853,0.0958065,0.0963619,0.0052763,0.1413493,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2009,0.21363461,0.23174065,0.14906936,0.14604243,0.04895851,,tonne CO2e/GJ,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,0.0380449,0.0591501,0.1460702,0.0752567,0.2154952,0.1588444,0.1144124,0.0985835,0.1024713,0.272146,0.0502637,0.0219383,0.1377392,0.2371558,0.0885863,0.1316298,0.0980281,0.0258261,0.0238822,0.0783114,0.2396551,0.1246873,0.244376,0.1091361,0.1257981,0.0460982,0.0919187,0.0880309,0.0052763,0.1285751,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2010,0.20813615,0.22377066,0.15170751,0.14731985,0.05068025,0.145833333,tonne CO2e/GJ,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,0.0433212,0.0591501,0.1469033,0.0599832,0.2041095,0.1538458,0.1021936,0.0946957,0.0991389,0.2702021,0.0605386,0.0213829,0.1341291,0.2429875,0.0902525,0.1346845,0.0938626,0.0319355,0.0880309,0.0655372,0.2454868,0.1235765,0.2410436,0.077756,0.1074699,0.038878,0.0921964,0.0710912,0.0072202,0.1307967,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
