TIME,AGR,Australia,AUT,BEL,Canada,China,India,EU-27,United_States,source
1995,0.74313,1.310865,0.939929,0.927321,1.208841,2.733376,7.944424,0.84,1,https://data.oecd.org/conversion/purchasing-power-parities-ppp.htm#indicator-chart
1996,0.729385,1.312182,0.936118,0.929897,1.207821,2.858882,8.392545,0.849,1,https://data.oecd.org/conversion/purchasing-power-parities-ppp.htm#indicator-chart
1997,0.713695,1.308112,0.931829,0.927803,1.200974,2.855852,8.784588,0.837,1,https://data.oecd.org/conversion/purchasing-power-parities-ppp.htm#indicator-chart
1998,0.693716,1.3003,0.922801,0.935637,1.185448,2.798643,9.382645,0.832,1,https://data.oecd.org/conversion/purchasing-power-parities-ppp.htm#indicator-chart
1999,0.671284,1.29695,0.923906,0.931348,1.19081,2.723965,9.532905,0.836,1,https://data.oecd.org/conversion/purchasing-power-parities-ppp.htm#indicator-chart
2000,0.663416,1.311473,0.907226,0.899723,1.227563,2.719364,9.664333,0.83,1,https://data.oecd.org/conversion/purchasing-power-parities-ppp.htm#indicator-chart
2001,0.642064,1.326806,0.922769,0.892244,1.221139,2.715469,9.761001,0.827,1,https://data.oecd.org/conversion/purchasing-power-parities-ppp.htm#indicator-chart
2002,0.825195,1.33649,0.899797,0.8733,1.229333,2.689281,9.966049,0.82,1,https://data.oecd.org/conversion/purchasing-power-parities-ppp.htm#indicator-chart
2003,0.895181,1.353924,0.889084,0.877016,1.226338,2.70898,10.162784,0.822,1,https://data.oecd.org/conversion/purchasing-power-parities-ppp.htm#indicator-chart
2004,1.031788,1.366397,0.878806,0.889063,1.233195,2.821351,10.46296,0.818,1,https://data.oecd.org/conversion/purchasing-power-parities-ppp.htm#indicator-chart
2005,1.103858,1.388356,0.881939,0.891788,1.213644,2.842933,10.717338,0.819,1,https://data.oecd.org/conversion/purchasing-power-parities-ppp.htm#indicator-chart
2006,1.218661,1.404001,0.861176,0.87544,1.205778,2.867778,11.276447,0.796,1,https://data.oecd.org/conversion/purchasing-power-parities-ppp.htm#indicator-chart
2007,1.364085,1.427582,0.869233,0.880041,1.212706,3.009186,11.744053,0.79,1,https://data.oecd.org/conversion/purchasing-power-parities-ppp.htm#indicator-chart
2008,1.648101,1.479073,0.854424,0.86694,1.23439,3.181871,12.579117,0.776,1,https://data.oecd.org/conversion/purchasing-power-parities-ppp.htm#indicator-chart
2009,1.887154,1.441497,0.843111,0.849484,1.201369,3.151181,13.362861,0.754,1,https://data.oecd.org/conversion/purchasing-power-parities-ppp.htm#indicator-chart
2010,2.255571,1.502766,0.841548,0.835934,1.221371,3.329232,14.599321,0.756,1,https://data.oecd.org/conversion/purchasing-power-parities-ppp.htm#indicator-chart
2011,2.733128,1.511052,0.831374,0.831911,1.239904,3.524468,15.549549,0.745,1,https://data.oecd.org/conversion/purchasing-power-parities-ppp.htm#indicator-chart
2012,3.218154,1.540115,0.813648,0.822137,1.244607,3.560968,16.160835,0.739,1,https://data.oecd.org/conversion/purchasing-power-parities-ppp.htm#indicator-chart
2013,3.940967,1.447123,0.797081,0.806166,1.224,3.663645,17.342325,0.721,1,https://data.oecd.org/conversion/purchasing-power-parities-ppp.htm#indicator-chart
2014,5.451964,1.452489,0.798797,0.800214,1.230358,3.75885,18.386549,0.717,1,https://data.oecd.org/conversion/purchasing-power-parities-ppp.htm#indicator-chart
2015,6.866548,1.473691,0.798813,0.799998,1.248042,3.870697,19.235003,0.719,1,https://data.oecd.org/conversion/purchasing-power-parities-ppp.htm#indicator-chart
2016,9.294966,1.450156,0.776931,0.781011,1.207045,3.988837,19.898727,0.694,1,https://data.oecd.org/conversion/purchasing-power-parities-ppp.htm#indicator-chart
2017,10.256822,1.477553,0.775009,0.775634,1.212304,4.183811,20.647793,0.687,1,https://data.oecd.org/conversion/purchasing-power-parities-ppp.htm#indicator-chart
2018,14.024082,1.472427,0.764069,0.765017,1.198165,4.228704,20.917234,0.678,1,https://data.oecd.org/conversion/purchasing-power-parities-ppp.htm#indicator-chart
2019,20.752961,1.474643,0.763387,0.757838,1.213289,4.208027,21.283205,0.672,1,https://data.oecd.org/conversion/purchasing-power-parities-ppp.htm#indicator-chart
2020,28.673797,1.471741,0.764401,0.75128,1.206376,4.185602,21.989558,0.668,1,https://data.oecd.org/conversion/purchasing-power-parities-ppp.htm#indicator-chart
