Processes,China,India,United States,Global,EU-27,Australia,units,,
Inputs,,,,IAI: World,,,,,
Aluminum scrap,1.18,,,1.019,1.019,,tonne,,
Electricity,1.1484,,,0.54,0.54,,GJ,valify,
Heavy oil,,,,71,71,,MJ,0.0060421,tonne CO2
Diesel oil,,,,47,47,,MJ,0.0038822,tonne CO2
Natural gas,,,,3093,3093,,MJ,0.1954776,tonne CO2
Total energy inputs,,,,3751,3751,,,,
Outputs,,,,,,,,0.2054019,
Aluminum  ,1,,,1,1,,tonne,,
,,,,,,,,,
source,Supporting information: https://onlinelibrary.wiley.com/doi/10.1111/jiec.13146,,,,page 75: https://european-aluminium.eu/media/3321/full-environmental-profile-report-2018.pdf,,,,
Note,,,,"sources hasn't been found yet, using the same data as EU-27",,,,,
CO2 conversion factor for fuels,value,units,,,,,,,
Heavy oil/Fuel oul,0.0851,kg CO2/MJ,,,,,,,
Natural gas,0.0632,kg CO2/MJ,,,,,,,
Hard coal,0.0979,kg CO2/MJ,,,,,,,
Diesel/light oil,0.0826,kg CO2/MJ,,,,,,,
steam,0.0702,kg CO2/MJ,,,,,,,
Data base year,2015,,,,,,,,
source:,European Aluminum Industry: https://european-aluminium.eu/media/3321/full-environmental-profile-report-2018.pdf,,,,,,,,
,,,,,,,,,
Assumptions,Value,Units,Source,,,,,,
Natural gas,49.5,MJ/kg,,,,,,,
Natural gas,39,MJ/Nm3,https://www.unitrove.com/engineering/tools/gas/natural-gas-calorific-value,,,,,,
Diesel,36,MJ/L,https://www.claverton-energy.com/wordpress/wp-content/uploads/2012/08/the_energy_and_fuel_data_sheet1.pdf,,,,,,
Diesel,42.9,MJ/kg,https://www.claverton-energy.com/wordpress/wp-content/uploads/2012/08/the_energy_and_fuel_data_sheet1.pdf,,,,,,
Crude oil,36.84,MJ/L,https://www.claverton-energy.com/wordpress/wp-content/uploads/2012/08/the_energy_and_fuel_data_sheet1.pdf,,,,,,
Crude oil,43.05,MJ/kg,https://www.claverton-energy.com/wordpress/wp-content/uploads/2012/08/the_energy_and_fuel_data_sheet1.pdf,,,,,,
Coal,27.5,MJ/kg,https://www.claverton-energy.com/wordpress/wp-content/uploads/2012/08/the_energy_and_fuel_data_sheet1.pdf,,,,,,
Fuel oil,40.87,MJ/kg,https://www.claverton-energy.com/wordpress/wp-content/uploads/2012/08/the_energy_and_fuel_data_sheet1.pdf,,,,,,
