,Year,Reference,Electrification,Natural Gas Support,Resource Efficiency,Low Carbon Price,High Carbon Price,CCS and Low Carbon Price,CCS and High Carbon Price,units,source
% with ccs,2020,0,0,0,0,0,0,0,0,%,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2025,0,0,0,0,0,0,0,0,%,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2030,0,0,0,0,0,0,0,6.8,%,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2035,0,0,0,0,0,0,0,74.1,%,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2040,0,0,0,0,0,0,0,80.8,%,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2045,0,0,0,0,0,0,1.1,89.2,%,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2050,0,0,0,0,0,0,47.7,90.5,%,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,,,,,,,,,,,
Coal use,2020,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2025,27.9,25.5,25.5,24.5,22.9,20.1,22.9,20.1,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2030,32.4,27.8,27.9,27.3,24.3,20.5,24.3,21.1,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2035,37.2,30,30.2,30.3,26.4,21.8,26.4,28.9,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2040,41.5,31.4,31.9,32.4,28.1,22.2,28.1,31,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2045,44.2,31.4,32.1,32.3,30.8,23.4,30.9,34.4,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2050,44.7,30,30.8,31.5,28.7,24.2,35.6,35.9,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,,,,,,,,,,,
Electricity use,2020,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2025,4.1,4.2,4.1,3.7,4,3.3,4,3.3,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2030,5.2,5.4,5.2,4.7,4.7,3.8,4.7,3.9,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2035,6.5,6.9,6.6,5.7,5.5,4.7,5.5,6.2,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2040,7.9,8.5,7.9,6.6,6.3,5.3,6.3,7.4,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2045,9.2,10.1,9.2,7.5,7.2,6.1,7.3,9,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2050,10.5,11.8,10.5,8.4,8.1,6.9,10,10.2,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,,,,,,,,,,,
Natural gas use,2020,2,2,2,2,2,2,2,2,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2025,2.4,2.5,2.6,2,2.3,1.6,2.3,1.6,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2030,3.2,3.3,3.6,2.5,2.6,1.6,2.6,1.6,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2035,4.1,4.3,4.8,3.1,2.8,1.6,2.8,2.1,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2040,5.1,5.3,6.2,3.6,2.8,1.4,2.8,2,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2045,6,6.4,7.6,4.1,2.7,1.3,2.8,1.9,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2050,6.9,7.3,8.9,4.5,2.7,1.2,3.3,1.8,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,,,,,,,,,,,
Oil biofuels use,2020,12,12,12,12,12,12,12,12,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2025,12.3,12.3,12.3,13.1,12.3,12.2,12.3,12.2,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2030,12.9,13,13,14.4,13,12.6,13,13,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2035,13.6,13.8,13.8,16.1,13.6,13,13.6,17.2,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2040,14.3,14.5,14.5,18.1,14.1,13.3,14.1,18.6,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2045,14.9,15.2,15.1,20.1,14.5,13.5,14.6,19.9,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2050,15.4,15.8,15.8,22.3,14.8,13.6,18.3,20.2,mtoe,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,,,,,,,,,,,
Coal price,2020,1,1,1,1,1,1,1,1,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2025,1.01,1,1,0.99,1.18,2.55,1.18,2.55,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2030,1.09,1.08,1.07,1.04,1.81,3.44,1.81,3.44,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2035,1.18,1.16,1.15,1.1,2.33,4.5,2.33,4.56,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2040,1.27,1.24,1.23,1.15,2.85,5.9,2.85,5.98,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2045,1.34,1.31,1.29,1.23,3.56,7.18,3.57,7.28,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2050,1.47,1.45,1.41,1.31,4.42,8.37,4.5,8.48,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,,,,,,,,,,,
Natural gas price,2020,1,1,1,1,1,1,1,1,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2025,1,1,1,0.99,1.06,1.49,1.06,1.49,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2030,1.02,1.02,1.03,1,1.25,1.87,1.25,1.88,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2035,1.04,1.05,1.07,0.99,1.41,2.21,1.41,2.23,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2040,1.06,1.06,1.1,0.97,1.65,2.63,1.65,2.69,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2045,1.05,1.05,1.1,0.95,1.85,2.9,1.86,3.06,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2050,1.07,1.07,1.14,0.93,2.02,3.21,2.11,3.48,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,,,,,,,,,,,
Oil biofules price,2020,1,1,1,1,1,1,1,1,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2025,1.05,1.05,1.05,1.05,1.09,1.37,1.09,1.37,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2030,1.09,1.09,1.09,1.09,1.24,1.59,1.24,1.59,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2035,1.13,1.13,1.13,1.12,1.38,1.81,1.38,1.81,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2040,1.17,1.17,1.17,1.14,1.53,2.08,1.53,2.09,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2045,1.21,1.21,1.21,1.17,1.69,2.31,1.69,2.31,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2050,1.25,1.25,1.25,1.2,1.83,2.53,1.83,2.54,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,,,,,,,,,,,
Electricity price,2020,1,1,1,1,1,1,1,1,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2025,1.08,1.08,1.08,1.18,1.09,1.23,1.09,1.23,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2030,1.09,1.09,1.09,1.21,1.15,1.34,1.15,1.34,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
