Fuel type,LB_C (%),UP_C(%),M_C(%),LB_HHV(MJ/kg),UP_HHV(MJ/kg),M_HHV(MJ/kg),source
Lignite b,25,35,30,11.63,14.6538,13.1419,https://www.uky.edu/KGS/coal/coal-sub.php; https://www.sciencedirect.com/science/article/pii/B978178242378200002X; https://www.eia.gov/kids/energy-sources/coal/
Lignite a,25,35,30,14.6538,19.3058,16.9798,https://www.uky.edu/KGS/coal/coal-sub.php; https://www.sciencedirect.com/science/article/pii/B978178242378200002X; https://www.eia.gov/kids/energy-sources/coal/
Sub_bituminous c,35,45,40,19.3058,22.097,20.7014,https://www.uky.edu/KGS/coal/coal-sub.php; https://www.sciencedirect.com/science/article/pii/B978178242378200002X; https://www.eia.gov/kids/energy-sources/coal/
Sub_bituminous b,35,45,40,22.097,24.423,23.26,https://www.uky.edu/KGS/coal/coal-sub.php; https://www.sciencedirect.com/science/article/pii/B978178242378200002X; https://www.eia.gov/kids/energy-sources/coal/
Sub_bituminous a,35,45,40,24.423,26.749,25.586,https://www.uky.edu/KGS/coal/coal-sub.php; https://www.sciencedirect.com/science/article/pii/B978178242378200002X; https://www.eia.gov/kids/energy-sources/coal/
Bituminous high_volatile c,45,69,57,26.749,30.238,28.4935,https://www.uky.edu/KGS/coal/coal-sub.php; https://www.sciencedirect.com/science/article/pii/B978178242378200002X; https://www.eia.gov/kids/energy-sources/coal/
Bituminous high_volatile b,45,69,57,30.238,32.564,31.401,https://www.uky.edu/KGS/coal/coal-sub.php; https://www.sciencedirect.com/science/article/pii/B978178242378200002X; https://www.eia.gov/kids/energy-sources/coal/
Bituminous high_volatile a,45,69,57,32.564,36,34.282,https://www.uky.edu/KGS/coal/coal-sub.php; https://www.sciencedirect.com/science/article/pii/B978178242378200002X; https://www.eia.gov/kids/energy-sources/coal/
Bituminous medium_volatile,69,78,73.5,36,36,36,https://www.uky.edu/KGS/coal/coal-sub.php; https://www.sciencedirect.com/science/article/pii/B978178242378200002X
Bituminous low_volatile,78,86,82,36,36,36,https://www.uky.edu/KGS/coal/coal-sub.php; https://www.sciencedirect.com/science/article/pii/B978178242378200002X
Semi_anthracite,86,92,89,36,36,36,https://www.uky.edu/KGS/coal/coal-sub.php; https://www.sciencedirect.com/science/article/pii/B978178242378200002X
Anthracite,92,98,95,36,36,36,https://www.uky.edu/KGS/coal/coal-sub.php; https://www.sciencedirect.com/science/article/pii/B978178242378200002X
Meta_anthracite,98,100,99,36,36,36,https://www.uky.edu/KGS/coal/coal-sub.php; https://www.sciencedirect.com/science/article/pii/B978178242378200002X
Municipal solid waste,45.6,45.6,45.6,,,14.81077,"Exergy Table: Janajreh, Isam, Syed Shabbar Raza, and Arnar Snaer Valmundsson. ""Plasma gasification process: Modeling, simulation and comparison with conventional air gasification."" Energy conversion and management 65 (2013): 801-809."
Low ash algae,50.4,50.4,50.4,,,11.39566,"Exergy Table: Janajreh, Isam, Syed Shabbar Raza, and Arnar Snaer Valmundsson. ""Plasma gasification process: Modeling, simulation and comparison with conventional air gasification."" Energy conversion and management 65 (2013): 801-809."
Treated wood,48.6,48.6,48.6,,,19.7669,"Exergy Table: Janajreh, Isam, Syed Shabbar Raza, and Arnar Snaer Valmundsson. ""Plasma gasification process: Modeling, simulation and comparison with conventional air gasification."" Energy conversion and management 65 (2013): 801-809."
Untreated wood,49.6,49.6,49.6,,,20.14389,"Exergy Table: Janajreh, Isam, Syed Shabbar Raza, and Arnar Snaer Valmundsson. ""Plasma gasification process: Modeling, simulation and comparison with conventional air gasification."" Energy conversion and management 65 (2013): 801-809."
Coconut shell,50.22,50.22,50.22,,,20.498,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
Akhrot shell,49.81,49.81,49.81,,,20.008,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
