Equipments,BM,fob cost,shape factor,range,Base Scale,Unit,Process_plant_cost,unit,,,,source,,
Coke plant,,,0.83,,1900000,tonne coke/y,702723600,USD,,,,"Yang, F., J. C. Meerman, and A. P. C. Faaij. ""Carbon capture and biomass in industry: A techno-economic analysis and comparison of negative emission options."" Renewable and Sustainable Energy Reviews 144 (2021): 111028.",,
Sintering plant,,,1,,6600000,tonne  sinter/y,759844800,USD,,,,"Yang, F., J. C. Meerman, and A. P. C. Faaij. ""Carbon capture and biomass in industry: A techno-economic analysis and comparison of negative emission options."" Renewable and Sustainable Energy Reviews 144 (2021): 111028.",,
ASU,,,0.7,,1839,tonne O2/d,53136000,USD,,,,"Yang, F., J. C. Meerman, and A. P. C. Faaij. ""Carbon capture and biomass in industry: A techno-economic analysis and comparison of negative emission options."" Renewable and Sustainable Energy Reviews 144 (2021): 111028.",,
BF,,,1,,2800000,tonne  pig iron/y,875415600,USD,,,,"Yang, F., J. C. Meerman, and A. P. C. Faaij. ""Carbon capture and biomass in industry: A techno-economic analysis and comparison of negative emission options."" Renewable and Sustainable Energy Reviews 144 (2021): 111028.",,
COREX,,,1,,1000000,tonne  pig iron/y,329443200,USD,,,,"Yang, F., J. C. Meerman, and A. P. C. Faaij. ""Carbon capture and biomass in industry: A techno-economic analysis and comparison of negative emission options."" Renewable and Sustainable Energy Reviews 144 (2021): 111028.",,
Hisarna,,,0.67,,1000000,tonne  pig iron/y,464940000,USD,,,,"Yang, F., J. C. Meerman, and A. P. C. Faaij. ""Carbon capture and biomass in industry: A techno-economic analysis and comparison of negative emission options."" Renewable and Sustainable Energy Reviews 144 (2021): 111028.",,
DRI,,,0.67,,2000000,tonne  iron/sponge/y,629661600,USD,,,,"Yang, F., J. C. Meerman, and A. P. C. Faaij. ""Carbon capture and biomass in industry: A techno-economic analysis and comparison of negative emission options."" Renewable and Sustainable Energy Reviews 144 (2021): 111028.",,
BOF,,,1,,2800000,tonne  CS/y,544644000,USD,,,,"Yang, F., J. C. Meerman, and A. P. C. Faaij. ""Carbon capture and biomass in industry: A techno-economic analysis and comparison of negative emission options."" Renewable and Sustainable Energy Reviews 144 (2021): 111028.",,
EAF,,,0.67,,2000000,tonne  CS/y,503463600,USD,,,,"Yang, F., J. C. Meerman, and A. P. C. Faaij. ""Carbon capture and biomass in industry: A techno-economic analysis and comparison of negative emission options."" Renewable and Sustainable Energy Reviews 144 (2021): 111028.",,
Furnace,1.86,,,,,,,,,,,Euro to USD: https://www.exchangerates.org.uk/EUR-USD-spot-exchange-rates-history-2013.html,,"Seader, J. D., Warren D. Seider, and Daniel R. Lewin. Product and process design principles: synthesis, analysis and evaluation. Wiley, 2009. page 549"
Gas cinoressirs abd Druvers,2.15,,,,,,,,,,,,,"Seader, J. D., Warren D. Seider, and Daniel R. Lewin. Product and process design principles: synthesis, analysis and evaluation. Wiley, 2009. page 549"
Centrifuges,2.03,,,,,,,,,,,,,"Seader, J. D., Warren D. Seider, and Daniel R. Lewin. Product and process design principles: synthesis, analysis and evaluation. Wiley, 2009. page 549"
Horizontal conveyors,1.61,70.5,0.59,6 in-300 ft,,,,,,,,,,"Seader, J. D., Warren D. Seider, and Daniel R. Lewin. Product and process design principles: synthesis, analysis and evaluation. Wiley, 2009. page 549"
Crushers,1.39,,,,,,,,,,,,,"Seader, J. D., Warren D. Seider, and Daniel R. Lewin. Product and process design principles: synthesis, analysis and evaluation. Wiley, 2009. page 549"
Mills,2.3,,,,,,,,,,,,,"Seader, J. D., Warren D. Seider, and Daniel R. Lewin. Product and process design principles: synthesis, analysis and evaluation. Wiley, 2009. page 549"
Filters,2.32,,,,,,,,,,,,,"Seader, J. D., Warren D. Seider, and Daniel R. Lewin. Product and process design principles: synthesis, analysis and evaluation. Wiley, 2009. page 549"
Screens,1.73,,,,,,,,,,,,,"Seader, J. D., Warren D. Seider, and Daniel R. Lewin. Product and process design principles: synthesis, analysis and evaluation. Wiley, 2009. page 549"
