CO2 storage type,cost,unit,source
"Enhanced oil recovery, onshore",-26.5,$_2005/tCO2 stored,"Koelbl, B. S., et al. ""Uncertainty in the deployment of Carbon Capture and Storage (CCS): A sensitivity analysis to techno-economic parameter uncertainty."" International Journal of Greenhouse Gas Control 27 (2014): 81-102."
"Enhanced oil recovery, offshore",-1,$_2005/tCO2 stored,"Koelbl, B. S., et al. ""Uncertainty in the deployment of Carbon Capture and Storage (CCS): A sensitivity analysis to techno-economic parameter uncertainty."" International Journal of Greenhouse Gas Control 27 (2014): 81-102."
"Remaining gas, onshore",7.4,$_2005/tCO2 stored,"Koelbl, B. S., et al. ""Uncertainty in the deployment of Carbon Capture and Storage (CCS): A sensitivity analysis to techno-economic parameter uncertainty."" International Journal of Greenhouse Gas Control 27 (2014): 81-102."
"Remainling gas, offshore",15.3,$_2005/tCO2 stored,"Koelbl, B. S., et al. ""Uncertainty in the deployment of Carbon Capture and Storage (CCS): A sensitivity analysis to techno-economic parameter uncertainty."" International Journal of Greenhouse Gas Control 27 (2014): 81-102."
"Depleted oil, onshore",7.4,$_2005/tCO2 stored,"Koelbl, B. S., et al. ""Uncertainty in the deployment of Carbon Capture and Storage (CCS): A sensitivity analysis to techno-economic parameter uncertainty."" International Journal of Greenhouse Gas Control 27 (2014): 81-102."
"Depleted oil, offshore",15.3,$_2005/tCO2 stored,"Koelbl, B. S., et al. ""Uncertainty in the deployment of Carbon Capture and Storage (CCS): A sensitivity analysis to techno-economic parameter uncertainty."" International Journal of Greenhouse Gas Control 27 (2014): 81-102."
"Depleted gas, onshore",7.4,$_2005/tCO2 stored,"Koelbl, B. S., et al. ""Uncertainty in the deployment of Carbon Capture and Storage (CCS): A sensitivity analysis to techno-economic parameter uncertainty."" International Journal of Greenhouse Gas Control 27 (2014): 81-102."
"Depleted gas, offshore",15.3,$_2005/tCO2 stored,"Koelbl, B. S., et al. ""Uncertainty in the deployment of Carbon Capture and Storage (CCS): A sensitivity analysis to techno-economic parameter uncertainty."" International Journal of Greenhouse Gas Control 27 (2014): 81-102."
Enhanced coal bed methane,71.85,$_2005/tCO2 stored,"Koelbl, B. S., et al. ""Uncertainty in the deployment of Carbon Capture and Storage (CCS): A sensitivity analysis to techno-economic parameter uncertainty."" International Journal of Greenhouse Gas Control 27 (2014): 81-102."
"Aquifer, onshore",5.2,$_2005/tCO2 stored,"Koelbl, B. S., et al. ""Uncertainty in the deployment of Carbon Capture and Storage (CCS): A sensitivity analysis to techno-economic parameter uncertainty."" International Journal of Greenhouse Gas Control 27 (2014): 81-102."
"Aquifer, offshore",17.9,$_2005/tCO2 stored,"Koelbl, B. S., et al. ""Uncertainty in the deployment of Carbon Capture and Storage (CCS): A sensitivity analysis to techno-economic parameter uncertainty."" International Journal of Greenhouse Gas Control 27 (2014): 81-102."
