Year,China,India,Korea,United States,Canada,unit,source,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,EU-27,EU27+1,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Melta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,United Kingdom,source
2000,897.1,816.8,545.8,625.6,220,g CO2e/kwh,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,158,270,476,292,849,688,479,399,411,1116,164,92,559,975,460,674,396,137,112,96,839,511,950,484,461,233,355,467,18,484,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2001,873.1,812.5,547.1,661,229.6,g CO2e/kwh,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,176,257,525,305,787,687,470,393,408,1087,210,73,574,984,453,694,383,126,98,167,1004,522,940,461,466,219,381,416,20,504,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2002,891.7,793.3,487.9,588.6,215.4,g CO2e/kwh,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,168,263,483,363,767,664,463,400,413,1054,231,78,570,956,446,650,406,126,74,275,957,518,936,539,463,199,395,468,27,494,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2003,913.4,781.1,484.8,591.4,229.1,g CO2e/kwh,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,213,266,536,389,774,599,490,405,419,1062,289,84,554,914,504,618,443,124,66,255,969,522,946,439,521,221,390,412,36,502,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2004,881,811.4,512.3,589.2,212.1,g CO2e/kwh,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,197,271,536,288,782,597,424,395,411,1047,241,83,538,920,453,595,455,96,73,275,935,507,939,484,452,227,362,423,22,513,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2005,847.5,792.8,496.7,586.2,199.8,g CO2e/kwh,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,189,275,505,305,800,616,388,387,402,1028,148,104,520,915,377,601,397,86,108,272,884,494,924,535,417,196,364,439,18,503,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2006,843.6,779.7,500.4,562.8,200.4,g CO2e/kwh,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,183,253,497,314,793,613,475,386,403,984,248,101,515,854,381,552,389,109,104,272,885,478,938,450,463,184,371,398,22,527,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2007,807.1,805.6,490.7,571.6,210.1,g CO2e/kwh,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,169,242,602,396,796,615,442,393,408,1015,221,96,534,880,384,527,381,105,91,269,887,483,919,421,563,187,394,411,19,515,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2008,774.2,810,497.6,554.4,191.1,g CO2e/kwh,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,159,238,568,344,793,602,414,369,386,1009,163,87,501,870,362,494,371,111,85,245,862,477,896,416,516,189,345,347,19,509,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2009,769.3,834.5,536.8,525.9,176.3,g CO2e/kwh,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,137,213,526,271,776,572,412,355,369,980,181,79,496,854,319,474,353,93,86,282,863,449,880,393,453,166,331,317,19,463,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2010,749.5,805.8,546.3,530.5,182.5,g CO2e/kwh,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,156,213,529,216,735,554,368,341,357,973,218,77,483,875,325,485,338,115,317,236,884,445,868,280,387,140,332,256,26,471,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2011,763.7,772.8,558.1,510.8,167.8,g CO2e/kwh,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,164,194,583,306,759,544,331,348,361,992,179,65,499,883,330,456,327,127,264,235,879,436,866,333,458,152,342,319,19,454,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2012,739.4,848.7,552,487.6,159.4,g CO2e/kwh,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,121,208,525,290,757,508,272,343,361,938,125,69,505,869,322,487,312,85,274,240,883,461,843,397,456,151,333,333,15,502,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2013,724,812.9,535.9,489.4,151.3,g CO2e/kwh,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,109,190,481,206,666,477,311,326,342,992,161,69,501,808,288,460,272,126,204,192,731,472,841,318,364,132,309,270,15,467,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
