iron,Fe (fraction),C (fraction),Note,source,,,,,,,,,,,
pellet,0.635,,,https://www.tandfonline.com/doi/pdf/10.1179/174328108X301679?needAccess=true,,,,,,,,,,,
sinter,0.567,,,https://www.tandfonline.com/doi/pdf/10.1179/174328108X301679?needAccess=true,,,,,,,,,,,
lump ore,0.625,,,https://www.tandfonline.com/doi/pdf/10.1179/174328108X301679?needAccess=true,,,,,,,,,,,
sinter fines,0.55,,,https://www.tandfonline.com/doi/pdf/10.1179/174328108X301679?needAccess=true,,,,,,,,,,,
pellet/iron ore fines,0.635,,,https://www.tandfonline.com/doi/pdf/10.1179/174328108X301679?needAccess=true,,,,,,,,,,,
scrap,0.99,0.0009,,"He, Huachun, et al. ""Assessment on the energy flow and carbon emissions of integrated steelmaking plants."" Energy Reports 3 (2017): 29-36.",,,,,,,,,,,
hot iron/pig iron,0.965052632,0.035,,"He, Huachun, et al. ""Assessment on the energy flow and carbon emissions of integrated steelmaking plants."" Energy Reports 3 (2017): 29-36; Prachethan Kumar, P., L. M. Garg, and S. S. Gupta. ""Modelling of Corex process for optimisation of operational parameters."" Ironmaking & steelmaking 33.1 (2006): 29-33.",,,,,,,,,,,
hearth,0.639934534,,,"He, Huachun, et al. ""Assessment on the energy flow and carbon emissions of integrated steelmaking plants."" Energy Reports 3 (2017): 29-36.",,,,,,,,,,,
hot steel,0.99,0.01,,"He, Huachun, et al. ""Assessment on the energy flow and carbon emissions of integrated steelmaking plants."" Energy Reports 3 (2017): 29-36.",,,,,,,,,,,
crude steel,0.9996,0.0004,,"Keys, A., M. Van Hout, and B. Daniels. ""Decarbonisation options for the Dutch steel industry."" PBL Netherlands Environmental Assessment Agency (2019)",,,,,,,,,,,
carbon steel,0.997,0.003,,"Keys, A., M. Van Hout, and B. Daniels. ""Decarbonisation options for the Dutch steel industry."" PBL Netherlands Environmental Assessment Agency (2019)",,,,,,,,,,,
DRI/HBI,0.861,0.02,,"https://www.metallics.org/dri.html; Keys, A., M. Van Hout, and B. Daniels. ""Decarbonisation options for the Dutch steel industry."" PBL Netherlands Environmental Assessment Agency (2019)",,,,,,,,,,,
stainless steel,0.99,0.01,,"Keys, A., M. Van Hout, and B. Daniels. ""Decarbonisation options for the Dutch steel industry."" PBL Netherlands Environmental Assessment Agency (2019)",,,,,,,,,,,
iron ore,0.62,,Australian Iron ores: Benchmark in steel industry,"He, Huachun, et al. ""Assessment on the energy flow and carbon emissions of integrated steelmaking plants."" Energy Reports 3 (2017): 29-36.",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

