date (local),month,season,hy,dy,hd,dw,coal,hydro,gas,nuclear,petroleum,wind,other,solar,I_f
7/1/2018,7,s,1,1,1.00,1,2265,32,15985,3786,0,,949,0,525.5221855
7/1/2018,7,s,2,1,2.00,1,2105,31,14799,3785,0,,902,0,532.6747583
7/1/2018,7,s,3,1,3.00,1,1960,32,13900,3789,0,,906,0,533.9093373
7/1/2018,7,s,4,1,4.00,1,1867,31,13336,3782,0,,890,0,538.3275721
7/1/2018,7,s,5,1,5.00,1,1994,32,12939,3786,0,,914,0,549.5213425
7/1/2018,7,s,6,1,6.00,1,2025,31,12931,3784,0,,918,0,551.5200808
7/1/2018,7,s,7,1,7.00,1,1978,32,13135,3789,0,,935,4,544.5738249
7/1/2018,7,s,8,1,8.00,1,1984,31,14461,3787,0,,1115,45,528.201412
7/1/2018,7,s,9,1,9.00,1,2341,32,17305,3784,0,,1236,239,526.6111291
7/1/2018,7,s,10,1,10.00,1,2944,31,19778,3785,0,,1453,474,527.1466322
7/1/2018,7,s,11,1,11.00,1,3488,32,22074,3788,0,,1560,601,521.3392594
7/1/2018,7,s,12,1,12.00,1,3848,31,23719,3785,0,,1681,647,500.1280581
7/1/2018,7,s,13,1,13.00,1,4077,31,25188,3783,0,,1669,693,509.0390357
7/1/2018,7,s,14,1,14.00,1,4021,31,26296,3782,0,,1659,712,508.9286734
7/1/2018,7,s,15,1,15.00,1,4101,32,27134,3778,0,,1650,714,508.889485
7/1/2018,7,s,16,1,16.00,1,4165,31,28590,3776,0,,1624,700,509.020462
7/1/2018,7,s,17,1,17.00,1,4335,31,29118,3769,111,,1655,623,508.1289709
7/1/2018,7,s,18,1,18.00,1,4247,36,29276,3768,50,,1629,341,507.2769607
7/1/2018,7,s,19,1,19.00,1,4200,30,28277,3765,7,,1544,200,505.0640859
7/1/2018,7,s,20,1,20.00,1,4085,29,26010,3770,0,,1479,54,507.0414111
7/1/2018,7,s,21,1,21.00,1,3917,28,24281,3768,0,,1542,4,508.0217214
7/1/2018,7,s,22,1,22.00,1,3947,32,23823,3767,0,,1428,0,506.8790671
7/1/2018,7,s,23,1,23.00,1,3603,31,21926,3773,0,,1220,0,512.2617664
7/1/2018,7,s,24,1,24.00,1,3284,31,20277,3779,0,,1028,0,512.2175781
7/2/2018,7,s,25,2,1.00,2,2749,31,18166,3778,0,,1051,0,514.4804129
7/2/2018,7,s,26,2,2.00,2,2427,31,16553,3785,0,,1017,0,518.9987483
7/2/2018,7,s,27,2,3.00,2,2264,31,15327,3778,0,,1001,0,524.0017572
7/2/2018,7,s,28,2,4.00,2,2216,30,14561,3784,0,,999,0,527.7194738
7/2/2018,7,s,29,2,5.00,2,2213,31,14400,3782,0,,1014,0,527.6372364
7/2/2018,7,s,30,2,6.00,2,2260,31,15084,3783,0,,1053,0,521.1270811
7/2/2018,7,s,31,2,7.00,2,2351,31,16068,3782,0,,1099,4,517.9932169
7/2/2018,7,s,32,2,8.00,2,2491,30,17713,3781,0,,1388,73,511.230611
7/2/2018,7,s,33,2,9.00,2,2936,31,19922,3783,0,,1477,238,508.1131767
7/2/2018,7,s,34,2,10.00,2,3429,31,22855,3782,0,,1585,486,505.5115636
7/2/2018,7,s,35,2,11.00,2,3960,32,24862,3777,0,,1630,684,502.233727
7/2/2018,7,s,36,2,12.00,2,4369,33,27138,3775,0,,1678,817,503.3324501
7/2/2018,7,s,37,2,13.00,2,4402,32,29402,3774,0,,1680,864,501.096039
7/2/2018,7,s,38,2,14.00,2,4400,32,30693,3772,124,,1675,838,502.8742979
7/2/2018,7,s,39,2,15.00,2,4417,32,31547,3770,185,,1702,830,504.4226845
7/2/2018,7,s,40,2,16.00,2,4426,32,31786,3755,302,,1732,849,504.0926442
7/2/2018,7,s,41,2,17.00,2,4436,32,31723,3762,302,,1720,714,504.3863341
7/2/2018,7,s,42,2,18.00,2,4450,37,31141,3758,242,,1727,555,504.4352219
7/2/2018,7,s,43,2,19.00,2,4434,31,29727,3756,72,,1685,250,501.8850698
7/2/2018,7,s,44,2,20.00,2,4263,32,28782,3755,0,,1650,73,501.4095511
7/2/2018,7,s,45,2,21.00,2,4163,32,27331,3751,0,,1563,23,501.3830265
7/2/2018,7,s,46,2,22.00,2,4053,31,25948,3759,0,,1566,0,504.3446462
7/2/2018,7,s,47,2,23.00,2,3827,32,23161,3767,0,,1537,0,504.7272424
7/2/2018,7,s,48,2,24.00,2,2918,33,18816,3770,0,,728,0,509.816789
7/3/2018,7,s,49,3,1.00,3,2937,32,18780,3772,0,,1279,0,511.3369582
7/3/2018,7,s,50,3,2.00,3,2542,33,17262,3778,0,,1080,0,515.5126289
7/3/2018,7,s,51,3,3.00,3,2398,32,16066,3777,0,,1024,0,521.6896978
7/3/2018,7,s,52,3,4.00,3,2326,33,15234,3782,0,,1030,0,523.6976821
7/3/2018,7,s,53,3,5.00,3,2329,32,14989,3772,0,,1021,0,519.3252584
7/3/2018,7,s,54,3,6.00,3,2329,34,15562,3773,0,,1060,22,516.0000759
7/3/2018,7,s,55,3,7.00,3,2496,35,16721,3772,0,,1133,24,522.1520753
7/3/2018,7,s,56,3,8.00,3,2887,36,17655,3776,0,,1204,61,517.2926622
7/3/2018,7,s,57,3,9.00,3,3386,36,19249,3771,0,,1451,233,515.9471274
7/3/2018,7,s,58,3,10.00,3,3805,36,21323,3772,0,,1506,453,514.782051
7/3/2018,7,s,59,3,11.00,3,4014,36,24393,3761,0,,1537,615,501.8963087
7/3/2018,7,s,60,3,12.00,3,4244,36,26980,3766,0,,1616,745,494.8362703
7/3/2018,7,s,61,3,13.00,3,4312,38,28918,3766,0,,1645,784,495.4724256
7/3/2018,7,s,62,3,14.00,3,4418,37,29754,3767,89,,1640,773,496.7135437
7/3/2018,7,s,63,3,15.00,3,4463,38,30171,3761,83,,1619,764,493.6406482
7/3/2018,7,s,64,3,16.00,3,4373,37,30278,3761,65,,1614,569,494.1463473
7/3/2018,7,s,65,3,17.00,3,4275,37,29732,3760,26,,1580,410,492.9983497
