Vehicle Model,MPG_city,MPG_hw
'Representative Vehicle MPG(20 city/26 hw)',20,26
'AUDI Q7 2 4 SemiAuto-8 4WD MPG(19 city/25 hw)',19,25
'AUDI Q7 3 6 SemiAuto-8 4WD MPG(19 city/25 hw)',19,25
'AUDI Q8 3 6 SemiAuto-8 4WD MPG(17 city/22 hw)',17,22
'BENTLEY Bentayga 4 8 SemiAuto-8 4WD MPG(14 city/23 hw)',14,23
'BMW X5 xDrive40i 3 6 SemiAuto-8 4WD MPG(20 city/26 hw)',20,26
'BMW X5 xDrive50i 4.4 8 SemiAuto-8 4WD MPG(17 city/22 hw)',17,22
'BMW X6 M 4.4 8 SemiAuto-8 4WD MPG(14 city/19 hw)',14,19
'BMW X6 sDrive35i 3 6 SemiAuto-8 2WD MPG(18 city/24 hw)',18,24
'BMW X6 xDrive35i 3 6 SemiAuto-8 4WD MPG(18 city/24 hw)',18,24
'BMW X6 xDrive50i 4.4 8 SemiAuto-8 4WD MPG(17 city/22 hw)',17,22
'BMW X7 xDrive40i 3 6 SemiAuto-8 4WD MPG(20 city/25 hw)',20,25
'BMW X7 xDrive50i 4.4 8 SemiAuto-8 4WD MPG(15 city/21 hw)',15,21
'BUICK Enclave 3.6 6 Auto-9 2WD MPG(18 city/26 hw)',18,26
'BUICK Enclave 3.6 6 Auto-9 4WD MPG(17 city/25 hw)',17,25
'CADILLAC Escalade 6.2 8 Auto-10 2WD MPG(14 city/23 hw)',14,23
'CADILLAC Escalade 6.2 8 Auto-10 4WD MPG(14 city/21 hw)',14,21
'CHEVROLET Suburban 1500 5.3 8 Auto-6 2WD MPG(15 city/22 hw)',15,22
'CHEVROLET Suburban 1500 5.3 8 Auto-6 4WD MPG(14 city/21 hw)',14,21
'CHEVROLET Suburban 1500 6.2 8 Auto-10 2WD MPG(14 city/23 hw)',14,23
'CHEVROLET Suburban 1500 6.2 8 Auto-10 4WD MPG(14 city/20 hw)',14,20
'CHEVROLET Tahoe 1500 5.3 8 Auto-6 2WD MPG(15 city/22 hw)',15,22
'CHEVROLET Tahoe 1500 5.3 8 Auto-6 4WD MPG(15 city/21 hw)',15,21
'CHEVROLET Tahoe 1500 6.2 8 Auto-10 2WD MPG(14 city/23 hw)',14,23
'CHEVROLET Tahoe 1500 6.2 8 Auto-10 4WD MPG(14 city/22 hw)',14,22
'CHEVROLET Traverse 2 4 Auto-9 2WD MPG(20 city/26 hw)',20,26
'CHEVROLET Traverse 3.6 6 Auto-9 2WD MPG(18 city/27 hw)',18,27
'CHEVROLET Traverse 3.6 6 Auto-9 4WD MPG(17 city/25 hw)',17,25
'DODGE Durango 3.6 6 Auto-8 2WD MPG(19 city/26 hw)',19,26
'DODGE Durango 3.6 6 Auto-8 4WD MPG(18 city/25 hw)',18,25
'DODGE Durango 5.7 8 Auto-8 2WD MPG(14 city/22 hw)',14,22
'DODGE Durango 5.7 8 Auto-8 4WD MPG(14 city/22 hw)',14,22
'DODGE Durango  SRT 6.4 8 Auto-8 4WD MPG(13 city/19 hw)',13,19
'FORD Expedition 3.5 6 SemiAuto-10 2WD MPG(17 city/24 hw)',17,24
'FORD Expedition 3.5 6 SemiAuto-10 4WD MPG(17 city/22 hw)',17,22
'FORD Expedition MAX 3.5 6 SemiAuto-10 2WD MPG(17 city/23 hw)',17,23
'FORD Expedition MAX 3.5 6 SemiAuto-10 4WD MPG(16 city/21 hw)',16,21
