Vehicle Model,MPG_city,MPG_hw
'Representative Vehicle-TESLA Model 3 Mid Range Auto-1 2WD MPG(128 city/117 hw)',128,117
'HONDA Clarity Auto-1 2WD MPG(126 city/103 hw)',126,103
'HYUNDAI Ioniq Electric Auto-1 2WD MPG(150 city/122 hw)',150,122
'NISSAN Leaf Auto-1 2WD MPG(124 city/ 99 hw)',124,99
'NISSAN Leaf Auto-1 2WD MPG(118 city/ 97 hw)',118,97
'NISSAN Leaf SV/SL Auto-1 2WD MPG(114 city/ 94 hw)',114,94
'TESLA Model 3 Long Range Auto-1 4WD MPG(120 city/112 hw)',120,112
'TESLA Model 3 Long Range Performance Auto-1 4WD MPG(120 city/112 hw)',120,112
'TESLA Model 3 Mid Range Auto-1 2WD MPG(128 city/117 hw)',128,117
'TESLA Model 3 Standard Range Auto-1 2WD MPG(138 city/124 hw)',138,124
'TESLA Model 3 Standard Range Plus Auto-1 2WD MPG(140 city/124 hw)',140,124
'TESLA Model 4 Long Range Auto-1 2WD MPG(136 city/123 hw)',136,123
