Vehicle Model,MPG_city,MPG_hw
'FORD Fusion Hybrid 2 4 CVT 2WD MPG(43 city/41 hw)',43,41
'FORD Fusion Hybrid Taxi 2 4 CVT 2WD MPG(43 city/40 hw)',43,40
'HYUNDAI Sonata Hybrid 2 4 AutoMan-6 2WD MPG(39 city/44 hw)',39,44
'HYUNDAI Sonata Hybrid SE 2 4 AutoMan-6 2WD MPG(40 city/46 hw)',40,46
'KIA Optima Hybrid 2 4 AutoMan-6 2WD MPG(39 city/45 hw)',39,45
'LINCOLN MKZ Hybrid 2 4 CVT 2WD MPG(42 city/39 hw)',42,39
'TOYOTA Avalon Hybrid 2.5 4 SCV-6 2WD MPG(43 city/43 hw)',43,43
'TOYOTA Avalon Hybrid XLE 2.5 4 SCV-6 2WD MPG(43 city/44 hw)',43,44
'TOYOTA Camry Hybrid LE 2.5 4 SCV-6 2WD MPG(51 city/53 hw)',51,53
'TOYOTA Camry Hybrid XLE/SE 2.5 4 SCV-6 2WD MPG(44 city/47 hw)',44,47
