Vehicle Model,MPG_city,MPG_hw
'Representative Vehicle-TOYOTA Camry 2.5 4 SemiAuto-8 2WD MPG(29 city/41 hw)',29,41
'ACURA RLX 3.5 6 AMS-7 4WD MPG(28 city/29 hw)',28,29
'ACURA RLX 3.5 6 SemiAuto-10 2WD MPG(20 city/29 hw)',20,29
'ALFA ROMEO Giulia 2 4 Auto-8 2WD MPG(24 city/33 hw)',24,33
'ALFA ROMEO Giulia 2.9 6 Auto-8 2WD MPG(17 city/24 hw)',17,24
'ALFA ROMEO Giulia AWD 2 4 Auto-8 4WD MPG(23 city/31 hw)',23,31
'AUDI A5 Sportback quattro 2 4 AMS-7 4WD MPG(23 city/34 hw)',23,34
'AUDI A6 2 4 AMS-7 4WD MPG(24 city/32 hw)',24,32
'AUDI A6 3 6 AMS-7 4WD MPG(22 city/29 hw)',22,29
'AUDI A7 3 6 AMS-7 4WD MPG(22 city/29 hw)',22,29
'AUDI RS 5 Sportback 2.9 6 SemiAuto-8 4WD MPG(17 city/26 hw)',17,26
'AUDI S5 Sportback 3 6 SemiAuto-8 4WD MPG(21 city/30 hw)',21,30
'BENTLEY Mulsanne 6.8 8 SemiAuto-8 2WD MPG(10 city/16 hw)',10,16
'BMW 530i 2 4 SemiAuto-8 2WD MPG(24 city/34 hw)',24,34
'BMW 530i 2 4 SemiAuto-8 4WD MPG(23 city/33 hw)',23,33
'BMW 540i 3 6 SemiAuto-8 2WD MPG(21 city/29 hw)',21,29
'BMW 540i 3 6 SemiAuto-8 4WD MPG(21 city/29 hw)',21,29
'BMW M5 4.4 8 SemiAuto-8 4WD MPG(15 city/21 hw)',15,21
'BMW M5 Competition 4.4 8 SemiAuto-8 4WD MPG(15 city/21 hw)',15,21
'BMW M550i 4.4 8 SemiAuto-8 4WD MPG(18 city/25 hw)',18,25
'BMW X2 M35i 2 4 SemiAuto-8 4WD MPG(23 city/29 hw)',23,29
'BMW X2 sDrive28i 2 4 SemiAuto-8 2WD MPG(23 city/32 hw)',23,32
'BMW X2 xDrive28i 2 4 SemiAuto-8 4WD MPG(21 city/31 hw)',21,31
'BUICK Lacrosse 2.5 4 SemiAuto-6 2WD MPG(25 city/35 hw)',25,35
'BUICK Lacrosse 3.6 6 SemiAuto-9 2WD MPG(20 city/30 hw)',20,30
'BUICK Lacrosse 3.6 6 SemiAuto-9 4WD MPG(20 city/29 hw)',20,29
'BUICK Regal 2 4 SemiAuto-8 4WD MPG(21 city/29 hw)',21,29
'BUICK Regal 2 4 SemiAuto-9 2WD MPG(22 city/32 hw)',22,32
'BUICK Regal 3.6 6 SemiAuto-9 4WD MPG(19 city/27 hw)',19,27
'CADILLAC CTS 2 4 SemiAuto-8 2WD MPG(22 city/30 hw)',22,30
'CADILLAC CTS 2 4 SemiAuto-8 4WD MPG(21 city/29 hw)',21,29
'CADILLAC CTS 3.6 6 SemiAuto-8 2WD MPG(16 city/24 hw)',16,24
'CADILLAC CTS 3.6 6 SemiAuto-8 2WD MPG(19 city/29 hw)',19,29
'CADILLAC CTS 3.6 6 SemiAuto-8 4WD MPG(18 city/26 hw)',18,26
'CADILLAC CTS-V 6.2 8 SemiAuto-8 2WD MPG(14 city/21 hw)',14,21
'CHEVROLET Cruze Hatchback 1.4 4 SemiAuto-6 2WD MPG(28 city/38 hw)',28,38
'CHEVROLET Cruze Premier Hatchback 1.4 4 SemiAuto-6 2WD MPG(28 city/37 hw)',28,37
'CHEVROLET Malibu 1.5 4 CVT 2WD MPG(29 city/36 hw)',29,36
'CHEVROLET Malibu 1.8 4 CVT 2WD MPG(49 city/43 hw)',49,43
'CHEVROLET Malibu 2 4 Auto-9 2WD MPG(22 city/32 hw)',22,32
'DODGE Challenger 3.6 6 Auto-8 2WD MPG(19 city/30 hw)',19,30
'DODGE Challenger 5.7 8 Auto-8 2WD MPG(16 city/25 hw)',16,25
'DODGE Challenger 5.7 8 Man-6 2WD MPG(15 city/23 hw)',15,23
'DODGE Challenger 6.4 8 Auto-8 2WD MPG(15 city/24 hw)',15,24
'DODGE Challenger 6.4 8 Man-6 2WD MPG(14 city/23 hw)',14,23
'DODGE Challenger GT 3.6 6 Auto-8 4WD MPG(18 city/27 hw)',18,27
'DODGE Challenger SRT 6.2 8 Auto-8 2WD MPG(13 city/22 hw)',13,22
'DODGE Challenger SRT 6.2 8 Man-6 2WD MPG(13 city/21 hw)',13,21
'FORD Fusion 1.5 4 SemiAuto-6 2WD MPG(23 city/34 hw)',23,34
'FORD Fusion 2 4 SemiAuto-6 2WD MPG(21 city/31 hw)',21,31
'FORD Fusion 2 4 SemiAuto-6 4WD MPG(20 city/29 hw)',20,29
'FORD Fusion 2.5 4 Auto-6 2WD MPG(21 city/31 hw)',21,31
'FORD Fusion 2.7 6 SemiAuto-6 4WD MPG(17 city/26 hw)',17,26
'HONDA Accord 2.0T Sport/Touring 2 4 Auto-10 2WD MPG(22 city/32 hw)',22,32
'HONDA Civic 4Dr 1.5 4 CVT 2WD MPG(32 city/42 hw)',32,42
'HONDA Civic 4Dr 1.5 4 Man-6 2WD MPG(28 city/38 hw)',28,38
'HONDA Civic 4Dr 1.5 4 SCV-7 2WD MPG(30 city/38 hw)',30,38
'HONDA Civic 4Dr 2 4 CVT 2WD MPG(30 city/38 hw)',30,38
'HONDA Civic 4Dr 2 4 Man-6 2WD MPG(25 city/36 hw)',25,36
'HONDA Civic 4Dr 2 4 SCV-7 2WD MPG(29 city/37 hw)',29,37
'HONDA Insight 1.5 4 CVT 2WD MPG(55 city/49 hw)',55,49
'HONDA Insight Touring 1.5 4 CVT 2WD MPG(51 city/45 hw)',51,45
'HYUNDAI Elantra 1.4 4 AutoMan-7 2WD MPG(32 city/40 hw)',32,40
'HYUNDAI Elantra 1.6 4 AutoMan-7 2WD MPG(26 city/33 hw)',26,33
