Orlando,Atlanta,Austin,Phoenix,LA,Charlotte,Nashville,Baltimore,St. Louis,Kansas City,San Francisco,Boston,Salt Lake City,Minneapolis,New York,San Diego,Minneapolis TMY,Boston TMY
22.22222222,23.88888889,25.55555556,30.55555556,18.88888889,25,26.11111111,23.88888889,27.77777778,22.77777778,17.77777778,24.4,17.2,23.88888889,24.44444444,17.77777778,22,19
22.77777778,23.88888889,25,28.88888889,18.33333333,24.44444444,25.55555556,22.22222222,27.22222222,22.22222222,17.77777778,25.6,16.7,23.33333333,23.88888889,17.22222222,22,19
22.77777778,23.88888889,25,28.33333333,18.33333333,23.88888889,25,21.66666667,26.66666667,22.22222222,17.22222222,25.6,16.1,22.22222222,23.33333333,17.77777778,21,19
22.77777778,23.33333333,25,27.22222222,18.33333333,23.88888889,24.44444444,21.66666667,26.66666667,21.66666667,17.22222222,26.7,15.6,21.66666667,23.88888889,17.22222222,21,19
22.77777778,22.77777778,24.44444444,26.11111111,18.33333333,22.77777778,25,21.66666667,26.66666667,21.66666667,18.88888889,23.9,15,21.11111111,23.88888889,17.22222222,21,19
22.77777778,22.77777778,25,25,18.33333333,22.77777778,25.55555556,22.77777778,26.66666667,21.66666667,18.88888889,26.7,16.1,21.66666667,25.55555556,17.77777778,23,21
24.44444444,23.33333333,25.55555556,26.11111111,19.44444444,25,27.77777778,25.55555556,27.77777778,21.66666667,19.44444444,27.8,17.8,21.66666667,28.88888889,17.77777778,25,23
26.66666667,25.55555556,27.22222222,28.33333333,19.44444444,26.11111111,29.44444444,27.77777778,29.44444444,22.77777778,20,30,19.4,20.55555556,26.66666667,18.88888889,27,24
28.33333333,26.11111111,28.88888889,30,21.66666667,28.33333333,31.11111111,30,31.11111111,23.88888889,20,32.2,22.2,21.11111111,28.33333333,19.44444444,29,26
29.44444444,27.22222222,31.66666667,32.22222222,21.11111111,30,32.22222222,32.22222222,31.66666667,23.88888889,20.55555556,32.2,24.4,21.11111111,30.55555556,20.55555556,30,27
30,23.88888889,33.33333333,33.88888889,21.66666667,31.11111111,33.33333333,33.88888889,32.77777778,25,21.66666667,32.2,26.1,17.77777778,33.88888889,21.11111111,31,27
31.11111111,27.77777778,35.55555556,34.44444444,21.66666667,31.11111111,33.88888889,35,33.33333333,26.66666667,22.77777778,32.8,27.2,18.33333333,32.77777778,21.66666667,31,28
31.66666667,29.44444444,37.22222222,36.66666667,22.22222222,31.66666667,34.44444444,34.44444444,33.33333333,27.22222222,23.33333333,31.7,28.3,21.66666667,32.22222222,21.66666667,32,28
32.22222222,28.88888889,37.77777778,38.33333333,22.22222222,33.33333333,33.33333333,35,33.88888889,27.77777778,25,29.4,28.9,20.55555556,32.22222222,21.66666667,32,28
31.66666667,28.33333333,39.44444444,38.33333333,22.22222222,32.22222222,33.88888889,33.88888889,35,28.33333333,25.55555556,28.3,28.9,20.55555556,32.77777778,21.66666667,32,28
30,27.22222222,38.88888889,38.88888889,21.11111111,33.88888889,32.77777778,33.33333333,33.33333333,28.33333333,25.55555556,26.1,29.4,20,31.11111111,21.66666667,31,27
31.11111111,28.33333333,37.77777778,40,20.55555556,32.22222222,31.66666667,33.33333333,30,28.33333333,24.44444444,27.2,29.4,21.11111111,30,21.11111111,31,26
25,28.33333333,36.66666667,38.88888889,20,31.66666667,28.88888889,32.22222222,27.77777778,27.77777778,22.77777778,25.6,28.9,22.22222222,30,20.55555556,30,25
23.88888889,27.77777778,34.44444444,38.88888889,19.44444444,30,28.33333333,30.55555556,25.55555556,26.11111111,21.11111111,25,29.4,21.66666667,27.77777778,19.44444444,28,24
25,27.77777778,32.22222222,37.77777778,18.88888889,28.33333333,27.22222222,28.33333333,26.11111111,23.33333333,19.44444444,25,27.8,21.11111111,26.66666667,18.88888889,26,22
24.44444444,23.88888889,30,35.55555556,19.44444444,27.22222222,27.22222222,27.22222222,26.11111111,23.33333333,18.33333333,21.7,25,21.11111111,26.11111111,18.88888889,26,22
25.55555556,24.44444444,28.33333333,33.33333333,18.88888889,27.22222222,26.11111111,26.11111111,26.11111111,22.77777778,18.33333333,21.7,23.3,20.55555556,26.11111111,18.88888889,25,21
24.44444444,24.44444444,27.22222222,32.22222222,18.88888889,26.11111111,26.66666667,23.88888889,25,22.77777778,17.77777778,21.7,22.2,19.44444444,26.11111111,18.88888889,25,21
24.44444444,23.88888889,26.11111111,32.22222222,18.88888889,25.55555556,26.11111111,25,25.55555556,22.77777778,17.77777778,21.7,21.7,20,25,18.33333333,24,21
24.44444444,23.88888889,26.11111111,31.66666667,18.33333333,24.44444444,25.55555556,23.88888889,25,22.22222222,17.77777778,21.1,21.1,20,25,18.33333333,23,21
23.88888889,23.88888889,25.55555556,28.88888889,18.33333333,25,25.55555556,23.88888889,25,21.11111111,17.22222222,21.1,20.6,18.88888889,24.44444444,18.33333333,23,20
23.88888889,23.33333333,25.55555556,28.33333333,18.33333333,25,25,22.77777778,24.44444444,21.11111111,16.66666667,21.1,20.6,20,23.88888889,18.88888889,22,20
24.44444444,23.33333333,25,27.22222222,18.33333333,25,24.44444444,22.77777778,23.88888889,20,16.66666667,20.6,20,20,23.88888889,18.88888889,21,20
