hd,"No work access, No discount on home price_weekday","No work access, Discount on home price_weekday","Work access, No discount on home price_weekday","Work access, Discount on home price_weekday",Constant_weekday,Overnight_weekday,Midday_weekday,Evening_weekday,"No work access, No discount on home price_weekend","No work access, Discount on home price_weekend","Work access, No discount on home price_weekend","Work access, Discount on home price_weekend",Constant_weekend,Overnight_weekend,Midday_weekend,Evening_weekend
1,0.051829101,0.126329323,0.038333762,0.088477868,0.041666667,0.25,0,0,0.051829101,0.126329323,0.051829101,0.126329323,0.041666667,0.25,0,0
2,0.033181767,0.196168772,0.025879924,0.135582116,0.041666667,0.25,0,0,0.033181767,0.196168772,0.033181767,0.196168772,0.041666667,0.25,0,0
3,0.017504197,0.157389494,0.015394584,0.109547635,0.041666667,0.25,0,0,0.017504197,0.157389494,0.017504197,0.157389494,0.041666667,0.25,0,0
4,0.009660268,0.097371913,0.01015149,0.069187851,0.041666667,0.25,0,0,0.009660268,0.097371913,0.009660268,0.097371913,0.041666667,0.25,0,0
5,0.006741942,0.043937762,0.008187242,0.033222754,0.041666667,0,0,0,0.006741942,0.043937762,0.006741942,0.043937762,0.041666667,0,0,0
6,0.007112287,0.017226241,0.010461562,0.017268995,0.041666667,0,0,0,0.007112287,0.017226241,0.007112287,0.017226241,0.041666667,0,0,0
7,0.013375246,0.013540515,0.019216337,0.019327575,0.041666667,0,0,0,0.013375246,0.013540515,0.013375246,0.013540515,0.041666667,0,0,0
8,0.017228484,0.017338436,0.027913362,0.027987367,0.041666667,0,0,0,0.017228484,0.017338436,0.017228484,0.017338436,0.041666667,0,0,0
9,0.016835087,0.02026138,0.034428215,0.036734361,0.041666667,0,0,0,0.016835087,0.02026138,0.016835087,0.02026138,0.041666667,0,0,0
10,0.018810261,0.019915252,0.039187271,0.039931011,0.041666667,0,0,0,0.018810261,0.019915252,0.018810261,0.019915252,0.041666667,0,0,0
11,0.019680163,0.017247881,0.039573378,0.037936274,0.041666667,0,0.25,0,0.019680163,0.017247881,0.019680163,0.017247881,0.041666667,0,0.25,0
12,0.02078215,0.015144162,0.040553019,0.036758241,0.041666667,0,0.25,0,0.02078215,0.015144162,0.02078215,0.015144162,0.041666667,0,0.25,0
13,0.022080502,0.014253769,0.041694159,0.036426195,0.041666667,0,0.25,0,0.022080502,0.014253769,0.022080502,0.014253769,0.041666667,0,0.25,0
14,0.023655708,0.013397036,0.04271291,0.035808073,0.041666667,0,0.25,0,0.023655708,0.013397036,0.023655708,0.013397036,0.041666667,0,0.25,0
15,0.024972825,0.012812788,0.042784639,0.034600044,0.041666667,0,0,0,0.024972825,0.012812788,0.024972825,0.012812788,0.041666667,0,0,0
16,0.029842466,0.013094799,0.043858382,0.032585975,0.041666667,0,0,0,0.029842466,0.013094799,0.029842466,0.013094799,0.041666667,0,0,0
17,0.043343638,0.011838384,0.049091233,0.027885889,0.041666667,0,0,0,0.043343638,0.011838384,0.043343638,0.011838384,0.041666667,0,0,0
18,0.065702665,0.011204284,0.059098053,0.022416651,0.041666667,0,0,0.25,0.065702665,0.011204284,0.065702665,0.011204284,0.041666667,0,0,0.25
19,0.092384863,0.015058967,0.07321203,0.021166039,0.041666667,0,0,0.25,0.092384863,0.015058967,0.092384863,0.015058967,0.041666667,0,0,0.25
20,0.108428254,0.02087674,0.081532543,0.022603961,0.041666667,0,0,0.25,0.108428254,0.02087674,0.108428254,0.02087674,0.041666667,0,0,0.25
21,0.107646414,0.027832577,0.078745122,0.025024563,0.041666667,0,0,0.25,0.107646414,0.027832577,0.107646414,0.027832577,0.041666667,0,0,0.25
22,0.097944996,0.034878141,0.06982048,0.027371867,0.041666667,0,0,0,0.097944996,0.034878141,0.097944996,0.034878141,0.041666667,0,0,0
23,0.083606023,0.039497159,0.059339299,0.029650803,0.041666667,0,0,0,0.083606023,0.039497159,0.083606023,0.039497159,0.041666667,0,0,0
24,0.067650694,0.043384225,0.048831004,0.032497893,0.041666667,0,0,0,0.067650694,0.043384225,0.067650694,0.043384225,0.041666667,0,0,0
