hd,weekday,weekend
1,0.004184301,0.00380373
2,0.002092151,0.00190186
3,0.001307594,0.00118867
4,0.000784557,0.0007132
5,0.006137957,0.00336746
6,0.016944906,0.00881275
7,0.043623965,0.02375483
8,0.074811645,0.05344975
9,0.060685467,0.05421684
10,0.049645869,0.05561719
11,0.051378188,0.0622808
12,0.058561982,0.07137443
13,0.068807635,0.07963491
14,0.061676125,0.07132901
15,0.062396511,0.07016374
16,0.077206279,0.07677715
17,0.082665037,0.07850079
18,0.090009525,0.08136685
19,0.063518705,0.06668183
20,0.045330822,0.05044103
21,0.032265153,0.03689696
22,0.022291432,0.02470982
23,0.014734924,0.01510722
24,0.008939268,0.00790918
