dy,day_contribution,IE_day,FD_day,Total
1,0.002369257,,,
2,0.002889338,,,
3,0.002889338,,,
4,0.002889338,,,
5,0.002889338,,,
6,0.002889338,,,
7,0.002369257,,,
8,0.002369257,,,
9,0.002889338,,,
10,0.002889338,,,
11,0.002889338,,,
12,0.002889338,,,
13,0.002889338,,,
14,0.002369257,,,
15,0.002369257,,,
16,0.002889338,,,
17,0.002889338,,,
18,0.002889338,,,
19,0.002889338,,,
20,0.002889338,,,
21,0.002369257,,,
22,0.002369257,,,
23,0.002889338,,,
24,0.002889338,,,
25,0.002889338,,,
26,0.002889338,,,
27,0.002889338,,,
28,0.002369257,,,
29,0.002369257,,,
30,0.002889338,,,
31,0.002889338,,,
32,0.002889338,,,
33,0.002889338,,,
34,0.002889338,,,
35,0.002369257,,,
36,0.002369257,,,
37,0.002889338,,,
38,0.002889338,,,
39,0.002889338,,,
40,0.002889338,,,
41,0.002889338,,,
42,0.002369257,,,
43,0.002369257,,,
44,0.002889338,,,
45,0.002889338,,,
46,0.002889338,,,
47,0.002889338,,,
48,0.002889338,,,
49,0.002369257,,,
50,0.002369257,,,
51,0.002889338,,,
52,0.002889338,,,
53,0.002889338,,,
54,0.002889338,,,
55,0.002889338,,,
56,0.002369257,,,
57,0.002369257,,,
58,0.002889338,,,
59,0.002889338,,,
60,0.002889338,,,
61,0.002889338,,,
62,0.002889338,,,
63,0.002369257,,,
64,0.002369257,,,
65,0.002889338,,,
66,0.002889338,,,
67,0.002889338,,,
68,0.002889338,,,
69,0.002889338,,,
70,0.002369257,,,
71,0.002369257,,,
72,0.002889338,,,
73,0.002889338,,,
74,0.002889338,,,
75,0.002889338,,,
76,0.002889338,,,
77,0.002369257,,,
78,0.002369257,,,
79,0.002889338,,,
80,0.002889338,,,
81,0.002889338,,,
82,0.002889338,,,
83,0.002889338,,,
84,0.002369257,,,
85,0.002369257,,,
86,0.002889338,,,
87,0.002889338,,,
88,0.002889338,,,
89,0.002889338,,,
90,0.002889338,,,
91,0.002369257,,,
92,0.002369257,,,
93,0.002889338,,,
94,0.002889338,,,
95,0.002889338,,,
96,0.002889338,,,
97,0.002889338,,,
98,0.002369257,,,
99,0.002369257,,,
100,0.002889338,,,
101,0.002889338,,,
102,0.002889338,,,
103,0.002889338,,,
104,0.002889338,,,
105,0.002369257,,,
106,0.002369257,,,
107,0.002889338,,,
108,0.002889338,,,
109,0.002889338,,,
110,0.002889338,,,
111,0.002889338,,,
112,0.002369257,,,
113,0.002369257,,,
114,0.002889338,,,
115,0.002889338,,,
116,0.002889338,,,
117,0.002889338,,,
118,0.002889338,,,
119,0.002369257,,,
120,0.002369257,,,
121,0.002889338,,,
122,0.002889338,,,
123,0.002889338,,,
124,0.002889338,,,
125,0.002889338,,,
126,0.002369257,,,
127,0.002369257,,,
128,0.002889338,,,
