Seqno,state,plant_name,orispl,unit,prime_mover,fuel,online_year,egrid_year,gen,number_of_boiler,genstatus,gen_prime_mover,gen_fuel,capacity_mw,match_score,plant_id
32,AK,Angoon,7462,1A,IC,DFO,,2018,1A,0,OP,IC,DFO,0.5,1,7
33,AK,Angoon,7462,2A,IC,DFO,,2018,2A,0,OP,IC,DFO,0.5,1,7
34,AK,Angoon,7462,3,IC,DFO,,2018,3,0,OP,IC,DFO,0.5,1,7
35,AK,Aniak,7182,1,IC,DFO,,2018,1,0,OP,IC,DFO,0.5,1,8
36,AK,Aniak,7182,10,IC,DFO,,2018,10,0,OP,IC,DFO,0.6,1,8
37,AK,Aniak,7182,3,IC,DFO,,2018,3,0,RE,IC,DFO,0.3,1,8
38,AK,Aniak,7182,4,IC,DFO,,2018,4,0,RE,IC,DFO,0.3,1,8
39,AK,Aniak,7182,5,IC,DFO,,2018,5,0,RE,IC,DFO,0.3,1,8
40,AK,Aniak,7182,9,IC,DFO,,2018,9,0,OP,IC,DFO,0.6,1,8
41,AK,Annex Creek,62,5,HY,WAT,,2018,5,0,OP,HY,WAT,1.8,1,9
42,AK,Annex Creek,62,6,HY,WAT,,2018,6,0,OP,HY,WAT,2.2,1,9
43,AK,Auke Bay,7250,13,GT,DFO,,2018,13,0,SB,GT,DFO,2.8,1,10
44,AK,Auke Bay,7250,14,GT,DFO,,2018,14,0,SB,GT,DFO,30.9,1,10
45,AK,Auke Bay,7250,4,IC,DFO,,2018,4,0,SB,IC,DFO,2.5,1,10
46,AK,Aurora Energy LLC Chena,79,1,ST,SUB,,2018,1,3,OP,ST,SUB,5,1,11
47,AK,Aurora Energy LLC Chena,79,2,ST,SUB,,2018,2,3,OP,ST,SUB,2.5,1,11
48,AK,Aurora Energy LLC Chena,79,3,ST,SUB,,2018,3,3,RE,ST,SUB,1.5,1,11
49,AK,Aurora Energy LLC Chena,79,5,ST,SUB,,2018,5,2,OP,ST,SUB,20,1,11
50,AK,Barrow,7173,10,IC,NG,,2018,10,0,OS,IC,NG,1.5,1,12
51,AK,Barrow,7173,11,GT,NG,,2018,11,0,OP,GT,NG,4.8,1,12
52,AK,Barrow,7173,12,GT,NG,,2018,12,0,OP,GT,NG,5,1,12
53,AK,Barrow,7173,6,GT,NG,,2018,6,0,OP,GT,NG,2.5,1,12
54,AK,Barrow,7173,7,GT,NG,,2018,7,0,OP,GT,NG,2.5,1,12
55,AK,Barrow,7173,8,GT,NG,,2018,8,0,OP,GT,NG,2.5,1,12
56,AK,Barrow,7173,9,IC,NG,,2018,9,0,OS,IC,NG,1.5,1,12
57,AK,Battery Energy Storage System,57583,BESS,BA,MWH,,2018,BESS,0,OP,BA,MWH,40,1,13
58,AK,Beaver Falls,6580,1,HY,WAT,,2018,1,0,OP,HY,WAT,1,1,14
59,AK,Beaver Falls,6580,3,HY,WAT,,2018,3,0,OP,HY,WAT,2.2,1,14
60,AK,Beaver Falls,6580,4,HY,WAT,,2018,4,0,OP,HY,WAT,2.2,1,14
68,AK,Bernice Lake,6292,2,GT,NG,,2018,2,0,OP,GT,NG,20.7,1,16
69,AK,Bernice Lake,6292,3,GT,NG,,2018,3,0,OP,GT,NG,28.8,1,16
70,AK,Bernice Lake,6292,4,GT,NG,,2018,4,0,OP,GT,NG,27.2,1,16
71,AK,Bethel,6566,1,IC,DFO,,2018,1,0,OP,IC,DFO,2.1,1,17
72,AK,Bethel,6566,2,IC,DFO,,2018,2,0,OP,IC,DFO,2.1,1,17
73,AK,Bethel,6566,3,IC,DFO,,2018,3,0,OP,IC,DFO,2.1,1,17
74,AK,Bethel,6566,4,IC,DFO,,2018,4,0,OP,IC,DFO,2.1,1,17
75,AK,Bethel,6566,6,IC,DFO,,2018,6,0,OP,IC,DFO,2.1,1,17
76,AK,Bethel,6566,7,IC,DFO,,2018,7,0,OP,IC,DFO,2.1,1,17
77,AK,Black Bear Lake,7752,1,HY,WAT,,2018,1,0,OP,HY,WAT,4.5,1,18
78,AK,Blue Lake Hydro,93,1,HY,WAT,,2018,1,0,RE,HY,WAT,3.5,1,19
79,AK,Blue Lake Hydro,93,2,HY,WAT,,2018,2,0,RE,HY,WAT,3.5,1,19
80,AK,Blue Lake Hydro,93,3,HY,WAT,,2018,3,0,OP,HY,WAT,5.3,1,19
81,AK,Blue Lake Hydro,93,4,HY,WAT,,2018,4,0,OP,HY,WAT,5.3,1,19
82,AK,Blue Lake Hydro,93,5,HY,WAT,,2018,5,0,OP,HY,WAT,5.3,1,19
83,AK,Bradley Lake,7367,1,HY,WAT,,2018,1,0,OP,HY,WAT,63,1,20
84,AK,Bradley Lake,7367,2,HY,WAT,,2018,2,0,OP,HY,WAT,63,1,20
85,AK,Brevig Mission,60260,1,IC,DFO,,2018,1,0,OP,IC,DFO,0.2,1,21
86,AK,Brevig Mission,60260,2,IC,DFO,,2018,2,0,OP,IC,DFO,0.4,1,21
87,AK,Brevig Mission,60260,3,IC,DFO,,2018,3,0,RE,IC,DFO,0.5,1,21
88,AK,Brevig Mission,60260,3A,IC,DFO,,2018,3A,0,OP,IC,DFO,0.4,1,21
89,AK,Centennial,7112,IC6,IC,DFO,,2018,IC6,0,OP,IC,DFO,3.3,1,22
90,AK,Centennial,7112,IC7,IC,DFO,,2018,IC7,0,RE,IC,DFO,1.8,1,22
91,AK,Chester Lake,7168,1,HY,WAT,,2018,1,0,OP,HY,WAT,1.3,1,23
92,AK,Chevak,6311,1,IC,DFO,,2018,1,0,RE,IC,DFO,0.4,1,24
93,AK,Chevak,6311,1A,IC,DFO,,2018,1A,0,OP,IC,DFO,0.5,1,24
94,AK,Chevak,6311,2,IC,DFO,,2018,2,0,RE,IC,DFO,0.3,1,24
95,AK,Chevak,6311,2A,IC,DFO,,2018,2A,0,OP,IC,DFO,0.5,1,24
96,AK,Chevak,6311,3,IC,DFO,,2018,3,0,RE,IC,DFO,0.3,1,24
