gen type,solar - FRCC,solar - MRO,solar - NPCC,solar - RFC,solar - SERC north,solar - SERC south,solar - SPP,solar - TRE,solar - WECC north,solar - WECC south,solar - WECC west,wind - FRCC,wind - MRO,wind - NPCC,wind - RFC,wind - SERC north,wind - SERC south,wind - SPP,wind - TRE,wind - WECC north,wind - WECC south
capacity factor,0.20717637,0.20717637,0.20717637,0.20717637,0.20717637,0.20717637,0.20717637,0.20717637,0.20717637,0.251872032,0.251872032,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
hour,3,3,3,3,3,3,3,3,3,10,10,14,14,14,14,14,14,14,14,14,14
1,0,0,0,0,0,0,0,0,0,0,0,2.282527101,2.282527101,2.282527101,2.282527101,2.282527101,2.282527101,2.282527101,2.282527101,2.282527101,2.282527101
2,0,0,0,0,0,0,0,0,0,0,0,2.291815105,2.291815105,2.291815105,2.291815105,2.291815105,2.291815105,2.291815105,2.291815105,2.291815105,2.291815105
3,0,0,0,0,0,0,0,0,0,0,0,2.30110311,2.30110311,2.30110311,2.30110311,2.30110311,2.30110311,2.30110311,2.30110311,2.30110311,2.30110311
4,0,0,0,0,0,0,0,0,0,0,0,2.298781108,2.298781108,2.298781108,2.298781108,2.298781108,2.298781108,2.298781108,2.298781108,2.298781108,2.298781108
5,0,0,0,0,0,0,0,0,0,0,0,2.30110311,2.30110311,2.30110311,2.30110311,2.30110311,2.30110311,2.30110311,2.30110311,2.30110311,2.30110311
6,0,0,0,0,0,0,0,0,0,0,0,2.30110311,2.30110311,2.30110311,2.30110311,2.30110311,2.30110311,2.30110311,2.30110311,2.30110311,2.30110311
7,0.048268053,0.048268053,0.048268053,0.048268053,0.048268053,0.048268053,0.048268053,0.048268053,0.048268053,0.190572965,0.190572965,2.291815105,2.291815105,2.291815105,2.291815105,2.291815105,2.291815105,2.291815105,2.291815105,2.291815105,2.291815105
8,0.424758866,0.424758866,0.424758866,0.424758866,0.424758866,0.424758866,0.424758866,0.424758866,0.424758866,1.635751285,1.635751285,2.30110311,2.30110311,2.30110311,2.30110311,2.30110311,2.30110311,2.30110311,2.30110311,2.30110311,2.30110311
9,1.216354935,1.216354935,1.216354935,1.216354935,1.216354935,1.216354935,1.216354935,1.216354935,1.216354935,2.668021514,2.668021514,2.298781108,2.298781108,2.298781108,2.298781108,2.298781108,2.298781108,2.298781108,2.298781108,2.298781108,2.298781108
10,2.239637659,2.239637659,2.239637659,2.239637659,2.239637659,2.239637659,2.239637659,2.239637659,2.239637659,2.981672852,2.981672852,2.294137106,2.294137106,2.294137106,2.294137106,2.294137106,2.294137106,2.294137106,2.294137106,2.294137106,2.294137106
