Region,Generation area width,Generation sites,Site spacing
Northwest,0,1,1
Northwest,60,4,60
Northwest,60,9,30
Northwest,120,4,120
Northwest,120,9,60
Northwest,120,25,30
Northwest,180,4,180
Northwest,180,9,90
Northwest,180,16,60
Northwest,180,49,30
Northwest,240,4,240
Northwest,240,9,120
Northwest,240,25,60
Northwest,240,81,30
Northwest,300,4,300
Northwest,300,9,150
Northwest,300,36,60
Northwest,300,121,30
Northwest,360,4,360
Northwest,360,9,180
Northwest,360,16,120
Northwest,360,25,90
Northwest,360,49,60
Northwest,360,169,30
North Central,0,1,1
North Central,60,4,60
North Central,60,9,30
North Central,120,4,120
North Central,120,9,60
North Central,120,25,30
North Central,180,4,180
North Central,180,9,90
North Central,180,16,60
North Central,180,49,30
North Central,240,4,240
North Central,240,9,120
North Central,240,25,60
North Central,240,81,30
North Central,300,4,300
North Central,300,9,150
North Central,300,36,60
North Central,300,121,30
North Central,360,4,360
North Central,360,9,180
North Central,360,16,120
North Central,360,25,90
North Central,360,49,60
North Central,360,169,30
Northeast,0,1,1
Northeast,60,4,60
Northeast,60,9,30
Northeast,120,4,120
Northeast,120,9,60
Northeast,120,25,30
Northeast,180,4,180
Northeast,180,9,90
Northeast,180,16,60
Northeast,180,49,30
Northeast,240,4,240
Northeast,240,9,120
Northeast,240,25,60
Northeast,240,81,30
California,0,1,1
California,60,4,60
California,60,9,30
California,120,4,120
California,120,9,60
California,120,25,30
California,180,4,180
California,180,9,90
California,180,16,60
California,180,49,30
California,240,4,240
California,240,9,120
California,240,25,60
California,240,81,30
California,300,4,300
California,300,9,150
California,300,36,60
California,300,121,30
California,360,4,360
California,360,9,180
California,360,16,120
California,360,25,90
California,360,49,60
California,360,169,30
Central,0,1,1
Central,60,4,60
Central,60,9,30
Central,120,4,120
Central,120,9,60
Central,120,25,30
Central,180,4,180
Central,180,9,90
Central,180,16,60
Central,180,49,30
Central,240,4,240
Central,240,9,120
Central,240,25,60
Central,240,81,30
Central,300,4,300
Central,300,9,150
Central,300,36,60
Central,300,121,30
Central,360,4,360
Central,360,9,180
Central,360,16,120
Central,360,25,90
Central,360,49,60
Central,360,169,30
Atlantic,0,1,1
Atlantic,60,4,60
Atlantic,60,9,30
Atlantic,120,4,120
Atlantic,120,9,60
Atlantic,120,25,30
Atlantic,180,4,180
Atlantic,180,9,90
Atlantic,180,16,60
Atlantic,180,49,30
Atlantic,240,4,240
Atlantic,240,9,120
Atlantic,240,25,60
Atlantic,240,81,30
Atlantic,300,4,300
Atlantic,300,9,150
Atlantic,300,36,60
Atlantic,300,121,30
Atlantic,360,4,360
Atlantic,360,9,180
Atlantic,360,16,120
Atlantic,360,25,90
Atlantic,360,49,60
Atlantic,360,169,30
Southwest,0,1,1
Southwest,60,4,60
Southwest,60,9,30
Southwest,120,4,120
Southwest,120,9,60
Southwest,120,25,30
Southwest,180,4,180
Southwest,180,9,90
Southwest,180,16,60
Southwest,180,49,30
Southwest,240,4,240
Southwest,240,9,120
Southwest,240,25,60
Southwest,240,81,30
Southwest,300,4,300
Southwest,300,9,150
Southwest,300,36,60
Southwest,300,121,30
Southwest,360,4,360
Southwest,360,9,180
Southwest,360,16,120
Southwest,360,25,90
Southwest,360,49,60
Southwest,360,169,30
Texas,0,1,1
Texas,60,4,60
Texas,60,9,30
Texas,120,4,120
Texas,120,9,60
Texas,120,25,30
Texas,180,4,180
Texas,180,9,90
Texas,180,16,60
Texas,180,49,30
Texas,240,4,240
Texas,240,9,120
Texas,240,25,60
Texas,240,81,30
Texas,300,4,300
Texas,300,9,150
Texas,300,36,60
Texas,300,121,30
Texas,360,4,360
Texas,360,9,180
Texas,360,16,120
Texas,360,25,90
Texas,360,49,60
Texas,360,169,30
Southeast,0,1,1
Southeast,60,4,60
Southeast,60,9,30
Southeast,120,4,120
Southeast,120,9,60
Southeast,120,25,30
Southeast,180,4,180
Southeast,180,9,90
Southeast,180,16,60
Southeast,180,49,30
Southeast,240,4,240
Southeast,240,9,120
Southeast,240,25,60
Southeast,240,81,30
Southeast,300,4,300
Southeast,300,9,150
Southeast,300,36,60
Southeast,300,121,30
Southeast,360,4,360
Southeast,360,9,180
Southeast,360,16,120
Southeast,360,25,90
Southeast,360,49,60
Southeast,360,169,30
