Date,Cases,Deaths
01/01/2022,54850427,824609
01/02/2022,55137064,824841
01/03/2022,56155999,826491
01/04/2022,57041905,828853
01/05/2022,57745969,830981
01/06/2022,58505187,832953
01/07/2022,59405357,835637
01/08/2022,59851597,836327
01/09/2022,60166932,836728
01/10/2022,61600909,838412
01/11/2022,62370837,841092
01/12/2022,63251819,843853
01/13/2022,64120526,846110
01/14/2022,65053852,849101
01/15/2022,65477079,850099
01/16/2022,65814886,850509
01/17/2022,66526937,851283
01/18/2022,67705340,854268
01/19/2022,68557295,857644
01/20/2022,69305615,860316
01/21/2022,70130930,864182
01/22/2022,70468314,865116
01/23/2022,70667795,865687
01/24/2022,71699954,867866
01/25/2022,72210867,870838
01/26/2022,72895313,874733
01/27/2022,73425577,877824
01/28/2022,73981352,881703
01/29/2022,74223465,883009
01/30/2022,74327523,883370
01/31/2022,74989495,885943
02/01/2022,75285900,889525
02/02/2022,75610929,893156
02/03/2022,75923171,896178
02/04/2022,76236151,900154
02/05/2022,76359918,901022
02/06/2022,76418395,901400
02/07/2022,76766514,904139
02/08/2022,76961010,907497
02/09/2022,77187359,911067
02/10/2022,77360952,914328
02/11/2022,77530775,917135
02/12/2022,77594737,917896
02/13/2022,77629125,918368
02/14/2022,77835449,920954
02/15/2022,77950961,923804
02/16/2022,78092141,927110
02/17/2022,78196006,930297
02/18/2022,78305615,932788
02/19/2022,78351826,933480
02/20/2022,78377993,933894
02/21/2022,78433652,934654
02/22/2022,78556769,937380
02/23/2022,78641313,940404
02/24/2022,78714719,943312
02/25/2022,78800705,946121
02/26/2022,78825927,946686
02/27/2022,78835013,946883
02/28/2022,78942813,948855
03/01/2022,78986396,950788
03/02/2022,79044542,953136
03/03/2022,79096279,955018
03/04/2022,79145866,956910
03/05/2022,79162481,957217
03/06/2022,79169256,957429
03/07/2022,79232308,959115
03/08/2022,79266324,960690
03/09/2022,79314028,962503
03/10/2022,79352221,964062
03/11/2022,79396596,965746
03/12/2022,79407518,966218
03/13/2022,79413908,966361
03/14/2022,79462956,963926
03/15/2022,79511352,965449
03/16/2022,79550748,967482
03/17/2022,79586734,968690
03/18/2022,79623203,969733
03/19/2022,79635322,970065
03/20/2022,79643175,970148
03/21/2022,79689310,971107
03/22/2022,79714979,972104
03/23/2022,79762066,973459
03/24/2022,79799812,974441
03/25/2022,79833549,975273
03/26/2022,79845604,975436
03/27/2022,79853102,975486
03/28/2022,79895338,976396
03/29/2022,79920966,977153
03/30/2022,79966408,978361
03/31/2022,80004185,979236
04/01/2022,80036620,979881
04/02/2022,80048015,980018
04/03/2022,80052942,980057
04/04/2022,80093982,980682
04/05/2022,80124875,981146
04/06/2022,80174198,982263
04/07/2022,80209904,982971
04/08/2022,80254009,983514
04/09/2022,80267530,983786
04/10/2022,80275715,983813
04/11/2022,80325700,984247
04/12/2022,80354734,984838
04/13/2022,80408643,985832
04/14/2022,80466106,986448
04/15/2022,80513125,987171
04/16/2022,80524028,987211
04/17/2022,80535307,987228
04/18/2022,80595383,987545
04/19/2022,80646004,987999
04/20/2022,80708901,988610
04/21/2022,80768167,989094
04/22/2022,80837724,989584
04/23/2022,80856641,989681
04/24/2022,80869032,989709
04/25/2022,80943709,990062
04/26/2022,80998258,990368
04/27/2022,81082728,991039
04/28/2022,81156297,991502
