Date,Summed Demand (MW),Summed Net Generation (MW)
1/1/16,4525310,4283251
1/2/16,4524037,4284277
1/3/16,4430304,4169015
1/4/16,4894635,4651346
1/5/16,5037572,4820103
1/6/16,4896768,4648392
1/7/16,4656801,4403321
1/8/16,4580623,4308200
1/9/16,4570464,4261708
1/10/16,4825998,4494523
1/11/16,5140636,4906619
1/12/16,5011996,4797723
1/13/16,4950459,4786297
1/14/16,4720061,4466499
1/15/16,4569207,4291834
1/16/16,4560941,4276141
1/17/16,4711015,4441708
1/18/16,5161029,4968879
1/19/16,5132057,4942522
1/20/16,4974893,4759360
1/21/16,4932197,4664747
1/22/16,5056491,4776562
1/23/16,4795626,4595780
1/24/16,4607064,4379004
1/25/16,4676079,4402620
1/26/16,4764581,4483004
1/27/16,4875622,4565104
1/28/16,4754231,4475035
1/29/16,4575085,4295859
1/30/16,4171398,3887622
1/31/16,4022513,3731284
2/1/16,4440637,4160196
2/2/16,4529598,4255157
2/3/16,4700048,4409584
2/4/16,4839476,4544549
2/5/16,4784395,4555547
2/6/16,4439582,4201269
2/7/16,4314151,4081013
2/8/16,4783862,4583055
2/9/16,4914384,4721280
2/10/16,4876050,4706083
2/11/16,4779669,4578933
2/12/16,4687927,4468329
2/13/16,4517324,4302125
2/14/16,4404365,4183779
2/15/16,4570868,4321770
2/16/16,4585558,4301421
2/17/16,4536869,4257409
2/18/16,4507514,4254562
2/19/16,4353437,4113448
2/20/16,4016888,3698943
2/21/16,3963720,3619093
2/22/16,4378491,4055631
2/23/16,4544858,4256649
2/24/16,4662798,4336289
2/25/16,4612935,4328767
2/26/16,4546491,4306160
2/27/16,4178567,3931130
2/28/16,3976826,3685205
2/29/16,4365652,4053345
3/1/16,4477501,4159234
3/2/16,4525245,4266185
3/3/16,4516104,4275958
3/4/16,4452111,4219444
3/5/16,4145966,3885808
3/6/16,3999708,3808476
3/7/16,4299208,4042265
3/8/16,4307167,4013833
3/9/16,4292588,3972807
3/10/16,4322488,3983302
3/11/16,4280030,3946810
3/12/16,3981850,3689140
3/13/16,3841378,3529446
3/14/16,4368844,4042752
3/15/16,4428238,4117712
3/16/16,4380505,4037275
3/17/16,4392200,4034643
3/18/16,4426703,4089879
3/19/16,4107801,3836113
3/20/16,4087338,3844337
3/21/16,4401242,4161497
3/22/16,4296452,4038821
3/23/16,4327951,4039859
3/24/16,4310529,4034979
3/25/16,4199664,3945847
3/26/16,4005964,3765613
3/27/16,3874623,3619078
3/28/16,4323346,4066493
3/29/16,4312852,4104072
3/30/16,4328715,4093956
3/31/16,4408113,4158291
4/1/16,4292431,4023865
4/2/16,4076983,3823456
4/3/16,3952505,3743942
4/4/16,4335602,4088813
4/5/16,4428878,4202428
4/6/16,4388661,4140044
4/7/16,4417770,4176738
4/8/16,4339998,4092041
4/9/16,4063665,3831331
4/10/16,4013439,3783663
4/11/16,4402182,4116171
4/12/16,4384451,4106659
4/13/16,4307718,4047078
4/14/16,4320429,4084975
