Date,Balancing Authority,Demand (MW),Net Generation (MW),Total Interchange (MW)
1/1/16,CISO,563565,420082,-143480
1/1/16,ERCO,892433,894596,2153
1/1/16,FPL,332768,334040,1272
1/1/16,ISNE,321641,230471,-91170
1/1/16,MISO,1670904,1618194,-78093
1/1/16,NYIS,388862,343360,-45502
1/1/16,PJM,2017372,1983544,-33827
1/1/16,SWPP,676778,672979,-3800
1/2/16,CISO,564838,412650,-152189
1/2/16,ERCO,912241,913354,1106
1/2/16,FPL,293412,297559,4147
1/2/16,ISNE,325973,233736,-92237
1/2/16,MISO,1676528,1629740,-69688
1/2/16,NYIS,402302,355196,-47106
1/2/16,PJM,2079134,2040349,-38780
1/2/16,SWPP,674716,675778,1060
1/3/16,CISO,552787,403988,-148797
1/3/16,ERCO,849881,850476,596
1/3/16,FPL,277548,278819,1271
1/3/16,ISNE,325143,237663,-87480
1/3/16,MISO,1678667,1615319,-86106
1/3/16,NYIS,398620,346770,-51850
1/3/16,PJM,2102010,2062641,-39369
1/3/16,SWPP,672801,673643,841
1/4/16,CISO,598612,441206,-157408
1/4/16,ERCO,926186,926607,419
1/4/16,FPL,274914,289747,14833
1/4/16,ISNE,373748,287109,-86639
1/4/16,MISO,1880036,1848029,-63419
1/4/16,NYIS,460253,396190,-64063
1/4/16,PJM,2439246,2363255,-75991
1/4/16,SWPP,754634,749567,-5064
1/5/16,CISO,615689,449778,-165909
1/5/16,ERCO,963004,965559,2538
1/5/16,FPL,277356,294397,17041
1/5/16,ISNE,396649,308516,-88133
1/5/16,MISO,1934406,1945989,-21508
1/5/16,NYIS,484643,410199,-74444
1/5/16,PJM,2649797,2574514,-75283
1/5/16,SWPP,762474,754181,-8293
1/6/16,CISO,626404,459758,-166651
1/6/16,ERCO,916277,915088,-1176
1/6/16,FPL,276798,293689,16891
1/6/16,ISNE,381404,300685,-80719
1/6/16,MISO,1867451,1868052,-29806
1/6/16,NYIS,464217,369237,-94980
1/6/16,PJM,2548753,2485743,-63010
1/6/16,SWPP,745621,742568,-3053
1/7/16,CISO,614591,442246,-172348
1/7/16,ERCO,824569,826029,1455
1/7/16,FPL,277616,290204,12588
1/7/16,ISNE,370597,278473,-92124
1/7/16,MISO,1783106,1752640,-56057
1/7/16,NYIS,449632,392600,-57032
1/7/16,PJM,2373914,2288520,-85394
1/7/16,SWPP,707287,699602,-7687
1/8/16,CISO,612749,453841,-158909
1/8/16,ERCO,827074,826493,-586
1/8/16,FPL,275824,280784,4960
1/8/16,ISNE,363159,278449,-84710
1/8/16,MISO,1718135,1662307,-79632
1/8/16,NYIS,439310,379234,-60076
1/8/16,PJM,2260248,2208639,-51603
1/8/16,SWPP,707531,705541,-1989
1/9/16,CISO,569930,400157,-169776
1/9/16,ERCO,891909,892119,205
1/9/16,FPL,285912,285167,-745
1/9/16,ISNE,331296,250931,-80365
1/9/16,MISO,1673720,1587290,-111048
1/9/16,NYIS,397294,346670,-50624
1/9/16,PJM,2007711,2001122,-6588
1/9/16,SWPP,751699,750305,-1386
1/10/16,CISO,544439,377538,-166902
1/10/16,ERCO,977127,978462,1325
1/10/16,FPL,276829,281656,4827
1/10/16,ISNE,318918,251113,-67805
1/10/16,MISO,1850112,1737192,-138218
1/10/16,NYIS,388672,341094,-47578
1/10/16,PJM,2036275,2056004,19728
1/10/16,SWPP,788819,778581,-10241
1/11/16,CISO,596405,436963,-159443
1/11/16,ERCO,1004029,1004721,691
1/11/16,FPL,275184,301015,25831
1/11/16,ISNE,353488,291155,-62333
1/11/16,MISO,2033464,2007032,-62242
1/11/16,NYIS,448516,380694,-67822
1/11/16,PJM,2516400,2423844,-92553
1/11/16,SWPP,783038,776194,-6843
1/12/16,CISO,601274,442756,-158516
1/12/16,ERCO,930896,930942,41
1/12/16,FPL,281872,306571,24699
1/12/16,ISNE,373683,297891,-75792
1/12/16,MISO,1979699,1983186,-33888
1/12/16,NYIS,462276,386555,-75721
