Date,Balancing Authority,Demand (MW),Net Generation (MW),Total Interchange (MW)
7/1/18,CISO,636976,449672,-151374
7/1/18,ERCO,0,0,0
7/1/18,FPL,390514,388480,-2034
7/1/18,MISO,2111560,2021000,-125427
7/1/18,NYIS,584432,492045,-92387
7/1/18,SWPP,0,0,0
7/2/18,CISO,686857,494943,-158373
7/2/18,ERCO,1324156,1316862,-7298
7/2/18,FPL,426347,423060,-3287
7/2/18,MISO,2191154,2127285,-101222
7/2/18,NYIS,639404,552338,-87066
7/2/18,SWPP,0,0,0
7/3/18,CISO,671791,474869,-163312
7/3/18,ERCO,1327363,1316626,-10761
7/3/18,FPL,413386,412856,-530
7/3/18,MISO,2170413,2112120,-95391
7/3/18,NYIS,616492,540487,-76005
7/3/18,SWPP,0,0,0
7/4/18,CISO,609228,431255,-144010
7/4/18,ERCO,1140659,1130637,-10042
7/4/18,FPL,374039,378421,4382
7/4/18,MISO,2116861,2022169,-128818
7/4/18,NYIS,558135,497935,-60200
7/4/18,SWPP,0,0,0
7/5/18,CISO,705707,517527,-156067
7/5/18,ERCO,1192763,1187886,-4909
7/5/18,FPL,387790,389656,1866
7/5/18,MISO,2220780,2128259,-126036
7/5/18,NYIS,615947,535036,-80911
7/5/18,SWPP,0,0,0
7/6/18,CISO,826419,591870,-201964
7/6/18,ERCO,1203623,1199261,-4389
7/6/18,FPL,387664,387957,293
7/6/18,MISO,2012339,1894603,-145740
7/6/18,NYIS,546372,445537,-100835
7/6/18,SWPP,0,0,0
7/7/18,CISO,813724,581077,-196019
7/7/18,ERCO,1134815,1124050,-10772
7/7/18,FPL,383802,384167,365
7/7/18,MISO,1811288,1680534,-157800
7/7/18,NYIS,414111,331697,-82414
7/7/18,SWPP,0,0,0
7/8/18,CISO,768021,546677,-185155
7/8/18,ERCO,1097613,1089644,-7976
7/8/18,FPL,397784,397051,-733
7/8/18,MISO,1865077,1747312,-147947
7/8/18,NYIS,425759,342324,-83435
7/8/18,SWPP,0,0,0
7/9/18,CISO,816804,581334,-199854
7/9/18,ERCO,1126344,1132496,6129
7/9/18,FPL,424319,420713,-3606
7/9/18,MISO,2179271,2070413,-143707
7/9/18,NYIS,510819,419114,-91705
7/9/18,SWPP,0,0,0
7/10/18,CISO,813596,554956,-222512
7/10/18,ERCO,1180159,1174273,-5906
7/10/18,FPL,406869,404376,-2493
7/10/18,MISO,2238762,2127218,-148664
7/10/18,NYIS,553369,462602,-90767
7/10/18,SWPP,0,0,0
7/11/18,CISO,805224,557027,-213533
7/11/18,ERCO,1245960,1240029,-5954
7/11/18,FPL,402826,399277,-3549
7/11/18,MISO,2189726,2091417,-128062
7/11/18,NYIS,542780,455876,-86904
7/11/18,SWPP,0,0,0
7/12/18,CISO,814044,566103,-212567
7/12/18,ERCO,1243513,1238578,-4967
7/12/18,FPL,400479,399881,-598
7/12/18,MISO,2205383,2100699,-133965
7/12/18,NYIS,509379,414325,-95054
7/12/18,SWPP,0,0,0
7/13/18,CISO,813074,564940,-213420
7/13/18,ERCO,1249080,1247219,-1891
7/13/18,FPL,405320,403008,-2312
7/13/18,MISO,2242932,2112466,-159407
7/13/18,NYIS,518638,416670,-101968
7/13/18,SWPP,0,0,0
7/14/18,CISO,761247,523194,-201939
7/14/18,ERCO,1262203,1256815,-5414
7/14/18,FPL,405480,403622,-1858
7/14/18,MISO,2116801,1993829,-153011
7/14/18,NYIS,509720,400532,-109188
7/14/18,SWPP,0,0,0
7/15/18,CISO,727570,526146,-166940
7/15/18,ERCO,1266386,1257137,-9259
7/15/18,FPL,414452,411006,-3446
7/15/18,MISO,2116078,2004895,-140543
