Region,Variable Description,"Source 
Abbreviation","Source Description 
(click for URL)",Source 1,Source 2,Source 3,source description URL,source 1 URL,source 2 URL,source 3 URL
US,history source: population,USC,"US Census Bureau population data, by US Census",,,,https://www.census.gov/programs-surveys/popest/data/tables.1979.html,,,
US,projection for: %Δ in population,AEO20,"2020 Annual Energy Outlook, by US EIA",,,,https://www.eia.gov/outlooks/aeo/,,,
US,history source: sales/person ,TEDB20,"2020 Transportation Energy Data Book, by US DOE-ORNL",,,,https://tedb.ornl.gov/wp-content/uploads/2020/02/TEDB_Ed_38_04302020.pdf#page=80,,,
US,projection for: %Δ in sales/person,AEO20,"2020 Annual Energy Outlook, by US EIA",,,,https://www.eia.gov/outlooks/aeo/,,,
US,history source: light truck sales share,TEDB20,"2020 Transportation Energy Data Book, by US DOE-ORNL",,,,https://tedb.ornl.gov/wp-content/uploads/2020/02/TEDB_Ed_38_04302020.pdf#page=80,,,
US,projection for: light truck sales share,static,N/A - static,,,,N/A - static,,,
US,history source: powertrain sales share,default,multiple sources - see right,"US Plug-in Electric and HEV Sales by Model, by US Argonne National Laboratory - Transportation Research Center","2020 Transportation Energy Data Book, by US DOE-ORNL","2020 VISION Fleet Model, by US Argonne National Laboratory",multiple sources - see right,anl.gov/es/light-duty-electric-drive-vehicles-monthly-sales-updates,https://tedb.ornl.gov/wp-content/uploads/2020/02/TEDB_Ed_38_04302020.pdf#page=80,https://www.anl.gov/es/vision-model
US,projection for: sales shares by powertrain (PT),BNEF20,"EV Outlook 2020, by Bloomberg New Energy Finance",,,,https://about.bnef.com/electric-vehicle-outlook/,,,
US,history source: car survival rates,default,multiple sources - see right,"2020 Transportation Energy Data Book, by US DOE-ORNL",internal,,multiple sources - see right,https://tedb.ornl.gov/wp-content/uploads/2020/02/TEDB_Ed_38_04302020.pdf#page=80,,
US,projection for: median car life,static,N/A - static,,,,N/A - static,,,
US,history source: new car distance,TEDB20,"2020 Transportation Energy Data Book, by US DOE-ORNL",,,,https://tedb.ornl.gov/wp-content/uploads/2020/02/TEDB_Ed_38_04302020.pdf#page=80,,,
US,projection for: new car distance,static,N/A - static,,,,N/A - static,,,
US,history source: distance Δ per age Δ,TEDB20,"2020 Transportation Energy Data Book, by US DOE-ORNL",,,,https://tedb.ornl.gov/wp-content/uploads/2020/02/TEDB_Ed_38_04302020.pdf#page=80,,,
US,projection for: distance decline per age Δ,static,N/A - static,,,,N/A - static,,,
US,history source: fuel intensity new,VIS20,"2020 VISION Fleet Model, by US Argonne National Laboratory",,,,https://www.anl.gov/es/vision-model,,,
US,projection for: new car fuel intensity (F),MIT15,"2015 MIT Report - On The Road to 2050, by Heywood, John; Mackenzie, Don",,,,http://web.mit.edu/sloan-auto-lab/research/beforeh2/files/On-the-Road-toward-2050.pdf,,,
US,history source: grid carbon intensity,default,multiple sources - see right,"2020 EIA Electricity Data Browser, by US EIA","Acid Rain Program Data, by US EPA",,multiple sources - see right,https://www.eia.gov/electricity/data/browser/,https://ampd.epa.gov/ampd/,
US,projection for: grid carbon intensity (CI),AEO20,"2020 Annual Energy Outlook, by US EIA",,,,https://www.eia.gov/outlooks/aeo/,,,
"US, California",history source: population,USC,"US Census Bureau population data, by US Census",,,,https://www.census.gov/programs-surveys/popest/data/tables.1979.html,,,
"US, California",projection for: %Δ in population,AEO20,"2020 Annual Energy Outlook, by US EIA",,,,https://www.eia.gov/outlooks/aeo/,,,
"US, California",history source: sales/person ,default,multiple sources - see right,"NADA Data, Annual Report, by National Automobile Dealers' Association","US Census Bureau population data, by US Census",,multiple sources - see right,https://www.nada.org/WorkArea/DownloadAsset.aspx?id=21474855962,https://www.census.gov/programs-surveys/popest/data/tables.1979.html,
"US, California",projection for: %Δ in sales/person,AEO20,"2020 Annual Energy Outlook, by US EIA",,,,https://www.eia.gov/outlooks/aeo/,,,
"US, California",history source: light truck sales share,default,multiple sources - see right,"California Auto Outlook, by California New Car Dealer Association","2020 Transportation Energy Data Book, by US DOE-ORNL",,multiple sources - see right,https://www.cncda.org/wp-content/uploads/Cal-Covering-4Q-19.pdf,https://tedb.ornl.gov/wp-content/uploads/2020/02/TEDB_Ed_38_04302020.pdf#page=80,
"US, California",projection for: light truck sales share,static,N/A - static,,,,N/A - static,,,
"US, California",history source: powertrain sales share,default,multiple sources - see right,"California Auto Outlook, by California New Car Dealer Association","US Plug-in Electric and HEV Sales by Model, by US Argonne National Laboratory - Transportation Research Center",,multiple sources - see right,https://www.cncda.org/wp-content/uploads/Cal-Covering-4Q-19.pdf,anl.gov/es/light-duty-electric-drive-vehicles-monthly-sales-updates,
"US, California",projection for: sales shares by powertrain (PT),user,N/A - user,,,,N/A - user,,,
"US, California",history source: car survival rates,default,multiple sources - see right,"2020 Transportation Energy Data Book, by US DOE-ORNL",internal,,multiple sources - see right,https://tedb.ornl.gov/wp-content/uploads/2020/02/TEDB_Ed_38_04302020.pdf#page=80,,
"US, California",projection for: median car life,static,N/A - static,,,,N/A - static,,,
"US, California",history source: new car distance,TEDB20,"2020 Transportation Energy Data Book, by US DOE-ORNL",,,,https://tedb.ornl.gov/wp-content/uploads/2020/02/TEDB_Ed_38_04302020.pdf#page=80,,,
"US, California",projection for: new car distance,static,N/A - static,,,,N/A - static,,,
"US, California",history source: distance Δ per age Δ,TEDB20,"2020 Transportation Energy Data Book, by US DOE-ORNL",,,,https://tedb.ornl.gov/wp-content/uploads/2020/02/TEDB_Ed_38_04302020.pdf#page=80,,,
"US, California",projection for: distance decline per age Δ,static,N/A - static,,,,N/A - static,,,
"US, California",history source: fuel intensity new,VIS20,"2020 VISION Fleet Model, by US Argonne National Laboratory",,,,https://www.anl.gov/es/vision-model,,,
"US, California",projection for: new car fuel intensity (F),MIT15,"2015 MIT Report - On The Road to 2050, by Heywood, John; Mackenzie, Don",,,,http://web.mit.edu/sloan-auto-lab/research/beforeh2/files/On-the-Road-toward-2050.pdf,,,
"US, California",history source: grid carbon intensity,default,multiple sources - see right,"2020 EIA Electricity Data Browser, by US EIA","Acid Rain Program Data, by US EPA",,multiple sources - see right,https://www.eia.gov/electricity/data/browser/,https://ampd.epa.gov/ampd/,
"US, California",projection for: grid carbon intensity (CI),AEO20,"2020 Annual Energy Outlook, by US EIA",,,,https://www.eia.gov/outlooks/aeo/,,,
"US, Texas",history source: population,USC,"US Census Bureau population data, by US Census",,,,https://www.census.gov/programs-surveys/popest/data/tables.1979.html,,,
"US, Texas",projection for: %Δ in population,AEO20,"2020 Annual Energy Outlook, by US EIA",,,,https://www.eia.gov/outlooks/aeo/,,,
"US, Texas",history source: sales/person ,default,multiple sources - see right,"NADA Data, Annual Report, by National Automobile Dealers' Association","US Census Bureau population data, by US Census",,multiple sources - see right,https://www.nada.org/WorkArea/DownloadAsset.aspx?id=21474855962,https://www.census.gov/programs-surveys/popest/data/tables.1979.html,
"US, Texas",projection for: %Δ in sales/person,AEO20,"2020 Annual Energy Outlook, by US EIA",,,,https://www.eia.gov/outlooks/aeo/,,,
"US, Texas",history source: light truck sales share,default,multiple sources - see right,"State Motor-Vehicle Registrations, by US Federal Highway Administration","2020 Transportation Energy Data Book, by US DOE-ORNL",,multiple sources - see right,https://www.fhwa.dot.gov/policyinformation/statistics/2017/mv1.cfm,https://tedb.ornl.gov/wp-content/uploads/2020/02/TEDB_Ed_38_04302020.pdf#page=80,
"US, Texas",projection for: light truck sales share,static,N/A - static,,,,N/A - static,,,
"US, Texas",history source: powertrain sales share,default,multiple sources - see right,"Advanced Technology Vehicle Sales Dashboard, by Auto Alliance","US Plug-in Electric and HEV Sales by Model, by US Argonne National Laboratory - Transportation Research Center",,multiple sources - see right,https://autoalliance.org/energy-environment/advanced-technology-vehicle-sales-dashboard/,anl.gov/es/light-duty-electric-drive-vehicles-monthly-sales-updates,
"US, Texas",projection for: sales shares by powertrain (PT),user,N/A - user,,,,N/A - user,,,
"US, Texas",history source: car survival rates,default,multiple sources - see right,"2020 Transportation Energy Data Book, by US DOE-ORNL",internal,,multiple sources - see right,https://tedb.ornl.gov/wp-content/uploads/2020/02/TEDB_Ed_38_04302020.pdf#page=80,,
"US, Texas",projection for: median car life,static,N/A - static,,,,N/A - static,,,
"US, Texas",history source: new car distance,TEDB20,"2020 Transportation Energy Data Book, by US DOE-ORNL",,,,https://tedb.ornl.gov/wp-content/uploads/2020/02/TEDB_Ed_38_04302020.pdf#page=80,,,
"US, Texas",projection for: new car distance,static,N/A - static,,,,N/A - static,,,
"US, Texas",history source: distance Δ per age Δ,TEDB20,"2020 Transportation Energy Data Book, by US DOE-ORNL",,,,https://tedb.ornl.gov/wp-content/uploads/2020/02/TEDB_Ed_38_04302020.pdf#page=80,,,
"US, Texas",projection for: distance decline per age Δ,static,N/A - static,,,,N/A - static,,,
"US, Texas",history source: fuel intensity new,VIS20,"2020 VISION Fleet Model, by US Argonne National Laboratory",,,,https://www.anl.gov/es/vision-model,,,
"US, Texas",projection for: new car fuel intensity (F),MIT15,"2015 MIT Report - On The Road to 2050, by Heywood, John; Mackenzie, Don",,,,http://web.mit.edu/sloan-auto-lab/research/beforeh2/files/On-the-Road-toward-2050.pdf,,,
"US, Texas",history source: grid carbon intensity,default,multiple sources - see right,"2020 EIA Electricity Data Browser, by US EIA","Acid Rain Program Data, by US EPA",,multiple sources - see right,https://www.eia.gov/electricity/data/browser/,https://ampd.epa.gov/ampd/,
"US, Texas",projection for: grid carbon intensity (CI),AEO20,"2020 Annual Energy Outlook, by US EIA",,,,https://www.eia.gov/outlooks/aeo/,,,
"US, New York",history source: population,USC,"US Census Bureau population data, by US Census",,,,https://www.census.gov/programs-surveys/popest/data/tables.1979.html,,,
"US, New York",projection for: %Δ in population,AEO20,"2020 Annual Energy Outlook, by US EIA",,,,https://www.eia.gov/outlooks/aeo/,,,
"US, New York",history source: sales/person ,default,multiple sources - see right,"NADA Data, Annual Report, by National Automobile Dealers' Association","US Census Bureau population data, by US Census",,multiple sources - see right,https://www.nada.org/WorkArea/DownloadAsset.aspx?id=21474855962,https://www.census.gov/programs-surveys/popest/data/tables.1979.html,
"US, New York",projection for: %Δ in sales/person,AEO20,"2020 Annual Energy Outlook, by US EIA",,,,https://www.eia.gov/outlooks/aeo/,,,
"US, New York",history source: light truck sales share,default,multiple sources - see right,"State Motor-Vehicle Registrations, by US Federal Highway Administration","2020 Transportation Energy Data Book, by US DOE-ORNL",,multiple sources - see right,https://www.fhwa.dot.gov/policyinformation/statistics/2017/mv1.cfm,https://tedb.ornl.gov/wp-content/uploads/2020/02/TEDB_Ed_38_04302020.pdf#page=80,
"US, New York",projection for: light truck sales share,static,N/A - static,,,,N/A - static,,,
"US, New York",history source: powertrain sales share,default,multiple sources - see right,"Advanced Technology Vehicle Sales Dashboard, by Auto Alliance","US Plug-in Electric and HEV Sales by Model, by US Argonne National Laboratory - Transportation Research Center",,multiple sources - see right,https://autoalliance.org/energy-environment/advanced-technology-vehicle-sales-dashboard/,anl.gov/es/light-duty-electric-drive-vehicles-monthly-sales-updates,
"US, New York",projection for: sales shares by powertrain (PT),user,N/A - user,,,,N/A - user,,,
"US, New York",history source: car survival rates,default,multiple sources - see right,"2020 Transportation Energy Data Book, by US DOE-ORNL",internal,,multiple sources - see right,https://tedb.ornl.gov/wp-content/uploads/2020/02/TEDB_Ed_38_04302020.pdf#page=80,,
"US, New York",projection for: median car life,static,N/A - static,,,,N/A - static,,,
"US, New York",history source: new car distance,TEDB20,"2020 Transportation Energy Data Book, by US DOE-ORNL",,,,https://tedb.ornl.gov/wp-content/uploads/2020/02/TEDB_Ed_38_04302020.pdf#page=80,,,
"US, New York",projection for: new car distance,static,N/A - static,,,,N/A - static,,,
"US, New York",history source: distance Δ per age Δ,TEDB20,"2020 Transportation Energy Data Book, by US DOE-ORNL",,,,https://tedb.ornl.gov/wp-content/uploads/2020/02/TEDB_Ed_38_04302020.pdf#page=80,,,
"US, New York",projection for: distance decline per age Δ,static,N/A - static,,,,N/A - static,,,
"US, New York",history source: fuel intensity new,VIS20,"2020 VISION Fleet Model, by US Argonne National Laboratory",,,,https://www.anl.gov/es/vision-model,,,
"US, New York",projection for: new car fuel intensity (F),MIT15,"2015 MIT Report - On The Road to 2050, by Heywood, John; Mackenzie, Don",,,,http://web.mit.edu/sloan-auto-lab/research/beforeh2/files/On-the-Road-toward-2050.pdf,,,
"US, New York",history source: grid carbon intensity,default,multiple sources - see right,"2020 EIA Electricity Data Browser, by US EIA","Acid Rain Program Data, by US EPA",,multiple sources - see right,https://www.eia.gov/electricity/data/browser/,https://ampd.epa.gov/ampd/,
"US, New York",projection for: grid carbon intensity (CI),AEO20,"2020 Annual Energy Outlook, by US EIA",,,,https://www.eia.gov/outlooks/aeo/,,,
Norway,history source: population,Eurostat,"Eurostat Data, by European Commission",,,,https://ec.europa.eu/eurostat/web/population-demography-migration-projections/visualisations,,,
Norway,projection for: %Δ in population,SSB,"Norway Population Data, by Statistics Norway",,,,https://www.ssb.no/en/befolkning/statistikker/folkfram,,,
Norway,history source: sales/person ,default,multiple sources - see right,"European Registration Figures, by European Automobile Manufacturers Association","European Vehicle Market Statistics, by International Council on Clean Transportation","Eurostat Data, by European Commission",multiple sources - see right,https://www.acea.be/statistics/tag/category/by-country-registrations,https://theicct.org/publications/european-vehicle-market-statistics-20192020,https://ec.europa.eu/eurostat/web/population-demography-migration-projections/visualisations
Norway,projection for: %Δ in sales/person,static,N/A - static,,,,N/A - static,,,
Norway,history source: light truck sales share,default,multiple sources - see right,"European Registration Figures, by European Automobile Manufacturers Association","European Vehicle Market Statistics, by International Council on Clean Transportation",,multiple sources - see right,https://www.acea.be/statistics/tag/category/by-country-registrations,https://theicct.org/publications/european-vehicle-market-statistics-20192020,
