Balancing Authority,Date,Averaged Demand (MwH)
CISO,03/16/2020 1:00:00 AM 1,20438
CISO,03/16/2020 2:00:00 AM 2,19728
CISO,03/16/2020 3:00:00 AM 3,19303
CISO,03/16/2020 4:00:00 AM 4,19286
CISO,03/16/2020 5:00:00 AM 5,19842
CISO,03/16/2020 6:00:00 AM 6,21167
CISO,03/16/2020 7:00:00 AM 7,23193
CISO,03/16/2020 8:00:00 AM 8,24597
CISO,03/16/2020 9:00:00 AM 9,25177
CISO,03/16/2020 10:00:00 AM 10,25235
CISO,03/16/2020 11:00:00 AM 11,25233
CISO,03/16/2020 12:00:00 PM 12,24698
CISO,03/16/2020 1:00:00 PM 13,24437
CISO,03/16/2020 2:00:00 PM 14,24600
CISO,03/16/2020 3:00:00 PM 15,24103
CISO,03/16/2020 4:00:00 PM 16,23582
CISO,03/16/2020 5:00:00 PM 17,23752
CISO,03/16/2020 6:00:00 PM 18,24573
CISO,03/16/2020 7:00:00 PM 19,26112
CISO,03/16/2020 8:00:00 PM 20,27424
CISO,03/16/2020 9:00:00 PM 21,27028
CISO,03/16/2020 10:00:00 PM 22,26013
CISO,03/16/2020 11:00:00 PM 23,24323
CISO,03/17/2020 12:00:00 AM 24,22694
CISO,03/17/2020 1:00:00 AM 1,21510
CISO,03/17/2020 2:00:00 AM 2,20608
CISO,03/17/2020 3:00:00 AM 3,20091
CISO,03/17/2020 4:00:00 AM 4,19959
CISO,03/17/2020 5:00:00 AM 5,20523
CISO,03/17/2020 6:00:00 AM 6,21795
CISO,03/17/2020 7:00:00 AM 7,23763
CISO,03/17/2020 8:00:00 AM 8,24803
CISO,03/17/2020 9:00:00 AM 9,24557
CISO,03/17/2020 10:00:00 AM 10,23496
CISO,03/17/2020 11:00:00 AM 11,22941
CISO,03/17/2020 12:00:00 PM 12,22121
CISO,03/17/2020 1:00:00 PM 13,21690
CISO,03/17/2020 2:00:00 PM 14,21461
CISO,03/17/2020 3:00:00 PM 15,22103
CISO,03/17/2020 4:00:00 PM 16,21757
CISO,03/17/2020 5:00:00 PM 17,22240
CISO,03/17/2020 6:00:00 PM 18,23262
CISO,03/17/2020 7:00:00 PM 19,25033
CISO,03/17/2020 8:00:00 PM 20,26679
CISO,03/17/2020 9:00:00 PM 21,26424
CISO,03/17/2020 10:00:00 PM 22,25453
CISO,03/17/2020 11:00:00 PM 23,23999
CISO,03/18/2020 12:00:00 AM 24,22452
CISO,03/18/2020 1:00:00 AM 1,21709
CISO,03/18/2020 2:00:00 AM 2,21345
CISO,03/18/2020 3:00:00 AM 3,20788
CISO,03/18/2020 4:00:00 AM 4,20679
CISO,03/18/2020 5:00:00 AM 5,20775
CISO,03/18/2020 6:00:00 AM 6,21909
CISO,03/18/2020 7:00:00 AM 7,23845
CISO,03/18/2020 8:00:00 AM 8,25023
CISO,03/18/2020 9:00:00 AM 9,25391
CISO,03/18/2020 10:00:00 AM 10,25510
