Data Date,Summed peak hourly Demand (MW)
01/01/2021,471575
01/02/2021,463137
01/03/2021,472470
01/04/2021,497687
01/05/2021,498228
01/06/2021,505585
01/07/2021,515666
01/08/2021,519028
01/09/2021,502252
01/10/2021,513819
01/11/2021,539371
01/12/2021,532816
01/13/2021,532019
01/14/2021,516489
01/15/2021,506024
01/16/2021,482027
01/17/2021,471771
01/18/2021,500052
01/19/2021,515234
01/20/2021,534646
01/21/2021,494776
01/22/2021,488245
01/23/2021,481240
01/24/2021,476950
01/25/2021,509980
01/26/2021,506714
01/27/2021,509733
01/28/2021,534933
01/29/2021,552984
01/30/2021,484075
01/31/2021,489467
02/01/2021,530204
02/02/2021,532931
02/03/2021,538243
02/04/2021,530417
02/05/2021,502525
02/06/2021,485549
02/07/2021,498451
02/08/2021,537550
02/09/2021,522180
02/10/2021,533602
02/11/2021,557481
02/12/2021,567101
02/13/2021,550194
02/14/2021,566155
02/15/2021,563734
02/16/2021,550898
02/17/2021,553393
02/18/2021,555080
02/19/2021,549812
02/20/2021,510723
02/21/2021,469707
02/22/2021,483130
02/23/2021,485421
02/24/2021,466806
02/25/2021,467332
02/26/2021,469884
02/27/2021,437077
02/28/2021,449097
03/01/2021,483849
03/02/2021,487581
03/03/2021,489016
03/04/2021,468059
03/05/2021,468830
03/06/2021,434534
03/07/2021,438786
03/08/2021,487463
03/09/2021,457619
03/10/2021,446393
03/11/2021,444098
03/12/2021,435616
03/13/2021,421393
03/14/2021,421942
03/15/2021,470296
03/16/2021,467060
03/17/2021,451732
03/18/2021,453215
03/19/2021,458005
03/20/2021,450362
03/21/2021,486570
03/22/2021,440815
03/23/2021,435966
03/24/2021,440301
03/25/2021,444017
03/26/2021,435107
03/27/2021,421356
03/28/2021,425243
03/29/2021,442682
03/30/2021,447306
03/31/2021,447476
04/01/2021,453962
04/02/2021,452696
04/03/2021,415688
04/04/2021,397945
04/05/2021,442838
04/06/2021,448157
04/07/2021,454608
04/08/2021,451120
04/09/2021,450339
04/10/2021,413564
04/11/2021,422337
04/12/2021,458235
04/13/2021,444865
04/14/2021,440462
04/15/2021,435113
04/16/2021,420257
04/17/2021,405800
04/18/2021,413300
04/19/2021,435740
04/20/2021,443158
04/21/2021,444215
04/22/2021,443696
04/23/2021,431527
04/24/2021,414284
04/25/2021,425763
04/26/2021,450895
04/27/2021,464176
04/28/2021,485185
04/29/2021,484034
04/30/2021,457170
05/01/2021,429099
05/02/2021,455749
05/03/2021,502205
05/04/2021,489794
05/05/2021,483998
05/06/2021,467417
05/07/2021,449278
05/08/2021,432813
05/09/2021,438845
05/10/2021,468461
05/11/2021,461673
05/12/2021,451306
05/13/2021,448461
05/14/2021,456198
05/15/2021,430655
05/16/2021,434960
05/17/2021,477449
05/18/2021,486747
05/19/2021,513182
05/20/2021,529163
05/21/2021,525492
05/22/2021,506063
05/23/2021,525864
05/24/2021,551002
05/25/2021,571102
05/26/2021,589786
05/27/2021,562273
05/28/2021,512391
05/29/2021,452580
05/30/2021,439405
05/31/2021,467152
06/01/2021,519506
06/02/2021,536063
06/03/2021,549804
06/04/2021,580109
06/05/2021,581612
06/06/2021,591254
06/07/2021,619910
06/08/2021,628565
06/09/2021,640138
06/10/2021,628784
06/11/2021,605106
06/12/2021,592207
06/13/2021,609827
06/14/2021,644970
06/15/2021,672954
06/16/2021,622145
06/17/2021,645134
06/18/2021,654355
06/19/2021,613937
06/20/2021,623162
06/21/2021,627319
06/22/2021,568537
06/23/2021,587589
06/24/2021,595146
06/25/2021,605827
06/26/2021,602039
06/27/2021,626769
06/28/2021,667267
