Data Date,Summed Demand (MW)
01/06/2021,11121669
01/07/2021,11333323
01/08/2021,11457100
01/09/2021,11222308
01/10/2021,11234882
01/11/2021,11871114
01/12/2021,11608488
01/13/2021,11377028
01/14/2021,11086501
01/15/2021,11089239
01/16/2021,10757188
01/17/2021,10522255
01/18/2021,11039698
01/19/2021,11175935
01/20/2021,11079199
01/21/2021,10901685
01/22/2021,10793516
01/23/2021,10632842
01/24/2021,10507545
01/25/2021,10994833
01/26/2021,11002276
01/27/2021,11059929
01/28/2021,11745141
01/29/2021,11818197
01/30/2021,10929626
01/31/2021,10573389
02/01/2021,11575555
02/02/2021,11707772
02/03/2021,11576581
02/04/2021,11463924
02/05/2021,11048351
02/06/2021,10822781
02/07/2021,11030283
02/08/2021,11751370
02/09/2021,11574415
02/10/2021,11695613
02/11/2021,12131890
02/12/2021,12587496
02/13/2021,12309684
02/14/2021,12415548
02/15/2021,12608189
02/16/2021,12303907
02/17/2021,12327915
02/18/2021,12346123
02/19/2021,12052669
02/20/2021,11248825
02/21/2021,10598420
02/22/2021,10692049
02/23/2021,10432378
02/24/2021,10159680
02/25/2021,10208395
02/26/2021,10426254
02/27/2021,9729911
02/28/2021,9500161
03/01/2021,10348129
03/02/2021,10793108
03/03/2021,10410554
03/04/2021,10192307
03/05/2021,10290634
03/06/2021,9759693
03/07/2021,9694043
03/08/2021,10282844
03/09/2021,9939250
03/10/2021,9776492
03/11/2021,9651301
03/12/2021,9598361
03/13/2021,9171710
03/14/2021,8695226
03/15/2021,10205616
03/16/2021,10343809
03/17/2021,10141869
03/18/2021,10112204
03/19/2021,10007431
03/20/2021,9466532
03/21/2021,9203234
03/22/2021,9598144
03/23/2021,9637272
03/24/2021,9659746
03/25/2021,9728595
03/26/2021,9734672
03/27/2021,9217901
03/28/2021,9067287
03/29/2021,9759979
03/30/2021,9818077
03/31/2021,9866071
04/01/2021,10046056
04/02/2021,9903206
04/03/2021,9236199
04/04/2021,8722436
04/05/2021,9485161
04/06/2021,9631907
04/07/2021,9717534
04/08/2021,9677506
04/09/2021,9724835
04/10/2021,9040220
04/11/2021,8933650
04/12/2021,9744156
04/13/2021,9689852
04/14/2021,9634979
04/15/2021,9454880
04/16/2021,9491780
04/17/2021,9002066
04/18/2021,8834119
04/19/2021,9514814
04/20/2021,9697688
04/21/2021,9810080
04/22/2021,9912302
04/23/2021,9675137
04/24/2021,9181285
04/25/2021,9035142
04/26/2021,9743907
04/27/2021,9912202
04/28/2021,10161139
04/29/2021,10255035
04/30/2021,9872268
05/01/2021,9190538
05/02/2021,9294197
05/03/2021,10368480
05/04/2021,10364606
05/05/2021,10114749
05/06/2021,9925948
05/07/2021,9747579
05/08/2021,9313381
05/09/2021,9322823
05/10/2021,10070329
05/11/2021,9985134
05/12/2021,9831459
05/13/2021,9794130
05/14/2021,9742732
05/15/2021,9221978
05/16/2021,9075794
05/17/2021,9983597
05/18/2021,10229247
05/19/2021,10521824
05/20/2021,10775514
05/21/2021,10761744
05/22/2021,10325340
05/23/2021,10448947
05/24/2021,11063645
05/25/2021,11376992
05/26/2021,11646642
05/27/2021,11310165
05/28/2021,10727250
05/29/2021,9593950
05/30/2021,9205111
05/31/2021,9520961
06/01/2021,10487629
06/02/2021,10854507
06/03/2021,11156042
06/04/2021,11567397
06/05/2021,11431151
06/06/2021,11562063
06/07/2021,12485507
06/08/2021,12632435
06/09/2021,12769192
06/10/2021,12620889
06/11/2021,12279042
06/12/2021,11774064
06/13/2021,11769626
06/14/2021,12584318
06/15/2021,12371070
06/16/2021,12147264
06/17/2021,12444548
06/18/2021,12738423
06/19/2021,12209172
06/20/2021,12185726
06/21/2021,12709111
06/22/2021,11737420
06/23/2021,11693675
06/24/2021,11854128
06/25/2021,12229096
06/26/2021,11978364
06/27/2021,12229601
06/28/2021,13325209
