Feed,"Transport Mode, Process to Use",Default Distance (mile one-way),Mix,flows,value,unit,direction,type,data location,comment
gasoline,truck,30,,voc,1.16E-09,kg/MJmile,output,mass,GREET T&D tab A106 & below,
gasoline,truck,30,,co,3.48E-09,kg/MJmile,output,mass,GREET T&D tab A106 & below,
gasoline,truck,30,,nox,8.35E-09,kg/MJmile,output,mass,GREET T&D tab A106 & below,
gasoline,truck,30,,pm10,3.14E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,
gasoline,truck,30,,pm2.5,1.76E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,
gasoline,truck,30,,sox,3.85E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,
gasoline,truck,30,,bc,1.91E-11,kg/MJmile,output,mass,GREET T&D tab A106 & below,
gasoline,truck,30,,oc,3.37E-11,kg/MJmile,output,mass,GREET T&D tab A106 & below,
gasoline,truck,30,,ch4,4.81E-09,kg/MJmile,output,mass,GREET T&D tab A106 & below,
gasoline,truck,30,,n2o,1.28E-11,kg/MJmile,output,mass,GREET T&D tab A106 & below,
gasoline,truck,30,,co2,3.35E-06,kg/MJmile,output,mass,GREET T&D tab A106 & below,
diesel,default mix,255.03,See GREET T&D tab L206,voc,3.59E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,default mix,255.03,See GREET T&D tab L206,co,1.62E-09,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,default mix,255.03,See GREET T&D tab L206,nox,6.77E-09,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,default mix,255.03,See GREET T&D tab L206,pm10,3.06E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,default mix,255.03,See GREET T&D tab L206,pm2.5,2.58E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,default mix,255.03,See GREET T&D tab L206,sox,1.19E-09,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,default mix,255.03,See GREET T&D tab L206,bc,3.57E-11,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,default mix,255.03,See GREET T&D tab L206,oc,1.02E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,default mix,255.03,See GREET T&D tab L206,ch4,1.72E-09,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,default mix,255.03,See GREET T&D tab L206,n2o,1.81E-11,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,default mix,255.03,See GREET T&D tab L206,co2,1.16E-06,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,ocean tanker,1300,,voc,1.77E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,ocean tanker,1300,,co,3.97E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,ocean tanker,1300,,nox,4.34E-09,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,ocean tanker,1300,,pm10,3.76E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,ocean tanker,1300,,pm2.5,3.46E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,ocean tanker,1300,,sox,2.99E-09,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,ocean tanker,1300,,bc,5.19E-11,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,ocean tanker,1300,,oc,1.35E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,ocean tanker,1300,,ch4,2.20E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,ocean tanker,1300,,n2o,4.46E-12,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,ocean tanker,1300,,co2,1.95E-07,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,barge,200,,voc,3.29E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,barge,200,,co,2.47E-09,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,barge,200,,nox,1.06E-08,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,barge,200,,pm10,3.60E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,barge,200,,pm2.5,3.46E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,barge,200,,sox,1.21E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,barge,200,,bc,5.23E-11,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,barge,200,,oc,1.33E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,barge,200,,ch4,1.29E-09,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,barge,200,,n2o,2.56E-11,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,barge,200,,co2,1.05E-06,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,pipeline,110,,voc,1.57E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,pipeline,110,,co,4.96E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,pipeline,110,,nox,9.72E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,pipeline,110,,pm10,1.75E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
diesel,pipeline,110,,pm2.5,7.56E-11,kg/MJmile,output,mass,GREET T&D tab A106 & below,Very similar for conventional diesel & low sulfer diesel
