Feed,Sub Feed,"Transport Mode, Upstream to Process",Default Distance (mile one-way),Mix,flows,value,unit,direction,type,data location,comment
crude,,default mix,2507.276661,See GREET T&D tab B206,voc,1.71E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,default mix,2507.276661,See GREET T&D tab B206,co,5.37E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,default mix,2507.276661,See GREET T&D tab B206,nox,3.78E-09,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,default mix,2507.276661,See GREET T&D tab B206,pm10,3.01E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,default mix,2507.276661,See GREET T&D tab B206,pm2.5,2.61E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,default mix,2507.276661,See GREET T&D tab B206,sox,2.38E-09,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,default mix,2507.276661,See GREET T&D tab B206,bc,3.81E-11,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,default mix,2507.276661,See GREET T&D tab B206,oc,9.99E-11,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,default mix,2507.276661,See GREET T&D tab B206,ch4,7.91E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,default mix,2507.276661,See GREET T&D tab B206,n2o,9.18E-12,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,default mix,2507.276661,See GREET T&D tab B206,co2,4.83E-07,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,ocean tanker,7812.026849,,voc,1.56E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,ocean tanker,7812.026849,,co,3.50E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,ocean tanker,7812.026849,,nox,3.83E-09,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,ocean tanker,7812.026849,,pm10,3.32E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,ocean tanker,7812.026849,,pm2.5,3.06E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,ocean tanker,7812.026849,,sox,2.64E-09,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,ocean tanker,7812.026849,,bc,4.59E-11,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,ocean tanker,7812.026849,,oc,1.19E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,ocean tanker,7812.026849,,ch4,1.94E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,ocean tanker,7812.026849,,n2o,3.94E-12,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,ocean tanker,7812.026849,,co2,1.72E-07,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,barge,750,,voc,3.30E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,barge,750,,co,2.47E-09,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,barge,750,,nox,1.06E-08,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,barge,750,,pm10,3.60E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,barge,750,,pm2.5,3.47E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,barge,750,,sox,1.21E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,barge,750,,bc,5.25E-11,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,barge,750,,oc,1.34E-10,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,barge,750,,ch4,1.30E-09,kg/MJmile,output,mass,GREET T&D tab A106 & below,
crude,,barge,750,,n2o,2.57E-11,kg/MJmile,output,mass,GREET T&D tab A106 & below,
