Power Mix,flow,value,unit,direction,source,data location,comment
US mix,voc,5.3E-05,kg/KWh,output,GREET,Electric tab Row 210-221,different power options for users when modeling industrial processes or vehicles
US mix,co,1.7E-04,kg/KWh,output,GREET,Electric tab Row 210-222,different power options for users when modeling industrial processes or vehicles
US mix,nox,3.2E-04,kg/KWh,output,GREET,Electric tab Row 210-223,different power options for users when modeling industrial processes or vehicles
US mix,pm10,5.8E-05,kg/KWh,output,GREET,Electric tab Row 210-224,different power options for users when modeling industrial processes or vehicles
US mix,pm2.5,2.5E-05,kg/KWh,output,GREET,Electric tab Row 210-225,different power options for users when modeling industrial processes or vehicles
US mix,sox,7.9E-04,kg/KWh,output,GREET,Electric tab Row 210-226,different power options for users when modeling industrial processes or vehicles
US mix,bc,2.0E-06,kg/KWh,output,GREET,Electric tab Row 210-227,different power options for users when modeling industrial processes or vehicles
US mix,oc,4.8E-06,kg/KWh,output,GREET,Electric tab Row 210-228,different power options for users when modeling industrial processes or vehicles
US mix,ch4,9.0E-04,kg/KWh,output,GREET,Electric tab Row 210-229,different power options for users when modeling industrial processes or vehicles
US mix,n2o,7.1E-06,kg/KWh,output,GREET,Electric tab Row 210-230,different power options for users when modeling industrial processes or vehicles
US mix,co2 ,4.6E-01,kg/KWh,output,GREET,Electric tab Row 210-231,different power options for users when modeling industrial processes or vehicles
US mix,ghg,4.8E-01,kg/KWh,output,GREET,Electric tab Row 210-232,different power options for users when modeling industrial processes or vehicles
US natural gas,voc,7.7E-05,kg/KWh,output,GREET,Electric tab Row 210-233,different power options for users when modeling industrial processes or vehicles
US natural gas,co,3.5E-04,kg/KWh,output,GREET,Electric tab Row 210-234,different power options for users when modeling industrial processes or vehicles
US natural gas,nox,4.3E-04,kg/KWh,output,GREET,Electric tab Row 210-235,different power options for users when modeling industrial processes or vehicles
US natural gas,pm10,1.5E-05,kg/KWh,output,GREET,Electric tab Row 210-236,different power options for users when modeling industrial processes or vehicles
US natural gas,pm2.5,1.4E-05,kg/KWh,output,GREET,Electric tab Row 210-237,different power options for users when modeling industrial processes or vehicles
US natural gas,sox,1.0E-04,kg/KWh,output,GREET,Electric tab Row 210-238,different power options for users when modeling industrial processes or vehicles
US natural gas,bc,2.5E-06,kg/KWh,output,GREET,Electric tab Row 210-239,different power options for users when modeling industrial processes or vehicles
US natural gas,oc,6.5E-06,kg/KWh,output,GREET,Electric tab Row 210-240,different power options for users when modeling industrial processes or vehicles
US natural gas,ch4,1.4E-03,kg/KWh,output,GREET,Electric tab Row 210-241,different power options for users when modeling industrial processes or vehicles
US natural gas,n2o,6.5E-06,kg/KWh,output,GREET,Electric tab Row 210-242,different power options for users when modeling industrial processes or vehicles
US natural gas,co2 ,4.6E-01,kg/KWh,output,GREET,Electric tab Row 210-243,different power options for users when modeling industrial processes or vehicles
US natural gas,ghg,5.1E-01,kg/KWh,output,GREET,Electric tab Row 210-244,different power options for users when modeling industrial processes or vehicles
