Natural Gas & Power Emissions Model,activity,flow_source,flows,value,unit,direction,type,source,data location,comment
average of 88 corn ethanol biorefineries (EPA),Total,,corn,0.124321783,kg/MJ,input,mass,attached excel model based on a combination GREET& USDA etc models & data,Results Summary!D22/C22,
average of 88 corn ethanol biorefineries (EPA),Fermentation,total,fermenter vent biogenic co2,0.037583122,kg/MJ,output,mass,attached excel model based on a combination GREET& USDA etc models & data,3b. Biorefinery (AECOM)!C177,
average of 88 corn ethanol biorefineries (EPA),Chemicals at ethanol plant- from AECOM model,total,co2,0.002145099,kg/MJ,output,mass,attached excel model based on a combination GREET& USDA etc models & data,Results Summary!D24,The flow is actually total ghg because source model doesn't distinguish among co2 ch4 n2o_naming flows as co2 to avoid changes to sesame lca.py file for now
AECOM model,Total,total,corn,0.124321783,kg/MJ,input,mass,attached excel model based on a combination GREET& USDA etc models & data,Results Summary!D22/C22,
AECOM model,Total,,natural gas,0.47289517,MJ/MJ,input,energy,attached excel model based on a combination GREET& USDA etc models & data,3b. Biorefinery (AECOM)!C170,
AECOM model,Total,,electricity,0.04240381,MJ/MJ,input,energy,attached excel model based on a combination GREET& USDA etc models & data,3b. Biorefinery (AECOM)!C179,
AECOM model,Fermentation,total,fermenter vent biogenic co2,0.037583122,kg/MJ,output,mass,attached excel model based on a combination GREET& USDA etc models & data,3b. Biorefinery (AECOM)!C177,
AECOM model,Chemicals at ethanol plant- from AECOM model,total,co2,0.002145099,kg/MJ,output,mass,attached excel model based on a combination GREET& USDA etc models & data,Results Summary!D24,The flow is actually total ghg because source model doesn't distinguish among co2 ch4 n2o_naming flows as co2 to avoid changes to sesame lca.py file for now
average of 88 corn ethanol biorefineries (EPA),Carbon footprint of NG & power,total,co2,0.026742932,kg/MJ,output,mass,attached excel model based on a combination GREET& USDA etc models & data,Results Summary!D25,The flow is actually total ghg because source model doesn't distinguish among co2 ch4 n2o_naming flows as co2 to avoid changes to sesame lca.py file for now
AECOM model,Carbon footprint of NG & power,natural gas,co2,0.030596857,kg/MJ,output,mass,attached excel model based on a combination GREET& USDA etc models & data,Results Summary!D66,The flow is actually total ghg because source model doesn't distinguish among co2 ch4 n2o_naming flows as co2 to avoid changes to sesame lca.py file for now
AECOM model,Carbon footprint of NG & power,electricity,co2,0.005818848,kg/MJ,output,mass,attached excel model based on a combination GREET& USDA etc models & data,Results Summary!D65,The flow is actually total ghg because source model doesn't distinguish among co2 ch4 n2o_naming flows as co2 to avoid changes to sesame lca.py file for now
AECOM model,Carbon footprint of NG & power,total,co2,0.036415704,kg/MJ,output,mass,attached excel model based on a combination GREET& USDA etc models & data,Results Summary!D65+D66,The flow is actually total ghg because source model doesn't distinguish among co2 ch4 n2o_naming flows as co2 to avoid changes to sesame lca.py file for now
