Process Type,activity,flow_source,flows,value,unit,direction,type,source,data location,comment
wet process,total,resid oil,resid oil,0.007,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
wet process,total,diesel,diesel,0.015,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
wet process,total,gasoline,gasoline,0.000,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
wet process,total,lpg,lpg,0.000,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
wet process,total,pet coke,pet coke,0.989,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
wet process,total,natural gas,natural gas,0.819,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
wet process,total,coal,coal,1.509,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
wet process,total,waste,waste,1.196,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
wet process,total,tire derived fuel,tire derived fuel,0.313,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
wet process,total,solvents,solvents,1.772,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
wet process,total,waste oil,waste oil,0.028,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
wet process,total,renewables,renewables,0.007,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
wet process,total,electricity,electricity,0.464,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
wet process,total,electricity,voc,6.62127E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
wet process,total,electricity,co,2.09807E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
wet process,total,electricity,nox,4.10982E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
wet process,total,electricity,pm10,7.38193E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
wet process,total,electricity,pm2.5,3.19845E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
wet process,total,electricity,sox,0.000101078,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
wet process,total,electricity,bc,2.62683E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
wet process,total,electricity,oc,6.20067E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
wet process,total,electricity,ch4,0.000116173,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
wet process,total,electricity,n2o,9.17863E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
wet process,total,electricity,co2,0.058571646,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
wet process,Energy Use,total,voc,3.16817E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
wet process,Energy Use,total,co,6.16247E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
wet process,Energy Use,total,nox,0.000115176,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
wet process,Energy Use,total,pm10,2.22647E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
wet process,Energy Use,total,pm2.5,7.12605E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
wet process,Energy Use,total,sox,0.000129153,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
wet process,Energy Use,total,bc,7.38797E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
