activity,flow_source,flows,flow_breakdown,value,unit,direction,type,Source,comment,data location
Gas Compression,,natural gas,,1.000515803,MJ/MJ,input,energy,GREET,Primary variable to be passed to midstream stage,NG tab Row 25 for CNG
Gas Compression,electricity,electricity,,0.021819777,MJ/MJ,input,energy,GREET,,NG tab Row 47 for NG or FG to Compressed Natural Gas
Gas Compression,,Feedstock loss,,5.16E-04,MJ/MJ,input,energy,GREET,,NG tab Row 48 for NG or FG to Compressed Natural Gas
Gas Compression,electricity,voc,,3.11E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Gas Compression,electricity,co,,9.86E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Gas Compression,electricity,nox,,1.93E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Gas Compression,electricity,pm10,,3.47E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Gas Compression,electricity,pm2.5,,1.50E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Gas Compression,electricity,sox,,4.75E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Gas Compression,electricity,bc,,1.23E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Gas Compression,electricity,oc,,2.91E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Gas Compression,electricity,ch4,combustion,5.46E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Gas Compression,electricity,n2o,,4.31E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Gas Compression,electricity,co2,,2.75E-03,kg/MJ,output,mass,GREET,,NG tab Row 47 for NG or FG to Compressed Natural Gas and Electric tab B220 and C220
Gas Compression,total,voc,,3.25E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Gas Compression,total,co,,1.08E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Gas Compression,total,nox,,1.95E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Gas Compression,total,pm10,,3.55E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Gas Compression,total,pm2.5,,1.54E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Gas Compression,total,sox,,4.80E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Gas Compression,total,bc,,1.24E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Gas Compression,total,oc,,2.94E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Gas Compression,total,ch4,combustion,5.49E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Gas Compression,total,n2o,,4.33E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Gas Compression,total,co2,,2.77E-03,kg/MJ,output,mass,GREET,,NG tab Row 66 for conventional gas (recovery)
Gas Compression,total,ch4,leakage,1.06E-05,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
