Coal Type,Region,Generator Type,Count Emissions from Building Powerplant,mix,efficiency,flows,value,unit,direction,type,source,data location
Bituminous,US near future (GREET projection),Boiler (~99% of US coal turbines),No,,36.00%,voc,8.60E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = US
Bituminous,US near future (GREET projection),Boiler (~99% of US coal turbines),No,,36.00%,co,5.60E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = US
Bituminous,US near future (GREET projection),Boiler (~99% of US coal turbines),No,,36.00%,nox,3.62E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = US
Bituminous,US near future (GREET projection),Boiler (~99% of US coal turbines),No,,36.00%,pm10,6.14E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = US
Bituminous,US near future (GREET projection),Boiler (~99% of US coal turbines),No,,36.00%,pm2.5,4.32E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = US
Bituminous,US near future (GREET projection),Boiler (~99% of US coal turbines),No,,36.00%,sox,2.36E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = US
Bituminous,US near future (GREET projection),Boiler (~99% of US coal turbines),No,,36.00%,bc,1.86E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = US
Bituminous,US near future (GREET projection),Boiler (~99% of US coal turbines),No,,36.00%,oc,3.50E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = US
Bituminous,US near future (GREET projection),Boiler (~99% of US coal turbines),No,,36.00%,ch4,1.00E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = US
Bituminous,US near future (GREET projection),Boiler (~99% of US coal turbines),No,,36.00%,n2o,1.50E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = US
Bituminous,US near future (GREET projection),Boiler (~99% of US coal turbines),No,,36.00%,co2,7.81E-01,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = US
Bituminous,US near future (GREET projection),Boiler (~99% of US coal turbines),Yes,,36.00%,voc,9.41E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = US
Bituminous,US near future (GREET projection),Boiler (~99% of US coal turbines),Yes,,36.00%,co,6.15E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = US
Bituminous,US near future (GREET projection),Boiler (~99% of US coal turbines),Yes,,36.00%,nox,3.63E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = US
Bituminous,US near future (GREET projection),Boiler (~99% of US coal turbines),Yes,,36.00%,pm10,6.19E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = US
Bituminous,US near future (GREET projection),Boiler (~99% of US coal turbines),Yes,,36.00%,pm2.5,4.34E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = US
Bituminous,US near future (GREET projection),Boiler (~99% of US coal turbines),Yes,,36.00%,sox,2.37E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = US
Bituminous,US near future (GREET projection),Boiler (~99% of US coal turbines),Yes,,36.00%,bc,1.86E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = US
Bituminous,US near future (GREET projection),Boiler (~99% of US coal turbines),Yes,,36.00%,oc,3.51E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = US
Bituminous,US near future (GREET projection),Boiler (~99% of US coal turbines),Yes,,36.00%,ch4,1.13E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = US
Bituminous,US near future (GREET projection),Boiler (~99% of US coal turbines),Yes,,36.00%,n2o,1.50E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = US
Bituminous,US near future (GREET projection),Boiler (~99% of US coal turbines),Yes,,36.00%,co2,7.81E-01,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = US
