Coal type,Location,Source,Feedstock source,Comments,flows,value,unit,direction,type,data location
Mix (50% bituminous/40% subbituminous/4.4% lignite/other),US,GREET ,Unspecified,,voc,5.30E-07,kg/MJ,output,mass,EF tab-AD5 divided by boiler efficiency 84%
Mix (50% bituminous/40% subbituminous/4.4% lignite/other),US,GREET ,Unspecified,,co,2.69E-05,kg/MJ,output,mass,EF tab-AD5 divided by boiler efficiency 84%
Mix (50% bituminous/40% subbituminous/4.4% lignite/other),US,GREET ,Unspecified,,nox,1.37E-04,kg/MJ,output,mass,EF tab-AD5 divided by boiler efficiency 84%
Mix (50% bituminous/40% subbituminous/4.4% lignite/other),US,GREET ,Unspecified,,pm10,2.99E-06,kg/MJ,output,mass,EF tab-AD5 divided by boiler efficiency 84%
Mix (50% bituminous/40% subbituminous/4.4% lignite/other),US,GREET ,Unspecified,,pm2.5,2.83E-06,kg/MJ,output,mass,EF tab-AD5 divided by boiler efficiency 84%
Mix (50% bituminous/40% subbituminous/4.4% lignite/other),US,GREET ,Unspecified,,sox,6.12E-04,kg/MJ,output,mass,EF tab-AD5 divided by boiler efficiency 84%
Mix (50% bituminous/40% subbituminous/4.4% lignite/other),US,GREET ,Unspecified,,bc,1.22E-07,kg/MJ,output,mass,EF tab-AD5 divided by boiler efficiency 84%
Mix (50% bituminous/40% subbituminous/4.4% lignite/other),US,GREET ,Unspecified,,oc,2.30E-07,kg/MJ,output,mass,EF tab-AD5 divided by boiler efficiency 84%
Mix (50% bituminous/40% subbituminous/4.4% lignite/other),US,GREET ,Unspecified,,ch4,1.40E-06,kg/MJ,output,mass,EF tab-AD5 divided by boiler efficiency 84%
Mix (50% bituminous/40% subbituminous/4.4% lignite/other),US,GREET ,Unspecified,,n2o,9.64E-07,kg/MJ,output,mass,EF tab-AD5 divided by boiler efficiency 84%
Mix (50% bituminous/40% subbituminous/4.4% lignite/other),US,GREET ,Unspecified,,co2,1.12E-01,kg/MJ,output,mass,EF tab-AD5 divided by boiler efficiency 84%
Mix (50% bituminous/40% subbituminous/4.4% lignite/other),US,DOE,Unspecified,,coal,1.186323367,MJ/MJ,input,energy,1.186=1/eff (84%) where 84%=80%*90%/86% i.e. harmonized with GREET default efficiency of 80% (NG) with DOE benchmark for NG (86%) and coal (90%)
Mix (50% bituminous/40% subbituminous/4.4% lignite/other),US,IEA,Unspecified,Key knob: boiler efficiency lower bound,coal,1.333333333,MJ/MJ,input,energy,IEA ETSAP Industrial Combustion Boilers 2010 (https://iea-etsap.org/E-TechDS/HIGHLIGHTS%20PDF/I01-ind_boilers-GS-AD-gct%201.pdf)
Mix (50% bituminous/40% subbituminous/4.4% lignite/other),US,DOE,Unspecified,Key knob: boiler efficiency upper bound,coal,1.107419712,MJ/MJ,input,energy,DOE Steam Tip Sheet #15 2012 (https://www.energy.gov/sites/prod/files/2014/05/f16/steam15_benchmark.pdf)
Bituminous,US,GREET ,Unspecified,,voc,5.30E-07,kg/MJ,output,mass,EF tab-AD5 divided by boiler efficiency 84%
Bituminous,US,GREET ,Unspecified,,co,2.69E-05,kg/MJ,output,mass,EF tab-AD5 divided by boiler efficiency 84%
Bituminous,US,GREET ,Unspecified,,nox,1.37E-04,kg/MJ,output,mass,EF tab-AD5 divided by boiler efficiency 84%
Bituminous,US,GREET ,Unspecified,,pm10,2.99E-06,kg/MJ,output,mass,EF tab-AD5 divided by boiler efficiency 84%
Bituminous,US,GREET ,Unspecified,,pm2.5,2.83E-06,kg/MJ,output,mass,EF tab-AD5 divided by boiler efficiency 84%
Bituminous,US,GREET ,Unspecified,,sox,6.12E-04,kg/MJ,output,mass,EF tab-AD5 divided by boiler efficiency 84%
