activity,flow_source,flows,value,unit,direction,type,source,data location,comment
total,concrete feeds (49% gravel/35% sand/9% cement/7% water),concrete feeds (49% gravel/35% sand/9% cement/7% water),1,kg/kg,input,mass,GREET,Cemment_Concrete tab A29,"""Primary variable"" to be sent to midstream"
total,resid oil,resid oil,0,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
total,diesel,diesel,0.007041409,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
total,gasoline,gasoline,0,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
total,lpg,lpg,0,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
total,pet coke,pet coke,0,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
total,natural gas,natural gas,0.004721987,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
total,coal,coal,0,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
total,waste,waste,0,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
total,tire derived fuel,tire derived fuel,0,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
total,solvents,solvents,0,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
total,waste oil,waste oil,0,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
total,renewables,renewables,0,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
total,electricity,electricity,0.006238414,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
total,electricity,voc,8.89541E-08,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
total,electricity,co,2.81867E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
total,electricity,nox,5.52138E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
total,electricity,pm10,9.91732E-08,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
total,electricity,pm2.5,4.29699E-08,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
total,electricity,sox,1.35794E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
total,electricity,bc,3.52904E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
total,electricity,oc,8.33035E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
total,electricity,ch4,1.56073E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
