Type,API,Location,Refinery Complexity index,Sulphur Content,Source,Efficiency,Comments,flows,value,unit,direction,type,data location
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,crude oil,1.111111111,MJ/MJ,input,energy,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,oc,1.02E-07,kg/MJ,output,mass,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,coal,0.003215647,MJ/MJ,input,energy,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,co2,0.007039805,kg/MJ,output,mass,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,bc,7.83E-08,kg/MJ,output,mass,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,natural gas,0.078600896,MJ/MJ,input,energy,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,co,3.70E-06,kg/MJ,output,mass,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,water consumption,0.015784327,liter/MJ,input,mass,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,nox,5.36E-06,kg/MJ,output,mass,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,petroleum,0.033529568,MJ/MJ,input,energy,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,n2o,1.27E-07,kg/MJ,output,mass,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,pm10,6.70E-07,kg/MJ,output,mass,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,ch4,1.74E-05,kg/MJ,output,mass,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,sox,2.45E-06,kg/MJ,output,mass,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,pm2.5,5.59E-07,kg/MJ,output,mass,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,oc,1.03E-07,kg/MJ,output,mass,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,coal,0.003305428,MJ/MJ,input,energy,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,co2,0.007094081,kg/MJ,output,mass,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,bc,7.88E-08,kg/MJ,output,mass,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,natural gas,0.080795369,MJ/MJ,input,energy,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,co,3.76E-06,kg/MJ,output,mass,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,water consumption,0.015970203,liter/MJ,input,mass,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,nox,5.45E-06,kg/MJ,output,mass,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,petroleum,0.03445627,MJ/MJ,input,energy,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,n2o,1.30E-07,kg/MJ,output,mass,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,pm10,6.74E-07,kg/MJ,output,mass,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,ch4,1.78E-05,kg/MJ,output,mass,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,sox,2.50E-06,kg/MJ,output,mass,Petroleum-A81:BN144
conv_diesel,30,US,10.8,1.7,GREET,0.9,Conventional Crude as Feedstock in GREET,pm2.5,5.62E-07,kg/MJ,output,mass,Petroleum-A81:BN144
conv_diesel,16,US,14,1,GREET,0.9,Conventional Crude as Feedstock in GREET,co,3.70E-06,kg/MJ,output,mass,Petroleum-A81:BN144
