Plant Design Type,Method for Estimating Credits of Co-Products,activity,flow_source,flows,flow_breakdown,value,unit,direction,type,Source,comment,data location
No co-products,Displacement method,DME Production,electricity,bc,,2.23201E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
No co-products,Displacement method,DME Production,total,bc,,2.23201E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
No co-products,Displacement method,DME Production: Non-Combustion Emissions,total,bc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Displacement method,DME Production,electricity,bc,,2.25357E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Displacement method,DME Production,steam,bc,,-3.65633E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Displacement method,DME Production,total,bc,,2.25357E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Displacement method,DME Production: Non-Combustion Emissions,total,bc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Displacement method,Production of Displaced Steam,total,bc,,-3.65633E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Btu-based Allocation,DME Production,electricity,bc,,2.25357E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Btu-based Allocation,DME Production,steam,bc,,-3.65633E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Btu-based Allocation,DME Production,total,bc,,2.15859E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Btu-based Allocation,DME Production: Non-Combustion Emissions,total,bc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Displacement method,DME Production,total,bc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Displacement method,DME Production: Non-Combustion Emissions,total,bc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Displacement method,Generation of Displaced Electricity,total,bc,,-7.10434E-09,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Btu-based Allocation,DME Production,total,bc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Btu-based Allocation,DME Production: Non-Combustion Emissions,total,bc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
No co-products,Displacement method,DME Production,electricity,ch4,,9.87118E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Displacement method,DME Production,electricity,ch4,,9.96654E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
