feed,Generation Region,flows,value,unit,direction,type,source,data location
Hydro,ASCC,voc,1.27E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for ASCC Hydro when Inputs tab E710 = ASCC
Hydro,ASCC,co,3.16E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for ASCC Hydro when Inputs tab E710 = ASCC
Hydro,ASCC,nox,3.03E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for ASCC Hydro when Inputs tab E710 = ASCC
Hydro,ASCC,pm10,1.17E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for ASCC Hydro when Inputs tab E710 = ASCC
Hydro,ASCC,pm2.5,4.46E-07,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for ASCC Hydro when Inputs tab E710 = ASCC
Hydro,ASCC,sox,1.41E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for ASCC Hydro when Inputs tab E710 = ASCC
Hydro,ASCC,bc,2.17E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for ASCC Hydro when Inputs tab E710 = ASCC
Hydro,ASCC,oc,4.89E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for ASCC Hydro when Inputs tab E710 = ASCC
Hydro,ASCC,ch4,1.75E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for ASCC Hydro when Inputs tab E710 = ASCC
Hydro,ASCC,n2o,1.96E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for ASCC Hydro when Inputs tab E710 = ASCC
Hydro,ASCC,co2,0.002086897,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for ASCC Hydro when Inputs tab E710 = ASCC
Hydro,FRCC,voc,1.27E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for FRCC Hydro when Inputs tab E710 = FRCC
Hydro,FRCC,co,3.16E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for FRCC Hydro when Inputs tab E710 = FRCC
Hydro,FRCC,nox,3.01E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for FRCC Hydro when Inputs tab E710 = FRCC
Hydro,FRCC,pm10,1.14E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for FRCC Hydro when Inputs tab E710 = FRCC
Hydro,FRCC,pm2.5,4.37E-07,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for FRCC Hydro when Inputs tab E710 = FRCC
Hydro,FRCC,sox,1.41E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for FRCC Hydro when Inputs tab E710 = FRCC
Hydro,FRCC,bc,2.13E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for FRCC Hydro when Inputs tab E710 = FRCC
Hydro,FRCC,oc,4.81E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for FRCC Hydro when Inputs tab E710 = FRCC
Hydro,FRCC,ch4,1.75E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for FRCC Hydro when Inputs tab E710 = FRCC
Hydro,FRCC,n2o,1.96E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for FRCC Hydro when Inputs tab E710 = FRCC
Hydro,FRCC,co2,0.002084725,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for FRCC Hydro when Inputs tab E710 = FRCC
Hydro,HICC,voc,1.27E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for HICC Hydro when Inputs tab E710 = HICC
Hydro,HICC,co,3.16E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for HICC Hydro when Inputs tab E710 = HICC
Hydro,HICC,nox,3.05E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for HICC Hydro when Inputs tab E710 = HICC
Hydro,HICC,pm10,1.15E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for HICC Hydro when Inputs tab E710 = HICC
Hydro,HICC,pm2.5,4.42E-07,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for HICC Hydro when Inputs tab E710 = HICC
Hydro,HICC,sox,1.45E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for HICC Hydro when Inputs tab E710 = HICC
Hydro,HICC,bc,2.18E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for HICC Hydro when Inputs tab E710 = HICC
Hydro,HICC,oc,4.89E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for HICC Hydro when Inputs tab E710 = HICC
Hydro,HICC,ch4,1.74E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for HICC Hydro when Inputs tab E710 = HICC
Hydro,HICC,n2o,1.97E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for HICC Hydro when Inputs tab E710 = HICC
Hydro,HICC,co2,0.002097805,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for HICC Hydro when Inputs tab E710 = HICC
Hydro,MRO,voc,1.27E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for MRO Hydro when Inputs tab E710 = MRO
Hydro,MRO,co,3.15E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for MRO Hydro when Inputs tab E710 = MRO
Hydro,MRO,nox,3.02E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for MRO Hydro when Inputs tab E710 = MRO
Hydro,MRO,pm10,1.14E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for MRO Hydro when Inputs tab E710 = MRO
Hydro,MRO,pm2.5,4.38E-07,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for MRO Hydro when Inputs tab E710 = MRO
Hydro,MRO,sox,1.45E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for MRO Hydro when Inputs tab E710 = MRO
Hydro,MRO,bc,2.13E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for MRO Hydro when Inputs tab E710 = MRO
Hydro,MRO,oc,4.82E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for MRO Hydro when Inputs tab E710 = MRO
Hydro,MRO,ch4,1.74E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for MRO Hydro when Inputs tab E710 = MRO
Hydro,MRO,n2o,1.97E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for MRO Hydro when Inputs tab E710 = MRO
Hydro,MRO,co2,0.002086964,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for MRO Hydro when Inputs tab E710 = MRO
Hydro,NPCC,voc,1.27E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for NPCC Hydro when Inputs tab E710 = NPCC
Hydro,NPCC,co,3.15E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for NPCC Hydro when Inputs tab E710 = NPCC
Hydro,NPCC,nox,3.00E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for NPCC Hydro when Inputs tab E710 = NPCC
Hydro,NPCC,pm10,1.14E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for NPCC Hydro when Inputs tab E710 = NPCC
Hydro,NPCC,pm2.5,4.37E-07,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for NPCC Hydro when Inputs tab E710 = NPCC
Hydro,NPCC,sox,1.40E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for NPCC Hydro when Inputs tab E710 = NPCC
Hydro,NPCC,bc,2.14E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for NPCC Hydro when Inputs tab E710 = NPCC
Hydro,NPCC,oc,4.83E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for NPCC Hydro when Inputs tab E710 = NPCC
Hydro,NPCC,ch4,1.73E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for NPCC Hydro when Inputs tab E710 = NPCC
Hydro,NPCC,n2o,1.95E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for NPCC Hydro when Inputs tab E710 = NPCC
Hydro,NPCC,co2,0.002076492,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for NPCC Hydro when Inputs tab E710 = NPCC
Hydro,RFC,voc,1.27E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for RFC Hydro when Inputs tab E710 = RFC
Hydro,RFC,co,3.15E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for RFC Hydro when Inputs tab E710 = RFC
Hydro,RFC,nox,3.01E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for RFC Hydro when Inputs tab E710 = RFC
Hydro,RFC,pm10,1.14E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for RFC Hydro when Inputs tab E710 = RFC
Hydro,RFC,pm2.5,4.39E-07,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for RFC Hydro when Inputs tab E710 = RFC
Hydro,RFC,sox,1.45E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for RFC Hydro when Inputs tab E710 = RFC
Hydro,RFC,bc,2.14E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for RFC Hydro when Inputs tab E710 = RFC
Hydro,RFC,oc,4.82E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for RFC Hydro when Inputs tab E710 = RFC
Hydro,RFC,ch4,1.74E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for RFC Hydro when Inputs tab E710 = RFC
Hydro,RFC,n2o,1.96E-08,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for RFC Hydro when Inputs tab E710 = RFC
