Feedstock Source,Production Type,Compute Cost,Plant Type,Hydrogen Phase,Co-produce Steam,Basis of H2 Production Assumptions,activity,flow_source,flows,flow_breakdown,value,unit,direction,type,Source,comment,data location
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,electricity,bc,,9.39E-09,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,electricity,bc,,5.78E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,electricity,bc,,1.66E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,electricity,bc,,5.78E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,electricity,bc,,1.22E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,electricity,bc,,5.78E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Production,steam,bc,,-3.23E-07,kg/MJ,output,mass,GREET,,Hydrogen tab Row 197
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,total,bc,,2.11E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification: Non-Combustion Emissions,total,bc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,total,bc,,5.78E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,total,bc,,5.15E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification: Non-Combustion Emissions,total,bc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,total,bc,,5.78E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,total,bc,,2.74E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification: Non-Combustion Emissions,total,bc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Production of Displaced Steam,total,bc,,-3.55E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,total,bc,,5.78E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,,biomass,,1.720438596,MJ/MJ,input,energy,GREET,Primary variable to be passed to midstream stage,Hydrogen tab Row 214
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,,biomass,,2.088166533,MJ/MJ,input,energy,GREET,Primary variable to be passed to midstream stage,Hydrogen tab Row 214
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,,biomass,,1.936089109,MJ/MJ,input,energy,GREET,Primary variable to be passed to midstream stage,Hydrogen tab Row 214
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,electricity,ch4,,4.15E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,electricity,ch4,,2.56E-05,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,electricity,ch4,,7.34E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,electricity,ch4,,2.56E-05,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,electricity,ch4,,5.40E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,electricity,ch4,,2.56E-05,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
