Feedstock Source,Production Type,Plant Type,Hydrogen Phase,Co-produce Steam,Basis of H2 Production Assumptions,activity,flow_source,flows,flow_breakdown,value,unit,direction,type,Source,comment,data location
Coal,From Coal,Central Plants,Gas,No,Industry data,Coal Gasification,electricity,bc,,2.08E-09,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,electricity,bc,,5.78E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,electricity,bc,,5.78E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Coal Gasification,electricity,bc,,2.77E-09,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,electricity,bc,,5.78E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,Coal Gasification,total,bc,,2.08E-09,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,Coal Gasification: Non-Combustion Emissions,total,bc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,total,bc,,5.78E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,Coal Gasification,total,bc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,Coal Gasification: Non-Combustion Emissions,total,bc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,total,bc,,5.78E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Coal Gasification,total,bc,,2.77E-09,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Coal Gasification: Non-Combustion Emissions,total,bc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Production of Displaced Steam,total,bc,,-1.27E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,total,bc,,5.78E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,Coal Gasification,electricity,ch4,,9.20E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,electricity,ch4,,2.56E-05,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,electricity,ch4,,2.56E-05,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Coal Gasification,electricity,ch4,,1.22E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,electricity,ch4,,2.56E-05,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
