Iron Type,activity,flow_source,flows,value,unit,direction,type,source,data location,comment
Cast iron,total,resid oil,resid oil,0,MJ/kg,input,energy,GREET,C.Iron tab A13,
Cast iron,total,diesel,diesel,1.448248591,MJ/kg,input,energy,GREET,C.Iron tab A13,
Cast iron,total,natural gas,natural gas,0,MJ/kg,input,energy,GREET,C.Iron tab A13,
Cast iron,total,coal,coal,0,MJ/kg,input,energy,GREET,C.Iron tab A13,
Cast iron,total,electricity,electricity,0.737027777,MJ/kg,input,energy,GREET,C.Iron tab A13,
Cast iron,total,electricity,voc,1.05E-05,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
Cast iron,total,electricity,co,3.33E-05,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
Cast iron,total,electricity,nox,6.52E-05,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
Cast iron,total,electricity,pm10,1.17E-05,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
Cast iron,total,electricity,pm2.5,5.08E-06,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
Cast iron,total,electricity,sox,0.000160432,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
Cast iron,total,electricity,bc,4.17E-07,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
Cast iron,total,electricity,oc,9.84E-07,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
Cast iron,total,electricity,ch4,0.000184391,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
Cast iron,total,electricity,n2o,1.46E-06,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
Cast iron,total,electricity,co2,0.09296549,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
Cast iron,Recycling,total,voc,3.97E-05,kg/kg,output,mass,GREET,C.Iron tab A13,
Cast iron,Recycling,total,co,0.000117178,kg/kg,output,mass,GREET,C.Iron tab A13,
Cast iron,Recycling,total,nox,0.00027802,kg/kg,output,mass,GREET,C.Iron tab A13,
Cast iron,Recycling,total,pm10,1.20E-05,kg/kg,output,mass,GREET,C.Iron tab A13,
Cast iron,Recycling,total,pm2.5,6.62E-06,kg/kg,output,mass,GREET,C.Iron tab A13,
Cast iron,Recycling,total,sox,3.82E-05,kg/kg,output,mass,GREET,C.Iron tab A13,
Cast iron,Recycling,total,bc,7.22E-07,kg/kg,output,mass,GREET,C.Iron tab A13,
Cast iron,Recycling,total,oc,1.31E-06,kg/kg,output,mass,GREET,C.Iron tab A13,
Cast iron,Recycling,total,ch4,0.00020352,kg/kg,output,mass,GREET,C.Iron tab A13,
Cast iron,Recycling,total,n2o,6.68E-07,kg/kg,output,mass,GREET,C.Iron tab A13,
Cast iron,Recycling,total,co2,0.139363655,kg/kg,output,mass,GREET,C.Iron tab A13,
Cast iron,Casting,total,voc,0.00247082,kg/kg,output,mass,GREET,C.Iron tab A13,
Cast iron,Casting,total,co,0.000628682,kg/kg,output,mass,GREET,C.Iron tab A13,
Cast iron,Casting,total,nox,0.000979923,kg/kg,output,mass,GREET,C.Iron tab A13,
Cast iron,Casting,total,pm10,0.001245562,kg/kg,output,mass,GREET,C.Iron tab A13,
Cast iron,Casting,total,pm2.5,0.000555102,kg/kg,output,mass,GREET,C.Iron tab A13,
Cast iron,Casting,total,sox,0.003496839,kg/kg,output,mass,GREET,C.Iron tab A13,
Cast iron,Casting,total,bc,3.29E-06,kg/kg,output,mass,GREET,C.Iron tab A13,
Cast iron,Casting,total,oc,9.44E-06,kg/kg,output,mass,GREET,C.Iron tab A13,
Cast iron,Casting,total,ch4,0.003608473,kg/kg,output,mass,GREET,C.Iron tab A13,
Cast iron,Casting,total,n2o,2.55E-06,kg/kg,output,mass,GREET,C.Iron tab A13,
Cast iron,Casting,total,co2,0.331331842,kg/kg,output,mass,GREET,C.Iron tab A13,
Cast iron,Machining,total,voc,8.95E-06,kg/kg,output,mass,GREET,C.Iron tab A13,
